Compound Id	Eiigenvalue sum from van der Waals weighted distance matrix
1	-1.756
2	-1.317
3	-1.317
4	-9.225
5	-12.445
6	-3.588
7	-1.317
8	-2.195
9	-1.317
10	-1.317
11	-1.756
12	-4.618
13	-2.271
14	-2.271
15	-2.71
16	-2.271
17	-2.271
18	-0.807
19	-3.435
20	-3.435
21	-2.634
22	-10.629
23	-4.098
24	-2.195
25	-4.103
26	-5.572
27	-1.317
28	-6.011
29	-3.664
30	-2.271
31	-2.271
32	-3.149
33	-2.271
34	-2.271
35	-2.271
36	-3.225
37	-2.195
38	-3.225
39	-1.317
40	-1.756
41	-1.675
42	-1.675
43	-1.675
44	-2.114
45	-1.675
46	-1.675
47	-1.317
48	-1.317
49	-1.675
50	-2.271
51	-2.271
52	-2.271
53	-1.317
54	-3.225
55	-3.225
56	-1.317
57	-3.225
58	-3.225
59	-3.225
60	-2.71
61	-2.71
62	-1.756
63	-4.179
64	-2.629
65	-1.317
66	-3.664
67	-1.317
68	-1.317
69	-4.098
70	-1.317
71	-0.763
72	-5.057
73	-3.664
74	-6.011
75	-5.057
76	-5.057
77	-5.057
78	-3.664
79	-1.019
80	-1.317
81	-1.756
82	-2.195
83	-1.756
84	-2.634
85	-4.179
86	-1.317
87	-1.756
88	-3.149
89	-3.225
90	-3.149
91	-1.317
92	-1.594
93	-6.011
94	-1.236
95	-3.944
96	-6.011
97	-2.271
98	-3.664
99	-5.638
100	-3.225
101	-2.271
102	-3.225
103	-1.756
104	-1.756
105	-3.435
106	-1.317
107	-1.756
108	-5.638
109	-1.236
110	-3.225
111	-1.675
112	-1.756
113	-4.103
114	-5.638
115	-3.664
116	-3.664
117	-2.271
118	-6.526
119	-2.195
120	-1.236
121	-2.71
122	-1.675
123	-0.807
124	-6.45
125	-6.45
126	-7.404
127	-6.965
128	-5.057
129	-5.057
130	-6.965
131	-5.057
132	-6.965
133	-7.404
134	-4.618
135	-4.537
136	-6.445
137	-5.572
138	-1.236
139	-5.491
140	-3.944
141	-1.675
142	-3.225
143	-7.242
144	-2.195
145	-1.756
146	-2.71
147	-1.756
148	-1.675
149	-2.71
150	-1.756
151	-2.71
152	-1.756
153	-2.71
154	-2.71
155	-1.756
156	-2.71
157	-1.675
158	-3.225
159	-3.225
160	-4.017
161	-2.634
162	-3.149
163	-3.149
164	-2.195
165	-2.71
166	-1.398
167	-1.121
168	-4.537
169	-4.179
170	-4.179
171	-4.103
172	-3.225
173	-3.225
174	-3.225
175	-3.225
176	-3.664
177	-10.098
178	-7.317
179	-4.098
180	-6.011
181	-6.011
182	-3.149
183	-2.195
184	-1.317
185	-2.271
186	-1.317
187	-8.358
188	-2.629
189	-2.195
190	-3.225
191	-3.225
192	-3.225
193	-2.271
194	-3.225
195	-2.271
