Compound Id	AF_C3
CHEMBL101311	16
CHEMBL1081312	12
CHEMBL1084546	16
CHEMBL1164180	16
CHEMBL117697	14
CHEMBL1178727	9
CHEMBL1233887	14
CHEMBL1421720	12
CHEMBL1825138	14
CHEMBL1870106	9
CHEMBL189963	13
CHEMBL191003	15
CHEMBL1949855	8
CHEMBL1964382	12
CHEMBL1964441	20
CHEMBL1964718	6
CHEMBL1965660	15
CHEMBL1966799	6
CHEMBL1967252	12
CHEMBL1967612	7
CHEMBL1967878	13
CHEMBL1967992	17
CHEMBL1967998	17
CHEMBL1968130	5
CHEMBL1969151	11
CHEMBL1970317	23
CHEMBL1970352	19
CHEMBL1970873	13
CHEMBL1971289	10
CHEMBL1971519	13
CHEMBL1971534	8
CHEMBL1972220	23
CHEMBL1972346	14
CHEMBL1972355	16
CHEMBL1972934	6
CHEMBL1973013	7
CHEMBL1973516	17
CHEMBL1973720	11
CHEMBL1973793	19
CHEMBL1973868	14
CHEMBL1974328	11
CHEMBL1974617	10
CHEMBL1974875	6
CHEMBL1975212	12
CHEMBL1975921	6
CHEMBL1975927	18
CHEMBL1976040	18
CHEMBL1976420	12
CHEMBL1976872	8
CHEMBL1977138	17
CHEMBL1977749	17
CHEMBL1977931	13
CHEMBL1978166	20
CHEMBL1978167	14
CHEMBL1978195	14
CHEMBL1979690	17
CHEMBL1980329	19
CHEMBL1980391	16
CHEMBL1980407	24
CHEMBL1980763	12
CHEMBL1980995	19
CHEMBL1981047	17
CHEMBL1981133	22
CHEMBL1981492	8
CHEMBL1982711	14
CHEMBL1983268	20
CHEMBL1983348	15
CHEMBL1983575	14
CHEMBL1983630	12
CHEMBL1983715	14
CHEMBL1983923	15
CHEMBL1983980	24
CHEMBL1984296	20
CHEMBL1984402	11
CHEMBL1984500	7
CHEMBL1984760	13
CHEMBL1985042	12
CHEMBL1985206	13
CHEMBL1986590	17
CHEMBL1986943	11
CHEMBL1987535	14
CHEMBL1988076	28
CHEMBL1988437	21
CHEMBL1988581	8
CHEMBL1988622	14
CHEMBL1988692	12
CHEMBL1988805	10
CHEMBL1989267	25
CHEMBL1989423	9
CHEMBL1989471	12
CHEMBL1991078	22
CHEMBL1991410	19
CHEMBL1991674	11
CHEMBL1991734	18
CHEMBL1991867	4
CHEMBL1992073	8
CHEMBL1992125	15
CHEMBL1992581	18
CHEMBL1992607	5
CHEMBL1992673	9
CHEMBL1992937	12
CHEMBL1993335	14
CHEMBL1993661	16
CHEMBL1993877	6
CHEMBL1993904	21
CHEMBL1994318	21
CHEMBL1994526	6
CHEMBL1994555	13
CHEMBL1994808	9
CHEMBL1995211	12
CHEMBL1995811	22
CHEMBL1995916	10
CHEMBL1996048	15
CHEMBL1996176	13
CHEMBL1996510	20
CHEMBL1996646	14
CHEMBL1996649	21
CHEMBL1996702	20
CHEMBL1997007	13
CHEMBL1997041	12
CHEMBL1997119	13
CHEMBL1997611	12
CHEMBL1997846	11
CHEMBL1997924	15
CHEMBL1998470	13
CHEMBL1998953	12
CHEMBL1999120	6
CHEMBL1999414	21
CHEMBL1999484	13
CHEMBL2000029	21
CHEMBL2000568	14
CHEMBL2000879	9
CHEMBL2001613	7
CHEMBL2001641	9
CHEMBL2001704	8
CHEMBL2002099	9
CHEMBL2002105	6
CHEMBL2002182	12
CHEMBL2002992	8
CHEMBL2004033	7
CHEMBL2004290	23
CHEMBL2004515	12
CHEMBL2005449	13
CHEMBL2005478	14
CHEMBL2006564	12
CHEMBL2006765	13
CHEMBL2007421	12
CHEMBL2007559	13
CHEMBL2007574	11
CHEMBL21156	14
CHEMBL235157	16
CHEMBL242865	17
CHEMBL24828	14
CHEMBL289959	14
CHEMBL379975	20
CHEMBL38380	9
CHEMBL422897	15
CHEMBL451401	8
CHEMBL458997	17
CHEMBL475251	16
CHEMBL482538	13
CHEMBL483158	24
CHEMBL49120	19
CHEMBL521851	13
CHEMBL522892	16
CHEMBL550418	19
CHEMBL565612	20
CHEMBL572878	14
CHEMBL574738	17
CHEMBL592030	21
CHEMBL1727312	13
CHEMBL1879463	25
CHEMBL1964948	21
CHEMBL1965838	4
CHEMBL1966175	9
CHEMBL1970340	13
CHEMBL1973359	12
CHEMBL1975903	16
CHEMBL1978713	14
CHEMBL1980297	23
CHEMBL1980376	13
CHEMBL1982753	12
CHEMBL1983111	12
CHEMBL1985681	12
CHEMBL1989708	23
CHEMBL1992371	15
CHEMBL1994159	13
CHEMBL1995765	8
CHEMBL1997051	28
CHEMBL1997335	17
CHEMBL2001149	26
CHEMBL2002586	12
CHEMBL2003785	11
CHEMBL2004118	12
CHEMBL225519	10
CHEMBL234085	7
CHEMBL262623	11
CHEMBL461876	20
