Compound Id	PF_C3-5-C4
CHEMBL101311	5
CHEMBL1081312	12
CHEMBL1084546	5
CHEMBL1164180	17
CHEMBL117697	1
CHEMBL1178727	0
CHEMBL1233887	4
CHEMBL1421720	2
CHEMBL1825138	12
CHEMBL1870106	10
CHEMBL189963	19
CHEMBL191003	0
CHEMBL1949855	0
CHEMBL1964382	4
CHEMBL1964441	3
CHEMBL1964718	1
CHEMBL1965660	0
CHEMBL1966799	0
CHEMBL1967252	2
CHEMBL1967612	0
CHEMBL1967878	14
CHEMBL1967992	2
CHEMBL1967998	7
CHEMBL1968130	0
CHEMBL1969151	7
CHEMBL1970317	2
CHEMBL1970352	9
CHEMBL1970873	0
CHEMBL1971289	3
CHEMBL1971519	0
CHEMBL1971534	0
CHEMBL1972220	4
CHEMBL1972346	0
CHEMBL1972355	4
CHEMBL1972934	0
CHEMBL1973013	6
CHEMBL1973516	7
CHEMBL1973720	7
CHEMBL1973793	0
CHEMBL1973868	0
CHEMBL1974328	7
CHEMBL1974617	2
CHEMBL1974875	2
CHEMBL1975212	0
CHEMBL1975921	0
CHEMBL1975927	4
CHEMBL1976040	13
CHEMBL1976420	9
CHEMBL1976872	1
CHEMBL1977138	3
CHEMBL1977749	2
CHEMBL1977931	2
CHEMBL1978166	5
CHEMBL1978167	2
CHEMBL1978195	0
CHEMBL1979690	7
CHEMBL1980329	0
CHEMBL1980391	4
CHEMBL1980407	8
CHEMBL1980763	14
CHEMBL1980995	36
CHEMBL1981047	16
CHEMBL1981133	10
CHEMBL1981492	2
CHEMBL1982711	0
CHEMBL1983268	18
CHEMBL1983348	10
CHEMBL1983575	0
CHEMBL1983630	2
CHEMBL1983715	11
CHEMBL1983923	8
CHEMBL1983980	10
CHEMBL1984296	2
CHEMBL1984402	5
CHEMBL1984500	0
CHEMBL1984760	10
CHEMBL1985042	1
CHEMBL1985206	5
CHEMBL1986590	0
CHEMBL1986943	7
CHEMBL1987535	6
CHEMBL1988076	0
CHEMBL1988437	2
CHEMBL1988581	8
CHEMBL1988622	0
CHEMBL1988692	5
CHEMBL1988805	0
CHEMBL1989267	9
CHEMBL1989423	0
CHEMBL1989471	6
CHEMBL1991078	5
CHEMBL1991410	0
CHEMBL1991674	8
CHEMBL1991734	3
CHEMBL1991867	0
CHEMBL1992073	16
CHEMBL1992125	7
CHEMBL1992581	4
CHEMBL1992607	1
CHEMBL1992673	0
CHEMBL1992937	0
CHEMBL1993335	2
CHEMBL1993661	5
CHEMBL1993877	8
CHEMBL1993904	0
CHEMBL1994318	17
CHEMBL1994526	9
CHEMBL1994555	7
CHEMBL1994808	1
CHEMBL1995211	11
CHEMBL1995811	2
CHEMBL1995916	1
CHEMBL1996048	6
CHEMBL1996176	0
CHEMBL1996510	10
CHEMBL1996646	11
CHEMBL1996649	4
CHEMBL1996702	7
CHEMBL1997007	7
CHEMBL1997041	1
CHEMBL1997119	0
CHEMBL1997611	6
CHEMBL1997846	8
CHEMBL1997924	3
CHEMBL1998470	4
CHEMBL1998953	11
CHEMBL1999120	0
CHEMBL1999414	5
CHEMBL1999484	9
CHEMBL2000029	5
CHEMBL2000568	2
CHEMBL2000879	4
CHEMBL2001613	0
CHEMBL2001641	4
CHEMBL2001704	0
CHEMBL2002099	9
CHEMBL2002105	0
CHEMBL2002182	0
CHEMBL2002992	10
CHEMBL2004033	0
CHEMBL2004290	8
CHEMBL2004515	1
CHEMBL2005449	1
CHEMBL2005478	4
CHEMBL2006564	10
CHEMBL2006765	9
CHEMBL2007421	6
CHEMBL2007559	9
CHEMBL2007574	0
CHEMBL21156	10
CHEMBL235157	5
CHEMBL242865	0
CHEMBL24828	11
CHEMBL289959	0
CHEMBL379975	0
CHEMBL38380	11
CHEMBL422897	13
CHEMBL451401	0
CHEMBL458997	10
CHEMBL475251	6
CHEMBL482538	0
CHEMBL483158	7
CHEMBL49120	7
CHEMBL521851	17
CHEMBL522892	7
CHEMBL550418	2
CHEMBL565612	11
CHEMBL572878	12
CHEMBL574738	9
CHEMBL592030	7
CHEMBL1727312	0
CHEMBL1879463	6
CHEMBL1964948	13
CHEMBL1965838	0
CHEMBL1966175	15
CHEMBL1970340	0
CHEMBL1973359	0
CHEMBL1975903	3
CHEMBL1978713	6
CHEMBL1980297	3
CHEMBL1980376	2
CHEMBL1982753	8
CHEMBL1983111	12
CHEMBL1985681	4
CHEMBL1989708	6
CHEMBL1992371	0
CHEMBL1994159	2
CHEMBL1995765	0
CHEMBL1997051	7
CHEMBL1997335	6
CHEMBL2001149	0
CHEMBL2002586	12
CHEMBL2003785	1
CHEMBL2004118	8
CHEMBL225519	3
CHEMBL234085	13
CHEMBL262623	4
CHEMBL461876	6
