Compound Id	PF_O1-1-C3
CHEMBL101311	0
CHEMBL1081312	0
CHEMBL1084546	1
CHEMBL1164180	0
CHEMBL117697	0
CHEMBL1178727	0
CHEMBL1233887	0
CHEMBL1421720	1
CHEMBL1825138	0
CHEMBL1870106	1
CHEMBL189963	2
CHEMBL191003	1
CHEMBL1949855	1
CHEMBL1964382	0
CHEMBL1964441	1
CHEMBL1964718	1
CHEMBL1965660	1
CHEMBL1966799	0
CHEMBL1967252	0
CHEMBL1967612	1
CHEMBL1967878	1
CHEMBL1967992	0
CHEMBL1967998	0
CHEMBL1968130	0
CHEMBL1969151	0
CHEMBL1970317	1
CHEMBL1970352	1
CHEMBL1970873	1
CHEMBL1971289	1
CHEMBL1971519	0
CHEMBL1971534	1
CHEMBL1972220	1
CHEMBL1972346	0
CHEMBL1972355	1
CHEMBL1972934	0
CHEMBL1973013	0
CHEMBL1973516	0
CHEMBL1973720	0
CHEMBL1973793	0
CHEMBL1973868	0
CHEMBL1974328	1
CHEMBL1974617	0
CHEMBL1974875	2
CHEMBL1975212	0
CHEMBL1975921	1
CHEMBL1975927	0
CHEMBL1976040	1
CHEMBL1976420	0
CHEMBL1976872	1
CHEMBL1977138	0
CHEMBL1977749	0
CHEMBL1977931	1
CHEMBL1978166	1
CHEMBL1978167	0
CHEMBL1978195	1
CHEMBL1979690	0
CHEMBL1980329	1
CHEMBL1980391	0
CHEMBL1980407	1
CHEMBL1980763	0
CHEMBL1980995	1
CHEMBL1981047	2
CHEMBL1981133	0
CHEMBL1981492	1
CHEMBL1982711	1
CHEMBL1983268	1
CHEMBL1983348	1
CHEMBL1983575	1
CHEMBL1983630	1
CHEMBL1983715	1
CHEMBL1983923	0
CHEMBL1983980	2
CHEMBL1984296	1
CHEMBL1984402	2
CHEMBL1984500	1
CHEMBL1984760	1
CHEMBL1985042	2
CHEMBL1985206	0
CHEMBL1986590	1
CHEMBL1986943	0
CHEMBL1987535	1
CHEMBL1988076	1
CHEMBL1988437	1
CHEMBL1988581	1
CHEMBL1988622	0
CHEMBL1988692	1
CHEMBL1988805	0
CHEMBL1989267	2
CHEMBL1989423	0
CHEMBL1989471	1
CHEMBL1991078	1
CHEMBL1991410	1
CHEMBL1991674	0
CHEMBL1991734	0
CHEMBL1991867	0
CHEMBL1992073	0
CHEMBL1992125	0
CHEMBL1992581	1
CHEMBL1992607	1
CHEMBL1992673	1
CHEMBL1992937	0
CHEMBL1993335	0
CHEMBL1993661	0
CHEMBL1993877	0
CHEMBL1993904	1
CHEMBL1994318	2
CHEMBL1994526	1
CHEMBL1994555	1
CHEMBL1994808	0
CHEMBL1995211	0
CHEMBL1995811	1
CHEMBL1995916	1
CHEMBL1996048	1
CHEMBL1996176	1
CHEMBL1996510	2
CHEMBL1996646	0
CHEMBL1996649	2
CHEMBL1996702	2
CHEMBL1997007	1
CHEMBL1997041	0
CHEMBL1997119	0
CHEMBL1997611	3
CHEMBL1997846	0
CHEMBL1997924	0
CHEMBL1998470	1
CHEMBL1998953	0
CHEMBL1999120	2
CHEMBL1999414	2
CHEMBL1999484	0
CHEMBL2000029	0
CHEMBL2000568	1
CHEMBL2000879	0
CHEMBL2001613	1
CHEMBL2001641	0
CHEMBL2001704	0
CHEMBL2002099	0
CHEMBL2002105	0
CHEMBL2002182	1
CHEMBL2002992	1
CHEMBL2004033	0
CHEMBL2004290	1
CHEMBL2004515	0
CHEMBL2005449	0
CHEMBL2005478	0
CHEMBL2006564	1
CHEMBL2006765	1
CHEMBL2007421	0
CHEMBL2007559	1
CHEMBL2007574	0
CHEMBL21156	1
CHEMBL235157	0
CHEMBL242865	1
CHEMBL24828	0
CHEMBL289959	0
CHEMBL379975	2
CHEMBL38380	0
CHEMBL422897	1
CHEMBL451401	1
CHEMBL458997	1
CHEMBL475251	1
CHEMBL482538	0
CHEMBL483158	1
CHEMBL49120	1
CHEMBL521851	0
CHEMBL522892	1
CHEMBL550418	1
CHEMBL565612	2
CHEMBL572878	1
CHEMBL574738	1
CHEMBL592030	0
CHEMBL1727312	1
CHEMBL1879463	1
CHEMBL1964948	2
CHEMBL1965838	0
CHEMBL1966175	1
CHEMBL1970340	0
CHEMBL1973359	1
CHEMBL1975903	0
CHEMBL1978713	1
CHEMBL1980297	1
CHEMBL1980376	0
CHEMBL1982753	1
CHEMBL1983111	2
CHEMBL1985681	1
CHEMBL1989708	1
CHEMBL1992371	1
CHEMBL1994159	1
CHEMBL1995765	1
CHEMBL1997051	1
CHEMBL1997335	0
CHEMBL2001149	0
CHEMBL2002586	0
CHEMBL2003785	0
CHEMBL2004118	0
CHEMBL225519	1
CHEMBL234085	1
CHEMBL262623	0
CHEMBL461876	2
