Compound Id	TF_C3-3-C3-4-N3-5
CHEMBL101311	1
CHEMBL1081312	1
CHEMBL1084546	0
CHEMBL1164180	2
CHEMBL117697	0
CHEMBL1178727	0
CHEMBL1233887	2
CHEMBL1421720	0
CHEMBL1825138	1
CHEMBL1870106	0
CHEMBL189963	1
CHEMBL191003	0
CHEMBL1949855	0
CHEMBL1964382	0
CHEMBL1964441	6
CHEMBL1964718	0
CHEMBL1965660	1
CHEMBL1966799	0
CHEMBL1967252	0
CHEMBL1967612	0
CHEMBL1967878	0
CHEMBL1967992	2
CHEMBL1967998	1
CHEMBL1968130	0
CHEMBL1969151	3
CHEMBL1970317	7
CHEMBL1970352	1
CHEMBL1970873	0
CHEMBL1971289	0
CHEMBL1971519	5
CHEMBL1971534	0
CHEMBL1972220	7
CHEMBL1972346	0
CHEMBL1972355	1
CHEMBL1972934	0
CHEMBL1973013	1
CHEMBL1973516	1
CHEMBL1973720	3
CHEMBL1973793	0
CHEMBL1973868	0
CHEMBL1974328	1
CHEMBL1974617	0
CHEMBL1974875	0
CHEMBL1975212	2
CHEMBL1975921	0
CHEMBL1975927	1
CHEMBL1976040	1
CHEMBL1976420	0
CHEMBL1976872	0
CHEMBL1977138	2
CHEMBL1977749	0
CHEMBL1977931	0
CHEMBL1978166	6
CHEMBL1978167	2
CHEMBL1978195	0
CHEMBL1979690	1
CHEMBL1980329	3
CHEMBL1980391	2
CHEMBL1980407	3
CHEMBL1980763	0
CHEMBL1980995	7
CHEMBL1981047	2
CHEMBL1981133	1
CHEMBL1981492	0
CHEMBL1982711	2
CHEMBL1983268	0
CHEMBL1983348	2
CHEMBL1983575	4
CHEMBL1983630	0
CHEMBL1983715	1
CHEMBL1983923	0
CHEMBL1983980	1
CHEMBL1984296	4
CHEMBL1984402	2
CHEMBL1984500	0
CHEMBL1984760	0
CHEMBL1985042	0
CHEMBL1985206	0
CHEMBL1986590	0
CHEMBL1986943	3
CHEMBL1987535	0
CHEMBL1988076	4
CHEMBL1988437	2
CHEMBL1988581	0
CHEMBL1988622	0
CHEMBL1988692	0
CHEMBL1988805	0
CHEMBL1989267	2
CHEMBL1989423	2
CHEMBL1989471	0
CHEMBL1991078	3
CHEMBL1991410	4
CHEMBL1991674	0
CHEMBL1991734	4
CHEMBL1991867	0
CHEMBL1992073	0
CHEMBL1992125	0
CHEMBL1992581	2
CHEMBL1992607	0
CHEMBL1992673	0
CHEMBL1992937	1
CHEMBL1993335	2
CHEMBL1993661	2
CHEMBL1993877	0
CHEMBL1993904	1
CHEMBL1994318	7
CHEMBL1994526	0
CHEMBL1994555	0
CHEMBL1994808	0
CHEMBL1995211	4
CHEMBL1995811	3
CHEMBL1995916	0
CHEMBL1996048	1
CHEMBL1996176	1
CHEMBL1996510	8
CHEMBL1996646	2
CHEMBL1996649	6
CHEMBL1996702	2
CHEMBL1997007	0
CHEMBL1997041	0
CHEMBL1997119	3
CHEMBL1997611	4
CHEMBL1997846	0
CHEMBL1997924	1
CHEMBL1998470	4
CHEMBL1998953	4
CHEMBL1999120	0
CHEMBL1999414	6
CHEMBL1999484	1
CHEMBL2000029	3
CHEMBL2000568	0
CHEMBL2000879	0
CHEMBL2001613	0
CHEMBL2001641	0
CHEMBL2001704	2
CHEMBL2002099	1
CHEMBL2002105	0
CHEMBL2002182	4
CHEMBL2002992	1
CHEMBL2004033	0
CHEMBL2004290	7
CHEMBL2004515	0
CHEMBL2005449	0
CHEMBL2005478	2
CHEMBL2006564	0
CHEMBL2006765	0
CHEMBL2007421	1
CHEMBL2007559	0
CHEMBL2007574	3
CHEMBL21156	7
CHEMBL235157	6
CHEMBL242865	1
CHEMBL24828	0
CHEMBL289959	0
CHEMBL379975	7
CHEMBL38380	4
CHEMBL422897	0
CHEMBL451401	1
CHEMBL458997	2
CHEMBL475251	3
CHEMBL482538	2
CHEMBL483158	2
CHEMBL49120	3
CHEMBL521851	0
CHEMBL522892	0
CHEMBL550418	2
CHEMBL565612	8
CHEMBL572878	1
CHEMBL574738	4
CHEMBL592030	3
CHEMBL1727312	0
CHEMBL1879463	5
CHEMBL1964948	7
CHEMBL1965838	0
CHEMBL1966175	0
CHEMBL1970340	3
CHEMBL1973359	1
CHEMBL1975903	2
CHEMBL1978713	0
CHEMBL1980297	7
CHEMBL1980376	3
CHEMBL1982753	1
CHEMBL1983111	0
CHEMBL1985681	1
CHEMBL1989708	7
CHEMBL1992371	5
CHEMBL1994159	2
CHEMBL1995765	1
CHEMBL1997051	4
CHEMBL1997335	3
CHEMBL2001149	0
CHEMBL2002586	0
CHEMBL2003785	0
CHEMBL2004118	0
CHEMBL225519	0
CHEMBL234085	0
CHEMBL262623	0
CHEMBL461876	4
