Compound Id	TF_C3-5-C4-1-C4-6
CHEMBL101311	3
CHEMBL1081312	10
CHEMBL1084546	0
CHEMBL1164180	5
CHEMBL117697	0
CHEMBL1178727	0
CHEMBL1233887	0
CHEMBL1421720	0
CHEMBL1825138	8
CHEMBL1870106	2
CHEMBL189963	10
CHEMBL191003	0
CHEMBL1949855	0
CHEMBL1964382	0
CHEMBL1964441	0
CHEMBL1964718	0
CHEMBL1965660	0
CHEMBL1966799	0
CHEMBL1967252	0
CHEMBL1967612	0
CHEMBL1967878	6
CHEMBL1967992	0
CHEMBL1967998	3
CHEMBL1968130	0
CHEMBL1969151	8
CHEMBL1970317	0
CHEMBL1970352	2
CHEMBL1970873	0
CHEMBL1971289	1
CHEMBL1971519	0
CHEMBL1971534	0
CHEMBL1972220	2
CHEMBL1972346	0
CHEMBL1972355	0
CHEMBL1972934	0
CHEMBL1973013	2
CHEMBL1973516	3
CHEMBL1973720	8
CHEMBL1973793	0
CHEMBL1973868	0
CHEMBL1974328	6
CHEMBL1974617	0
CHEMBL1974875	0
CHEMBL1975212	0
CHEMBL1975921	0
CHEMBL1975927	0
CHEMBL1976040	4
CHEMBL1976420	5
CHEMBL1976872	0
CHEMBL1977138	1
CHEMBL1977749	0
CHEMBL1977931	0
CHEMBL1978166	4
CHEMBL1978167	0
CHEMBL1978195	0
CHEMBL1979690	2
CHEMBL1980329	0
CHEMBL1980391	0
CHEMBL1980407	4
CHEMBL1980763	5
CHEMBL1980995	23
CHEMBL1981047	2
CHEMBL1981133	6
CHEMBL1981492	0
CHEMBL1982711	0
CHEMBL1983268	10
CHEMBL1983348	7
CHEMBL1983575	0
CHEMBL1983630	0
CHEMBL1983715	3
CHEMBL1983923	2
CHEMBL1983980	2
CHEMBL1984296	0
CHEMBL1984402	0
CHEMBL1984500	0
CHEMBL1984760	6
CHEMBL1985042	0
CHEMBL1985206	0
CHEMBL1986590	0
CHEMBL1986943	8
CHEMBL1987535	2
CHEMBL1988076	0
CHEMBL1988437	0
CHEMBL1988581	0
CHEMBL1988622	0
CHEMBL1988692	2
CHEMBL1988805	0
CHEMBL1989267	1
CHEMBL1989423	0
CHEMBL1989471	4
CHEMBL1991078	0
CHEMBL1991410	0
CHEMBL1991674	8
CHEMBL1991734	0
CHEMBL1991867	0
CHEMBL1992073	14
CHEMBL1992125	2
CHEMBL1992581	0
CHEMBL1992607	0
CHEMBL1992673	0
CHEMBL1992937	0
CHEMBL1993335	0
CHEMBL1993661	0
CHEMBL1993877	4
CHEMBL1993904	0
CHEMBL1994318	17
CHEMBL1994526	11
CHEMBL1994555	3
CHEMBL1994808	0
CHEMBL1995211	6
CHEMBL1995811	0
CHEMBL1995916	0
CHEMBL1996048	2
CHEMBL1996176	0
CHEMBL1996510	6
CHEMBL1996646	8
CHEMBL1996649	3
CHEMBL1996702	4
CHEMBL1997007	5
CHEMBL1997041	0
CHEMBL1997119	0
CHEMBL1997611	1
CHEMBL1997846	8
CHEMBL1997924	2
CHEMBL1998470	3
CHEMBL1998953	10
CHEMBL1999120	0
CHEMBL1999414	3
CHEMBL1999484	2
CHEMBL2000029	0
CHEMBL2000568	0
CHEMBL2000879	1
CHEMBL2001613	0
CHEMBL2001641	4
CHEMBL2001704	0
CHEMBL2002099	8
CHEMBL2002105	0
CHEMBL2002182	0
CHEMBL2002992	13
CHEMBL2004033	0
CHEMBL2004290	4
CHEMBL2004515	0
CHEMBL2005449	0
CHEMBL2005478	0
CHEMBL2006564	3
CHEMBL2006765	5
CHEMBL2007421	1
CHEMBL2007559	6
CHEMBL2007574	0
CHEMBL21156	12
CHEMBL235157	0
CHEMBL242865	0
CHEMBL24828	9
CHEMBL289959	0
CHEMBL379975	0
CHEMBL38380	8
CHEMBL422897	10
CHEMBL451401	0
CHEMBL458997	2
CHEMBL475251	2
CHEMBL482538	0
CHEMBL483158	0
CHEMBL49120	3
CHEMBL521851	10
CHEMBL522892	2
CHEMBL550418	0
CHEMBL565612	6
CHEMBL572878	4
CHEMBL574738	4
CHEMBL592030	4
CHEMBL1727312	0
CHEMBL1879463	0
CHEMBL1964948	13
CHEMBL1965838	0
CHEMBL1966175	11
CHEMBL1970340	0
CHEMBL1973359	0
CHEMBL1975903	0
CHEMBL1978713	0
CHEMBL1980297	2
CHEMBL1980376	0
CHEMBL1982753	8
CHEMBL1983111	7
CHEMBL1985681	2
CHEMBL1989708	3
CHEMBL1992371	0
CHEMBL1994159	0
CHEMBL1995765	0
CHEMBL1997051	0
CHEMBL1997335	0
CHEMBL2001149	0
CHEMBL2002586	6
CHEMBL2003785	0
CHEMBL2004118	3
CHEMBL225519	2
CHEMBL234085	9
CHEMBL262623	1
CHEMBL461876	0
