Compound Id	CSI
3aa	355
3ab	405
3ba	457
3be	373
3bf	436
3de	582
3df	628
3dk	502
3dl	649
3ea	482
3eb	528
3ee	415
3ef	461
3eh	582
3ei	595
3el	482
3en	507
3fb	547
3ff	480
3fi	614
3fn	526
3gb	480
3gh	534
3gn	459
3go	561
3hb	568
3ho	649
3ib	693
3if	647
4aa	355
4ab	405
4dl	649
7aa	576
7ac	622
7bc	568
5ba	457
5bb	503
5be	373
5bf	436
5bh	557
5bi	570
5ch	601
5cj	539
5_da	396
5da	649
5_db	442
5db	674
5de	582
5df	628
5_dh	496
5dh	707
5di	741
5dj	695
5dk	502
5_dl	396
5dl	649
5dm	774
6ac	597
6ad	1079
6bd	1289
6bg	785
6dc	814
