Compound Id	H7u
3aa	0.2
3ab	0.199
3ba	0.285
3be	0.396
3bf	0.387
3de	0.434
3df	0.426
3dk	0.419
3dl	0.294
3ea	0.451
3eb	0.501
3ee	0.528
3ef	0.517
3eh	0.44
3ei	0.477
3el	0.451
3en	0.473
3fb	0.441
3ff	0.472
3fi	0.435
3fn	0.42
3gb	0.461
3gh	0.388
3gn	0.411
3go	0.385
3hb	0.384
3ho	0.461
3ib	0.42
3if	0.476
4aa	0.231
4ab	0.192
4dl	0.431
7aa	0.36
7ac	0.318
7bc	0.282
5ba	0.615
5bb	0.57
5be	1.023
5bf	0.871
5bh	0.621
5bi	0.593
5ch	0.629
5cj	0.724
5_da	0.295
5da	0.391
5_db	0.288
5db	0.358
5de	0.729
5df	0.63
5_dh	0.404
5dh	0.383
5di	0.374
5dj	0.451
5dk	0.315
5_dl	0.291
5dl	0.367
5dm	0.45
6ac	0.517
6ad	1.035
6bd	1.075
6bg	0.532
6dc	0.6
