Compound Id	MATS1m
3aa	-0.032
3ab	-0.004
3ba	-0.071
3be	-0.111
3bf	-0.092
3de	-0.078
3df	-0.067
3dk	-0.092
3dl	-0.012
3ea	-0.068
3eb	-0.013
3ee	-0.105
3ef	-0.088
3eh	0.069
3ei	-0.048
3el	-0.018
3en	-0.018
3fb	-0.012
3ff	-0.084
3fi	-0.047
3fn	-0.017
3gb	-0.004
3gh	0.188
3gn	-0.006
3go	-0.021
3hb	0
3ho	-0.012
3ib	-0.007
3if	-0.07
4aa	-0.032
4ab	-0.004
4dl	-0.012
7aa	0.129
7ac	0.052
7bc	-0.015
5ba	-0.071
5bb	-0.013
5be	-0.111
5bf	-0.092
5bh	0.065
5bi	-0.05
5ch	0
5cj	0
5_da	-0.033
5da	-0.05
5_db	-0.003
5db	-0.007
5de	-0.078
5df	-0.067
5_dh	0.141
5dh	0.089
5di	-0.031
5dj	0.089
5dk	-0.092
5_dl	-0.007
5dl	-0.012
5dm	0.167
6ac	0.005
6ad	-0.019
6bd	-0.07
6bg	-0.061
6dc	-0.059
