Compound Id	MATS5p
3aa	-0.254
3ab	-0.125
3ba	-0.242
3be	-0.241
3bf	-0.233
3de	-0.262
3df	-0.255
3dk	-0.225
3dl	-0.186
3ea	-0.001
3eb	0.109
3ee	0.075
3ef	0.08
3eh	0.022
3ei	0.087
3el	0.104
3en	0.09
3fb	0.089
3ff	0.055
3fi	0.078
3fn	0.068
3gb	-0.048
3gh	-0.11
3gn	-0.088
3go	-0.079
3hb	-0.041
3ho	-0.06
3ib	-0.127
3if	-0.216
4aa	-0.254
4ab	-0.125
4dl	-0.186
7aa	-0.165
7ac	-0.154
7bc	-0.098
5ba	-0.246
5bb	-0.113
5be	-0.198
5bf	-0.217
5bh	-0.197
5bi	-0.005
5ch	-0.248
5cj	-0.173
5_da	-0.222
5da	-0.243
5_db	-0.088
5db	-0.125
5de	-0.208
5df	-0.222
5_dh	-0.196
5dh	-0.206
5di	0.01
5dj	-0.099
5dk	-0.209
5_dl	-0.119
5dl	-0.151
5dm	-0.007
6ac	-0.138
6ad	-0.151
6bd	-0.133
6bg	-0.119
6dc	-0.117
