Compound Id	Mor20m
3aa	0.667
3ab	0.552
3ba	0.676
3be	0.102
3bf	0.146
3de	0.467
3df	0.526
3dk	0.63
3dl	1.138
3ea	0.705
3eb	0.847
3ee	0.368
3ef	0.342
3eh	0.865
3ei	0.69
3el	0.721
3en	0.72
3fb	0.962
3ff	0.517
3fi	1.292
3fn	1.189
3gb	1.094
3gh	0.865
3gn	1.135
3go	0.88
3hb	0.858
3ho	0.903
3ib	1.744
3if	0.494
4aa	0.925
4ab	1.101
4dl	1.506
7aa	1.041
7ac	0.958
7bc	1.551
5ba	0.829
5bb	1.239
5be	0.262
5bf	0.42
5bh	0.673
5bi	1.678
5ch	0.935
5cj	1.041
5_da	0.906
5da	1.195
5_db	1.37
5db	1.625
5de	0.61
5df	0.737
5_dh	0.62
5dh	1.171
5di	1.848
5dj	1.149
5dk	0.974
5_dl	0.998
5dl	1.531
5dm	1.183
6ac	1.222
6ad	1.741
6bd	1.949
6bg	1.391
6dc	1.43
