Compound Id	RDF035p
3aa	4.99
3ab	4.275
3ba	7.079
3be	8.3
3bf	8.815
3de	10.95
3df	12.147
3dk	7.145
3dl	12.407
3ea	10.58
3eb	9.804
3ee	13.77
3ef	13.548
3eh	10.923
3ei	11.119
3el	10.881
3en	9.885
3fb	11.123
3ff	14.734
3fi	11.453
3fn	11.362
3gb	9.657
3gh	12.115
3gn	11.052
3go	12.14
3hb	14.804
3ho	12.893
3ib	13.209
3if	17.231
4aa	11.644
4ab	8.877
4dl	7.618
7aa	8.366
7ac	9.866
7bc	10.22
5ba	12.126
5bb	11.368
5be	12.46
5bf	13.738
5bh	11.71
5bi	8.772
5ch	9.893
5cj	10.685
5_da	8.841
5da	14.491
5_db	9.271
5db	13.761
5de	12.885
5df	14.997
5_dh	9.145
5dh	13.649
5di	11.627
5dj	13.59
5dk	8.793
5_dl	9.725
5dl	14.781
5dm	13.746
6ac	13.848
6ad	15.695
6bd	15.683
6bg	13.66
6dc	13.614
