Compound Id	RDF050u
3aa	22.315
3ab	20.833
3ba	22.823
3be	25.22
3bf	23.169
3de	28.832
3df	39.196
3dk	20.477
3dl	35.33
3ea	26.858
3eb	29.349
3ee	30.342
3ef	26.483
3eh	27.856
3ei	28.657
3el	27.618
3en	26.764
3fb	31.588
3ff	30.346
3fi	31.802
3fn	35.45
3gb	27.406
3gh	25.487
3gn	28.241
3go	26.085
3hb	31.249
3ho	31.426
3ib	35.557
3if	47.471
4aa	26.823
4ab	24.429
4dl	29.709
7aa	39.622
7ac	38.885
7bc	33.085
5ba	28.868
5bb	29.535
5be	33.315
5bf	29.7
5bh	30.193
5bi	23.737
5ch	29.14
5cj	38.425
5_da	18.356
5da	35.36
5_db	20.357
5db	38.812
5de	43.683
5df	37.178
5_dh	19.945
5dh	35.808
5di	36.701
5dj	41.907
5dk	29.758
5_dl	20.629
5dl	38.224
5dm	42.755
6ac	33.691
6ad	47.002
6bd	53.163
6bg	43.469
6dc	44.674
