Compound Id	X2
3aa	9.246
3ab	9.88
3ba	10.037
3be	8.698
3bf	9.519
3de	10.679
3df	11.501
3dk	9.169
3dl	12.018
3ea	10.391
3eb	11.024
3ee	9.051
3ef	9.873
3eh	11.394
3ei	12.328
3el	10.391
3en	10.495
3fb	11.67
3ff	10.518
3fi	12.974
3fn	11.14
3gb	10.329
3gh	10.698
3gn	9.799
3go	11.757
3hb	11.439
3ho	12.867
3ib	13.17
3if	12.018
4aa	9.246
4ab	9.88
4dl	12.018
7aa	10.987
7ac	11.809
7bc	11.439
5ba	10.126
5bb	10.76
5be	8.777
5bf	9.599
5bh	11.12
5bi	12.074
5ch	11.85
5cj	11.787
5_da	8.692
5da	12.108
5_db	9.326
5db	12.742
5de	10.759
5df	11.58
5_dh	9.685
5dh	13.101
5di	14.055
5dj	13.038
5dk	9.496
5_dl	8.692
5dl	12.108
5dm	14.571
6ac	11.849
6ad	15.221
6bd	16.803
6bg	12.809
6dc	13.431
