Compound Id	X3Av
3aa	0.083
3ab	0.095
3ba	0.083
3be	0.108
3bf	0.112
3de	0.1
3df	0.104
3dk	0.086
3dl	0.088
3ea	0.087
3eb	0.097
3ee	0.112
3ef	0.116
3eh	0.086
3ei	0.072
3el	0.095
3en	0.095
3fb	0.097
3ff	0.115
3fi	0.073
3fn	0.095
3gb	0.101
3gh	0.088
3gn	0.098
3go	0.088
3hb	0.117
3ho	0.105
3ib	0.093
3if	0.106
4aa	0.083
4ab	0.095
4dl	0.088
7aa	0.095
7ac	0.092
7bc	0.102
5ba	0.08
5bb	0.09
5be	0.104
5bf	0.109
5bh	0.079
5bi	0.067
5ch	0.077
5cj	0.076
5_da	0.081
5da	0.08
5_db	0.093
5db	0.088
5de	0.098
5df	0.102
5_dh	0.081
5dh	0.079
5di	0.069
5dj	0.078
5dk	0.086
5_dl	0.09
5dl	0.086
5dm	0.075
6ac	0.09
6ad	0.084
6bd	0.083
6bg	0.087
6dc	0.089
