Compound Id	pIC50 data against the A549 cell line
3aa	4.163
3ab	4.0132
3ba	4.6478
3be	4
3bf	4.0458
3de	4
3df	4.4437
3dk	4
3dl	4.6968
3ea	4
3eb	4.1599
3ee	4
3ef	4
3eh	4
3ei	4.2358
3el	4
3en	4.0655
3fb	4.3947
3ff	4.0088
3fi	4.0376
3fn	4.1355
3gb	4.0953
3gh	4
3gn	4
3go	4
3hb	4
3ho	4
3ib	4.4895
3if	4.1568
4aa	4.6925
4ab	4.1278
4dl	4.284
7aa	4.6576
7ac	4.1543
7bc	4
5ba	4.172
5bb	4.7545
5be	4.4828
5bf	4
5bh	4.6716
5bi	4.8297
5ch	4.3615
5cj	4
5_da	4.8041
5da	4.1325
5_db	4.1549
5db	4.1013
5de	4.4535
5df	4.2069
5_dh	4.6234
5dh	4.1765
5di	4.4935
5dj	4.342
5dk	4
5_dl	4.5452
5dl	4.5157
5dm	4.8861
6ac	4.6799
6ad	4.3526
6bd	4
6bg	4.6402
6dc	4.3585
