Compound Id	pIC50 data against the MCF7 cell line
3aa	4.8356
3ab	5.0605
3ba	4.5229
3be	4.8633
3bf	4.6198
3de	4.5528
3df	4.8633
3dk	4.5258
3dl	5.0458
3ea	4
3eb	4.0788
3ee	4
3ef	4
3eh	4
3ei	4
3el	4
3en	4
3fb	4
3ff	4
3fi	4
3fn	4
3gb	4
3gh	4
3gn	4
3go	4
3hb	4
3ho	4
3ib	4
3if	4.4855
4aa	4.4001
4ab	4.4989
4dl	4.4437
7aa	5.3665
7ac	5.1549
7bc	4.3737
5ba	4.7447
5bb	5.0809
5be	4.4101
5bf	4.8539
5bh	5.2147
5bi	5.1739
5ch	4.983
5cj	4.1543
5_da	4.51
5da	4.466
5_db	5.0458
5db	4.5719
5de	4.7471
5df	4.4647
5_dh	4.9586
5dh	4.251
5di	4.3439
5dj	4.9281
5dk	4.8386
5_dl	4.5287
5dl	4.4437
5dm	4
6ac	4.7986
6ad	4.2104
6bd	4
6bg	4.567
6dc	4.5702
