Compound Id	pIC50 data against the NB4 cell line
3aa	5.2366
3ab	5.1805
3ba	5.0862
3be	5.0223
3bf	4.6326
3de	4.5719
3df	4.9914
3dk	4.7905
3dl	5.1549
3ea	4
3eb	4.4584
3ee	4.0405
3ef	4
3eh	4
3ei	4.5452
3el	4.2874
3en	4.4401
3fb	4.4342
3ff	4.4763
3fi	4.3098
3fn	4.2076
3gb	4.8356
3gh	6.2218
3gn	4.9172
3go	4.8996
3hb	4.3107
3ho	4.7399
3ib	4.6198
3if	4.4012
4aa	5.0809
4ab	4.8996
4dl	4.7447
7aa	5.9208
7ac	5.2518
7bc	5.0706
5ba	5.0223
5bb	5.2676
5be	4.9281
5bf	4.9788
5bh	4.9872
5bi	4.8996
5ch	5.301
5cj	5.0555
5_da	5.1612
5da	4.8447
5_db	4.5834
5db	5.0132
5de	4.8861
5df	5
5_dh	5.2676
5dh	4.8794
5di	4.8894
5dj	4.8962
5dk	4.8041
5_dl	5.0915
5dl	5.0706
5dm	5
6ac	5.1192
6ad	5.0969
6bd	5.1739
6bg	5.1308
6dc	4.9431
