ID,InchiCode
1,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H"
2,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
3,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2"
4,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
5,"InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2"
6,"InChI=1S/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3"
7,InChI=1S/C7H5ClO/c8-7-3-1-6(5-9)2-4-7/h1-5H
8,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
9,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
10,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H
11,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
12,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2
13,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2
14,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3"
15,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
16,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
17,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H
18,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2"
19,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2
20,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
21,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3"
22,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3"
23,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3"
24,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3"
25,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
26,InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2
27,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2
28,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
29,"InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h4-5H,1-3H2"
30,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
31,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"
32,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H"
33,"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H"
34,"InChI=1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3"
35,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3"
36,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3"
37,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)"
38,InChI=1S/C2Cl4/c3-1(4)2(5)6
39,"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H"
40,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2"
41,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
42,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2
43,"InChI=1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H"
44,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3"
45,"InChI=1S/C3H3Cl3/c4-2-1-3(5)6/h1H,2H2"
