Compound Id	Lowest normal mode vib frequency
1	53.38
2	127.5
3	278.11
4	76.69
5	57.72
6	62.66
7	72.23
8	102.14
9	170.8
10	95.1
11	116.21
12	72.18
13	75.11
14	65.03
15	193.63
16	196.75
17	176.88
18	152.6
19	1164.73
20	211.17
21	64.9
22	77.26
23	70.61
24	142.76
25	54.44
26	77.64
27	202.33
28	51.53
29	75.17
30	79.73
31	69.42
32	145.8
33	107.62
34	53.63
35	76.85
36	76.86
37	62.78
38	84.23
39	112.98
40	74.87
41	50.2
42	70.56
43	111.32
44	107.67
45	125.54
46	93.61
47	66.12
48	109.74
49	97.64
50	186.84
51	186.9
52	81.3
53	81.77
54	142.66
55	162.55
56	228.44
57	84.89
58	88.46
59	72.73
60	150.72
61	103.41
62	65.75
63	200.05
64	80.46
65	52.75
66	75.85
67	124.57
68	414.44
69	295.36
70	113.74
71	102.75
72	162.32
73	69.74
74	65.53
75	73.64
76	370.77
77	193.22
78	660.4
79	174.75
80	172.54
81	242.25
82	313.29
83	538.47
84	150.4
85	65.05
86	244.63
87	166.79
88	51.86
89	89.41
90	94.75
91	123.23
92	82.65
93	141.32
94	123.7
95	111.1
96	85.36
97	121.38
98	133.14
99	68.64
100	70.38
101	161.63
102	142.38
103	101.46
104	82.19
