Compound Id	ALOGP [AMR]
502855	23.704
6191	12.869
26325183	20.456
5709	7.219
6153	8.309
16425	9.008
8521	76.828
23150	36.296
8520	63.317
66656	30.517
26824	62.198
18019	75.830
26325084	151.786
6190	17.704
11919	38.972
10696	54.042
26325083	138.275
10451	67.553
23101	49.807
122090	53.343
26325082	124.765
26325081	111.254
10449	81.063
26325080	97.744
66655	39.999
14021447	84.233
67991	37.606
109705	19.304
17619	24.737
692	6.307
291	0.0
6084	10.557
6094	14.709
7555	17.621
6120	20.0
7712	20.532
6308	23.078
9646	24.629
10781	36.472
15802	37.971
17976	42.712
7767	23.444
7604	27.530
7010	26.156
6163	29.477
6340	28.536
8560	26.355
11094	30.441
11023	30.608
11055	32.803
10786	31.613
7619	33.401
10755	34.326
11551	29.234
349	29.267
11035	33.519
11104	37.439
10795	37.071
10445	38.149
7849	32.179
17558	36.265
13439	42.855
13402	44.023
14840	35.090
13448	47.984
13619	38.002
7890	40.913
11882	43.825
11883	46.737
10540	52.560
7929	64.206
11897	67.118
11899	70.029
12017	72.941
12072	75.853
11900	78.764
11901	81.676
11146	84.587
11902	87.499
10542	99.145
11906	110.792
8878	28.278
11585	16.211
11557190	70.723
10452	40.532
108106	72.098
127983	2.243
78828	57.212
68328	43.702
67414	54.074
13837650	20.656
13853215	22.539
9392	22.539
10765	24.415
7674	26.174
14998	28.948
10614293	38.149
6156	22.196
12201	29.280
11109	26.321
24142	52.525
13622	49.614
16180	46.702
7891	43.791
12446	28.105
29025	35.056
12635	40.879
11121	29.232
7713	23.409
12809	37.967
7833	32.144
7556	18.957
7954	15.880
555074	32.225
7957	19.931
4516601	35.136
56442	21.784
4483639	24.861
4516599	36.843
4512361	35.136
4483638	24.861
4449912	21.784
4512642	36.843
18410	36.615
22408	0.0
66675	34.677
10113	25.835
9484	11.713
6085	9.976
7024	23.262
15438	30.792
8896	14.558
14751	29.252
221117	31.797
7787	17.470
8908	20.381
8909	23.293
8910	29.116
71433	26.130
22814	0.0
9095782	21.133
6151	17.579
6188	27.374
11099	25.160
73583	26.838
7340	52.2
8158	32.870
11110	29.198
9642	14.257
11996	31.110
10756390	68.188
62827	15.798
7626	32.010
10265264	34.878
56117	35.111
11230	24.282
63631	29.487
11086	29.741
11841	39.579
6402	44.539
1406720	63.146
1114	19.988
14692	40.844
10179173	34.878
21800	31.797
8544	22.134
7788	25.045
4927801	90.123
10325078	25.347
55188	29.894
68224	68.188
24263	44.991
6364	41.926
11749	26.296
14672	26.816
11228	22.511
11857	27.957
391428	44.991
10733068	85.235
454638	65.353
9990	19.568
6309	24.576
7557	20.294
558883	26.198
56020	26.198
10124	28.858
6111	8.735
10265270	35.059
14198	43.317
7180	46.855
9411	22.717
6149	22.214
15765	31.797
553642	30.869
15413	40.154
7182	47.698
10669	45.634
8569	34.487
12220	40.311
7823	28.664
11849	28.044
10441	17.306
3168	21.6
11833	23.750
455420	32.485
10709	20.838
10179239	35.059
11761	38.184
6108	22.366
69914	51.141
59573	26.523
11671339	51.141
7956	13.013
55090	28.194
10053	28.1
28993	48.494
10054	25.116
9461	22.155
16791	33.564
11117	29.541
205483	17.360
10979	47.969
61346	20.616
6186	32.208
69371	42.471
69569	51.117
7181	47.476
99596	26.182
11351244	32.529
16841	16.898
61266	8.725
6187	32.208
2656	44.033
6827	40.882
20939	46.015
7817	27.442
11788	26.754
13835316	20.461
6270	46.438
454209	19.377
9633	28.953
9377	23.130
9243	10.863
11148	6.569
923	1.945
6121	20.811
6315	23.723
6118	23.794
8577	42.595
14349	39.684
7852	36.772
14680	33.861
7776	28.037
7330	25.503
6122	29.142
7732	20.999
11729	23.481
6307	27.579
13255	26.036
10512	24.961
13837797	31.338
6098	14.777
10536	40.662
7827	34.839
9233	27.775
18607	27.013
5730	26.849
10526	27.873
120464	31.272
24590970	29.165
7733	20.397
7850	33.696
11865	30.785
7714	22.050
10437	19.138
6097	15.606
12219	39.591
7848	36.680
61487	31.177
11863	33.768
7810	30.856
7766	27.945
7711	25.033
7552	22.122
6092	18.590
12010	36.204
11830	33.292
10497	30.380
31029	27.469
6100	23.937
12228	0.0
6042	26.217
13836713	23.551
13803	27.273
7815	30.949
7560	22.214
6103	18.682
6635	50.696
6087	11.312
7721	25.126
6083	14.296
1039	19.187
6088	19.643
13837281	30.945
56232	41.419
5979	41.878
13837190	18.866
7074	39.701
7170	28.536
10534	35.821
10410	19.022
68503	31.430
14694	21.597
7090	6.435
7028	21.451
10487	23.572
13492	25.322
15747	28.234
8356	17.346
18971812	26.052
14688	53.065
71876	45.890
7128	14.268
7183	19.770
7088	19.127
15461	23.975
13299573	23.424
7073	40.358
2340753	24.581
8554	19.778
10340	7.352
13487	22.411
7385	13.676
8531	20.701
7448	20.701
764	5.129
10325184	24.406
6406	26.418
12066	16.897
7738	1.619
10404	19.499
7419	16.587
7219	10.351
11660	15.853
6999	22.008
18688	35.409
7737	16.867
1108	5.502
236	0.0
7521	11.004
7641	11.004
7659	16.506
11871	42.632
55130	34.847
10433	35.720
11992	31.935
10253	19.770
60886	6.98
83962	53.433
12161	29.263
7671	39.732
10446	31.217
62249	31.115
11526	19.036
7672	26.555
7786	35.568
8335	20.701
7657	35.099
22453	34.447
7065	31.369
13875283	6.375
7553	23.459
11409	15.853
3631	23.036
13835836	31.675
55084	38.997
7694	36.085
7482	33.174
11716	36.085
11045	33.174
7515	30.262
13836549	5.235
13836674	20.475
6967	11.004
6977	16.506
21168808	13.526
960	55.518
61213	20.895
7472	29.823
11207996	26.836
29016	33.608
7747	30.696
7627	26.911
10571	27.075
7076	37.155
7003	35.580
9614	0.873
7739	7.794
8883	40.404
7757	47.111
7511	41.288
7509	38.377
29005	35.465
10420	32.553
7478	27.624
7475	29.642
7463	26.730
21111806	1.745
21111820	13.296
21171407	28.806
11910	25.421
13850082	58.905
7872	39.797
7875	45.620
7913	51.443
7670	42.98
8568	33.973
14846	39.906
7800	36.994
11843	31.062
29012	28.150
10797	35.519
7538	34.083
7536	31.171
11755	22.839
7706	25.239
7761	29.536
10492	26.624
11680	25.348
11706	28.260
10653	22.436
68179	29.512
11727	12.858
21108550	1.745
9724	42.305
11731	26.980
8950	14.902
14866	29.274
6720	45.224
7559	16.366
10236	16.506
7012	24.458
11065	25.111
28981	34.9
99681	57.070
8525	21.707
6176	29.897
7081	27.536
6313	21.381
9903	12.642
55123	29.901
12012	26.990
7534	37.689
10791	30.880
11125	24.078
7782	21.167
6316	25.24
9325	1.745
123860	39.708
28986	32.065
6335	17.413
7616	21.105
7129	14.429
10788	28.935
7621	29.587
8329688	23.878
10777	25.857
441	31.3
7838	28.388
5949	25.477
29029	34.211
7772	22.565
256	19.653
512	16.742
21169510	37.221
7676	5.616
13875281	11.118
7220	10.147
7248	15.649
11661	15.649
12674	20.441
8097	15.554
12972	43.711
9976	37.888
7514	32.065
215929	34.977
11025	29.153
7734	17.635
7016	26.242
1095	23.041
2038738	6.199
12259	27.511
13836589	24.056
172	11.718
13836520	30.920
13875230	11.118
18219	34.774
10801109	46.910
29004	30.225
7871	41.6
21153	44.511
7802	32.865
12218	38.688
