Compound Id	AutocorrelationPolarizability [ATSp4]
502855	762.361
6191	52.273
26325183	1873.341
5709	328.689
6153	0.0
16425	0.0
8521	882.625
23150	197.475
8520	651.228
66656	N/A
26824	672.378
18019	950.973
26325084	2300.054
6190	99.258
11919	445.049
10696	822.785
26325083	2068.089
10451	1096.353
23101	421.406
122090	574.281
26325082	1836.123
26325081	1604.155
10449	1351.508
26325080	1372.178
66655	311.052
14021447	1140.153
67991	239.332
109705	934.965
17619	N/A
692	0.0
291	0.0
6084	0.0
6094	0.0
7555	23.161
6120	0.0
7712	60.335
6308	55.796
9646	0.0
10781	356.430
15802	331.904
17976	318.310
7767	106.417
7604	109.057
7010	131.625
6163	99.089
6340	132.515
8560	157.830
11094	164.986
11023	195.955
11055	170.513
10786	231.046
7619	175.942
10755	225.024
11551	228.970
349	212.329
11035	258.255
11104	234.342
10795	355.837
10445	257.637
7849	268.576
17558	279.977
13439	361.646
13402	564.547
14840	325.799
13448	414.942
13619	383.561
7890	441.616
11882	499.832
11883	558.133
10540	674.853
7929	908.425
11897	966.824
11899	1025.224
12017	1083.624
12072	1142.024
11900	1200.424
11901	1258.824
11146	1317.224
11902	1375.624
10542	1609.225
11906	1842.825
8878	97.692
11585	567.008
11557190	907.888
10452	453.025
108106	2327.389
127983	0.0
78828	674.481
68328	435.760
67414	1412.742
13837650	26.064
13853215	165.360
9392	158.813
10765	57.009
7674	231.306
14998	108.126
10614293	257.637
6156	0.0
12201	110.617
11109	108.513
24142	620.513
13622	562.155
16180	503.836
7891	445.589
12446	112.077
29025	272.214
12635	387.476
11121	160.683
7713	61.362
12809	329.613
7833	215.669
7556	23.722
7954	0.0
555074	162.150
7957	0.0
4516601	217.439
56442	24.814
4483639	62.898
4516599	217.243
4512361	217.439
4483638	62.898
4449912	24.814
4512642	217.243
18410	374.111
22408	0.0
66675	234.354
10113	59.614
9484	0.0
6085	0.0
7024	73.628
15438	242.849
8896	0.0
14751	344.590
221117	391.432
7787	128.855
8908	334.866
8909	403.039
8910	543.160
71433	75.455
22814	0.0
9095782	132.684
6151	0.0
6188	244.034
11099	62.398
73583	211.481
7340	686.235
8158	220.273
11110	110.627
9642	0.0
11996	141.605
10756390	1603.966
62827	87.267
7626	147.033
10265264	353.397
56117	228.494
11230	53.256
63631	126.922
11086	239.844
11841	243.199
6402	808.857
1406720	2773.421
1114	0.0
14692	333.451
10179173	353.397
21800	391.432
8544	0.0
7788	132.619
4927801	3076.225
10325078	198.035
55188	188.981
68224	1552.508
24263	688.387
6364	782.206
11749	86.386
14672	79.263
11228	43.816
11857	343.584
391428	688.387
10733068	2123.109
454638	2736.065
9990	20.745
6309	59.185
7557	24.290
558883	63.945
56020	63.945
10124	142.003
6111	0.0
10265270	744.536
14198	804.853
7180	659.413
9411	142.994
6149	0.0
15765	391.432
553642	412.375
15413	361.324
7182	665.503
10669	656.154
8569	225.822
12220	331.826
7823	128.885
11849	130.671
10441	17.790
3168	48.354
11833	86.608
455420	240.130
10709	47.114
10179239	744.536
11761	249.059
6108	0.0
69914	909.431
59573	112.385
11671339	927.734
7956	0.0
55090	106.855
10053	0.0
28993	418.220
10054	0.0
9461	92.413
16791	195.160
11117	136.431
205483	617.095
10979	668.792
61346	113.854
6186	335.277
69371	342.051
69569	479.857
7181	665.529
99596	161.806
11351244	104.651
16841	70.505
61266	1754.633
6187	341.825
2656	1003.680
6827	931.486
20939	659.888
7817	133.345
11788	222.038
13835316	0.0
6270	506.839
454209	55.563
9633	233.0
9377	126.386
9243	0.0
11148	0.0
923	0.0
6121	0.0
6315	60.173
6118	0.0
8577	425.477
14349	367.104
7852	308.797
14680	250.661
7776	136.222
7330	0.0
6122	0.0
7732	49.278
11729	37.317
6307	75.611
13255	148.761
10512	115.135
13837797	134.195
6098	0.0
10536	355.480
7827	216.121
9233	91.395
18607	86.846
5730	0.0
10526	168.529
120464	241.471
24590970	197.576
7733	50.211
7850	281.212
11865	224.245
7714	66.002
10437	24.590
6097	0.0
12219	368.373
7848	310.007
61487	126.023
11863	251.770
7810	193.884
7766	136.889
7711	82.031
7552	32.121
6092	0.0
12010	247.337
11830	183.152
10497	116.716
31029	49.001
6100	0.0
12228	N/A
6042	0.0
13836713	33.056
13803	166.037
7815	192.946
7560	32.416
6103	0.0
6635	919.217
6087	0.0
7721	81.773
6083	0.0
1039	0.0
6088	0.0
13837281	182.736
56232	442.494
5979	581.666
13837190	35.895
7074	338.005
7170	916.061
10534	361.330
10410	497.458
68503	273.341
14694	65.755
7090	347.405
7028	62.292
10487	247.867
13492	662.017
15747	721.640
8356	587.029
18971812	203.812
14688	676.410
71876	494.784
7128	456.687
7183	596.159
7088	620.709
15461	813.926
13299573	142.561
7073	329.361
2340753	86.186
8554	105.248
10340	58.694
13487	601.378
7385	401.948
8531	588.496
7448	574.773
764	254.884
10325184	81.892
6406	157.590
12066	0.0
7738	0.0
10404	538.913
7419	473.220
7219	321.839
11660	449.238
6999	716.739
18688	311.726
7737	0.0
1108	213.794
236	116.939
7521	330.009
7641	335.475
7659	483.465
11871	367.316
55130	245.474
10433	235.808
11992	187.262
10253	665.197
60886	1411.518
83962	1474.225
12161	218.019
7671	338.469
10446	174.612
62249	242.150
11526	64.999
7672	290.384
7786	203.122
8335	650.205
7657	246.207
22453	304.861
7065	209.602
13875283	265.188
7553	32.761
11409	501.319
3631	183.424
13835836	189.923
55084	341.885
7694	284.198
7482	232.239
11716	280.089
11045	226.940
7515	176.809
13836549	464.526
13836674	25.169
6967	366.936
6977	510.820
21168808	100.751
960	742.054
61213	59.497
7472	194.653
11207996	196.927
29016	215.848
7747	163.006
7627	115.813
10571	152.357
7076	325.410
7003	275.795
9614	163.215
7739	0.0
8883	849.596
7757	523.381
7511	407.306
7509	349.709
29005	292.670
10420	236.512
7478	148.715
7475	181.669
7463	129.462
21111806	208.348
21111820	98.019
21171407	49.761
11910	66.270
13850082	821.816
7872	375.464
7875	491.061
7913	607.499
7670	371.053
8568	262.499
14846	406.684
7800	349.050
11843	208.339
29012	157.103
10797	292.910
7538	292.009
7536	235.980
11755	63.470
7706	110.370
7761	159.191
10492	107.714
11680	130.010
11706	181.637
10653	83.363
68179	213.340
11727	11.241
21108550	208.666
9724	788.997
11731	55.296
8950	407.842
14866	922.827
6720	766.226
7559	14.938
10236	552.470
7012	100.034
11065	80.717
28981	319.189
99681	1111.983
8525	68.936
6176	185.109
7081	184.588
6313	36.145
9903	488.232
55123	206.780
12012	154.416
7534	324.144
10791	186.721
11125	106.345
7782	65.059
6316	63.406
9325	223.064
123860	242.937
28986	218.175
6335	32.798
7616	70.212
7129	466.954
10788	189.358
7621	141.708
8329688	78.832
10777	103.847
441	238.899
7838	183.806
5949	131.305
29029	295.468
7772	83.262
256	42.643
512	14.450
21169510	385.799
7676	229.687
13875281	390.814
7220	327.250
7248	465.318
11661	456.223
12674	892.249
8097	706.511
12972	460.072
9976	339.317
7514	214.784
215929	271.990
11025	158.451
7734	32.650
7016	104.505
1095	0.0
2038738	230.849
12259	1006.376
13836589	69.533
172	0.0
13836520	160.444
13875230	359.293
18219	161.505
10801109	862.807
29004	331.052
7871	418.455
21153	476.616
7802	245.974
12218	360.497
12632	302.905
7760	190.214
11095	136.507
21106173	331.052
7607	86.334
13866746	395.3
7577	10.474
7506	437.203
9228	284.328
7239	417.477
11647	407.623
7530	328.839
1266019	615.574
109838	109.440
6321	42.935
13874867	156.848
6314	37.885
4510484	330.406
62530	377.7
13842613	314.622
7391	346.092
7242	301.026
26325086	331.914
13862665	113.071
15443	289.949
124968	137.212
9581	327.175
66809	255.812
221082	410.025
13875320	452.333
6642	1327.559
13835376	152.247
127750	152.641
13857694	384.019
7673	270.501
7662	583.523
363458	186.723
7684	186.320
61111	149.880
13875196	325.417
11042	308.617
24972	452.627
28992	288.070
13875160	352.261
13875258	404.951
9994	0.0
29015	84.607
4446445	244.735
4444608	135.187
394562	44.899
13839199	198.791
18724	593.525
7238	275.011
21105959	436.832
13866817	375.508
13875392	415.082
13839575	176.220
6322	44.042
558020	137.269
21132380	314.478
13677	1087.426
65750	516.984
63903	381.466
10940	343.911
13865438	393.422
13868640	490.489
29001	112.868
21106135	399.884
13837988	415.420
10400	852.434
8067	1744.316
13839109	177.748
21105905	301.836
11077	313.214
906	681.419
13865426	210.774
10710415	240.380
21106560	303.017
20843	321.766
15965	581.922
70682	412.194
13658	641.380
11862	294.451
7710	108.673
7809	234.672
7765	173.331
6794	718.715
26516	565.659
17131	755.461
21106520	198.001
924	441.315
13862559	608.572
6788	851.748
13861343	163.477
73412	147.518
8904	97.892
13874733	198.491
24535	636.761
25552	582.777
10437215	362.506
11087	358.190
10909	1030.020
10918	1031.704
15489	1042.644
2441	1069.210
10939	327.538
11784	213.228
8868	421.018
7518	430.520
21106019	414.021
24533	281.784
1020	107.140
2039535	304.027
8374	640.591
21106586	367.445
11756	44.838
71089	184.405
7688	183.698
8902	97.703
10937	344.372
6897	519.238
17443	238.394
6883	446.038
11785	213.632
7240	306.276
503239	393.472
21106571	900.882
10908	1086.282
3463	5204.196
16388	684.075
6828	853.910
7161	789.315
8141	50.404
7679	188.063
4444456	74.689
66996	199.270
13840690	342.472
11667	417.484
13864445	656.514
21108548	429.493
21106163	886.350
14256731	589.423
6311	36.947
30595	639.717
13865424	389.917
13229	453.743
7175	578.614
7157	589.932
917	838.107
13875356	505.553
12044	1099.876
12682	1274.849
71628	321.532
9363	149.906
6296	624.491
70715	237.590
62632	700.483
78998	642.109
11884	525.446
16177	467.214
15853	409.126
67360	351.303
11866	182.548
15846	293.960
29026	237.484
11846	130.304
7770	82.658
7717	42.596
62808	137.138
21106366	444.749
7420	491.916
21168831	424.046
455090	387.989
71437	1331.587
13063	1001.167
558878	449.191
25886	293.166
71430	261.118
559096	2547.960
13868660	546.802
707	1810.268
387	67.820
10018	84.264
61001	684.540
20570	414.231
21106540	942.711
15855	789.315
7790	65.901
8903	97.821
62489	257.998
8899	0.0
13634	307.064
13630	252.566
553578	449.191
66565	191.576
10437135	305.993
66021	198.410
7221	308.230
7383	470.027
6339	315.862
6736	912.604
10851	1097.137
10850	1113.491
23977588	5719.567
24043	157.843
12069	201.735
191367	149.189
11799	100.809
7615	59.046
11265	371.063
67653	352.064
21106032	124.446
1348	61.321
66896	1085.716
62534	435.437
