Compound Id	EccentricConnectivityIndex
502855	186
6191	34
26325183	464
5709	69
6153	12
16425	18
8521	308
23150	52
8520	200
66656	45
26824	154
18019	196
26325084	1386
6190	34
11919	48
10696	160
26325083	1138
10451	220
23101	112
122090	121
26325082	918
26325081	718
10449	336
26325080	546
66655	70
14021447	394
67991	52
109705	180
17619	38
692	2
291	0
6084	2
6094	6
7555	14
6120	9
7712	24
6308	19
9646	12
10781	43
15802	83
17976	65
7767	38
7604	31
7010	29
6163	24
6340	24
8560	54
11094	47
11023	45
11055	38
10786	36
7619	38
10755	34
11551	36
349	74
11035	63
11104	56
10795	43
10445	45
7849	96
17558	87
13439	52
13402	48
14840	122
13448	74
13619	150
7890	182
11882	216
11883	254
10540	338
7929	542
11897	600
11899	662
12017	726
12072	794
11900	864
11901	938
11146	1014
11902	1094
10542	1442
11906	1838
8878	40
11585	113
11557190	270
10452	84
108106	312
127983	2
78828	166
68328	90
67414	174
13837650	14
13853215	34
9392	34
10765	19
7674	45
14998	38
10614293	45
6156	12
12201	31
11109	38
24142	294
13622	254
16180	216
7891	182
12446	31
29025	96
12635	150
11121	54
7713	24
12809	122
7833	74
7556	14
7954	6
555074	54
7957	9
4516601	74
56442	14
4483639	24
4516599	74
4512361	74
4483638	24
4449912	14
4512642	74
18410	112
22408	0
66675	34
10113	19
9484	12
6085	2
7024	29
15438	64
8896	20
14751	60
221117	54
7787	36
8908	42
8909	64
8910	100
71433	24
22814	0
9095782	34
6151	12
6188	34
11099	24
73583	34
7340	144
8158	36
11110	38
9642	6
11996	38
10756390	230
62827	41
7626	38
10265264	58
56117	68
11230	19
63631	24
11086	45
11841	76
6402	74
1406720	140
1114	9
14692	122
10179173	58
21800	54
8544	20
7788	36
4927801	410
10325078	34
55188	34
68224	252
24263	84
6364	73
11749	31
14672	24
11228	19
11857	42
391428	84
10733068	321
454638	152
9990	14
6309	19
7557	14
558883	24
56020	24
10124	24
6111	6
10265270	90
14198	74
7180	88
9411	63
6149	12
15765	54
553642	64
15413	88
7182	88
10669	88
8569	96
12220	150
7823	54
11849	54
10441	14
3168	24
11833	38
455420	96
10709	24
10179239	90
11761	38
6108	6
69914	141
59573	34
11671339	139
7956	6
55090	24
10053	12
28993	98
10054	12
9461	56
16791	74
11117	36
205483	113
10979	88
61346	52
6186	34
69371	52
69569	112
7181	88
99596	29
11351244	40
16841	29
61266	312
6187	34
2656	82
6827	140
20939	88
7817	54
11788	45
13835316	9
6270	108
454209	24
9633	96
9377	54
9243	6
11148	2
923	6
6121	9
6315	19
6118	9
8577	150
14349	122
7852	96
14680	74
7776	38
7330	20
6122	9
7732	24
11729	14
6307	19
13255	42
10512	38
13837797	54
6098	6
10536	96
7827	54
9233	24
18607	24
5730	12
10526	54
120464	34
24590970	29
7733	24
7850	96
11865	74
7714	24
10437	14
6097	6
12219	122
7848	96
61487	24
11863	74
7810	54
7766	38
7711	24
7552	14
6092	6
12010	54
11830	38
10497	24
31029	14
6100	6
12228	45
6042	12
13836713	14
13803	41
7815	54
7560	14
6103	6
6635	70
6087	2
7721	24
6083	2
1039	6
6088	2
13837281	24
56232	156
5979	34
13837190	24
7074	85
7170	112
10534	42
10410	92
68503	48
14694	24
7090	78
7028	29
10487	45
13492	201
15747	239
8356	90
18971812	34
14688	304
71876	186
7128	69
7183	88
7088	78
15461	99
13299573	52
7073	85
2340753	24
8554	36
10340	29
13487	167
7385	81
8531	90
7448	100
764	58
10325184	24
6406	36
12066	20
7738	20
10404	135
7419	107
7219	60
11660	77
6999	80
18688	63
7737	20
1108	45
236	36
7521	58
7641	54
7659	63
11871	74
55130	72
10433	74
11992	54
10253	76
60886	208
83962	142
12161	48
7671	83
10446	45
62249	43
11526	29
7672	45
7786	38
8335	80
7657	72
22453	70
7065	54
13875283	58
7553	14
11409	67
3631	72
13835836	61
55084	133
7694	107
7482	83
11716	109
11045	85
7515	63
13836549	102
13836674	14
6967	54
6977	67
21168808	29
960	415
61213	24
7472	54
11207996	54
29016	76
7747	56
7627	38
10571	36
7076	98
7003	74
9614	45
7739	20
8883	84
7757	235
7511	165
7509	135
29005	107
10420	83
7478	61
7475	61
7463	45
21111806	54
21111820	29
21171407	14
11910	24
13850082	161
7872	169
7875	239
7913	321
7670	83
8568	111
14846	167
7800	137
11843	87
29012	65
10797	43
7538	109
7536	85
11755	31
7706	47
7761	65
10492	47
11680	45
11706	63
10653	29
68179	96
11727	14
21108550	58
9724	74
11731	14
8950	81
14866	126
6720	95
7559	14
10236	63
7012	29
11065	31
28981	74
99681	166
8525	31
6176	29
7081	36
6313	19
9903	70
55123	96
12012	74
7534	72
10791	36
11125	54
7782	38
6316	19
9325	54
123860	122
28986	61
6335	19
7616	31
7129	69
10788	36
7621	38
8329688	24
10777	24
441	96
7838	74
5949	54
29029	122
7772	38
256	24
512	14
21169510	63
7676	45
13875281	54
7220	60
7248	71
11661	77
12674	140
8097	90
12972	161
9976	105
7514	63
215929	85
11025	45
7734	24
7016	29
1095	20
2038738	60
12259	89
13836589	38
172	6
13836520	77
13875230	54
18219	24
10801109	128
29004	63
7871	169
21153	203
7802	87
12218	139
12632	111
7760	65
11095	47
21106173	63
7607	31
13866746	89
7577	14
7506	122
9228	58
7239	60
11647	92
7530	58
1266019	199
109838	54
6321	19
13874867	54
6314	19
4510484	74
62530	81
13842613	54
7391	81
7242	60
26325086	61
13862665	47
15443	60
124968	45
9581	71
66809	60
221082	81
13875320	54
6642	102
13835376	74
127750	74
13857694	54
7673	45
7662	63
363458	45
7684	45
61111	45
13875196	77
11042	58
24972	67
28992	58
13875160	58
13875258	58
9994	16
29015	36
4446445	96
4444608	54
394562	24
13839199	45
18724	78
7238	60
21105959	67
13866817	58
13875392	54
13839575	96
6322	19
558020	45
21132380	54
13677	119
65750	135
63903	81
10940	54
13865438	77
13868640	58
29001	38
21106135	71
13837988	54
10400	212
8067	102
13839109	87
