Compound Id	ChiPath [SP-1]
502855	6.630
6191	3.25
26325183	10.382
5709	4.305
6153	2.0
16425	2.449
8521	8.828
23150	3.707
8520	7.121
66656	N/A
26824	7.121
18019	8.828
26325084	18.485
6190	3.25
11919	4.243
10696	6.828
26325083	16.778
10451	8.536
23101	5.414
122090	5.975
26325082	15.071
26325081	13.364
10449	10.243
26325080	11.657
66655	4.268
14021447	9.950
67991	3.707
109705	7.816
17619	N/A
692	1.0
291	0.0
6084	1.0
6094	1.414
7555	1.914
6120	1.732
7712	2.414
6308	2.270
9646	2.0
10781	3.481
15802	4.308
17976	3.917
7767	2.914
7604	2.770
7010	2.808
6163	2.561
6340	2.643
8560	3.414
11094	3.270
11023	3.308
11055	3.061
10786	3.181
7619	3.126
10755	3.121
11551	3.346
349	3.914
11035	3.808
11104	3.626
10795	3.553
10445	3.417
7849	4.414
17558	4.270
13439	3.707
13402	4.243
14840	4.914
13448	4.207
13619	5.414
7890	5.914
11882	6.414
11883	6.914
10540	7.914
7929	9.914
11897	10.414
11899	10.914
12017	11.414
12072	11.914
11900	12.414
11901	12.914
11146	13.414
11902	13.914
10542	15.914
11906	17.914
8878	3.449
11585	5.236
11557190	8.243
10452	5.121
108106	11.314
127983	1.0
78828	6.536
68328	4.828
67414	8.485
13837650	1.914
13853215	3.25
9392	3.25
10765	2.270
7674	3.394
14998	3.061
10614293	3.417
6156	2.0
12201	2.770
11109	2.914
24142	7.414
13622	6.914
16180	6.414
7891	5.914
12446	2.770
29025	4.414
12635	5.414
11121	3.414
7713	2.414
12809	4.914
7833	3.914
7556	1.914
7954	1.414
555074	3.414
7957	1.732
4516601	3.914
56442	1.914
4483639	2.414
4516599	3.914
4512361	3.914
4483638	2.414
4449912	1.914
4512642	3.914
18410	4.932
22408	0.0
66675	3.25
10113	2.270
9484	2.0
6085	1.0
7024	2.894
15438	3.932
8896	2.5
14751	3.932
221117	3.805
7787	3.0
8908	3.5
8909	4.0
8910	5.0
71433	2.561
22814	0.0
9095782	3.25
6151	2.0
6188	3.25
11099	2.414
73583	3.25
7340	6.346
8158	3.346
11110	2.914
9642	1.414
11996	3.061
10756390	9.071
62827	3.504
7626	3.126
10265264	3.788
56117	4.121
11230	2.270
63631	2.643
11086	3.394
11841	4.126
6402	4.621
1406720	6.967
1114	1.732
14692	4.914
10179173	3.788
21800	3.805
8544	2.5
7788	3.0
4927801	14.142
10325078	3.25
55188	3.121
68224	9.071
24263	4.621
6364	4.621
11749	2.770
14672	2.561
11228	2.270
11857	3.5
391428	4.621
10733068	11.339
454638	6.983
9990	1.914
6309	2.270
7557	1.914
558883	2.414
56020	2.414
10124	2.643
6111	1.5
10265270	4.966
14198	4.621
7180	4.698
9411	3.981
6149	2.0
15765	3.805
553642	4.0
15413	5.182
7182	4.698
10669	4.698
8569	4.414
12220	5.414
7823	3.414
11849	3.414
10441	1.914
3168	2.414
11833	2.914
455420	4.414
10709	2.414
10179239	4.966
11761	3.126
6108	1.414
69914	6.803
59573	3.121
11671339	6.803
7956	1.414
55090	2.561
10053	2.0
28993	4.664
10054	2.0
9461	3.561
16791	3.914
11117	3.0
205483	5.236
10979	4.698
61346	3.707
6186	3.25
69371	3.707
69569	5.414
7181	4.698
99596	2.943
11351244	3.449
16841	2.943
61266	10.107
6187	3.25
2656	5.019
6827	5.966
20939	4.698
7817	3.414
11788	3.394
13835316	1.732
6270	6.243
454209	2.561
9633	4.414
9377	3.414
9243	1.414
11148	1.0
923	1.414
6121	1.732
6315	2.270
6118	1.732
8577	5.414
14349	4.914
7852	4.414
14680	3.914
7776	2.914
7330	2.5
6122	1.732
7732	2.414
11729	1.914
6307	2.270
13255	3.288
10512	2.914
13837797	3.414
6098	1.414
10536	4.414
7827	3.414
9233	2.414
18607	2.414
5730	2.0
10526	3.414
120464	3.121
24590970	2.943
7733	2.414
7850	4.414
11865	3.914
7714	2.414
10437	1.914
6097	1.414
12219	4.914
7848	4.414
61487	2.561
11863	3.914
7810	3.414
7766	2.914
7711	2.414
7552	1.914
6092	1.414
12010	3.414
11830	2.914
10497	2.414
31029	1.914
6100	1.414
12228	N/A
6042	2.0
13836713	1.914
13803	3.682
7815	3.414
7560	1.914
6103	1.414
6635	4.464
6087	1.0
7721	2.414
6083	1.0
1039	1.414
6088	1.0
13837281	2.643
56232	5.561
5979	3.25
13837190	2.414
7074	4.537
7170	5.609
10534	3.5
10410	4.788
68503	4.243
14694	2.561
7090	4.605
7028	2.894
10487	3.394
13492	6.432
15747	6.932
8356	4.843
18971812	3.25
14688	7.561
71876	6.181
7128	4.305
7183	4.698
7088	4.605
15461	5.166
13299573	3.707
7073	4.537
2340753	2.561
8554	3.0
10340	2.894
13487	5.932
7385	4.432
8531	4.864
7448	4.864
764	3.788
10325184	2.561
6406	3.181
12066	2.5
7738	2.5
10404	5.432
7419	4.932
7219	3.932
11660	4.326
6999	4.609
18688	3.981
7737	2.5
1108	3.394
236	3.0
7521	3.788
7641	3.788
7659	4.182
11871	3.914
55130	4.164
10433	4.164
11992	3.664
10253	4.715
60886	8.285
83962	6.377
12161	4.243
7671	4.520
10446	3.417
62249	3.481
11526	2.808
7672	3.394
7786	2.914
8335	4.881
7657	4.164
22453	4.219
7065	3.681
13875283	3.788
7553	1.914
11409	4.343
3631	4.337
13835836	3.808
55084	5.308
7694	4.808
7482	4.308
11716	4.808
11045	4.308
7515	3.808
13836549	5.464
13836674	1.914
6967	3.805
6977	4.198
21168808	2.894
960	8.770
61213	2.561
7472	3.664
11207996	3.664
29016	4.126
7747	3.626
7627	3.126
10571	3.181
7076	4.681
7003	4.181
9614	3.394
7739	2.5
8883	4.899
7757	6.808
7511	5.808
7509	5.308
29005	4.808
10420	4.308
7478	3.808
7475	3.808
7463	3.308
21111806	3.788
21111820	2.894
21171407	1.914
11910	2.561
13850082	6.394
7872	5.770
7875	6.770
7913	7.770
7670	4.520
8568	4.770
14846	5.808
7800	5.308
11843	4.270
29012	3.770
10797	3.553
7538	4.808
7536	4.308
11755	2.770
7706	3.270
7761	3.770
10492	3.270
11680	3.308
11706	3.808
10653	2.808
68179	4.414
11727	1.914
21108550	3.788
9724	4.621
11731	1.914
8950	4.432
14866	5.537
6720	5.109
7559	1.914
10236	4.215
7012	2.808
11065	2.770
28981	4.346
99681	6.416
8525	2.770
6176	2.943
7081	3.346
6313	2.270
9903	4.466
55123	4.414
12012	3.914
7534	4.202
10791	3.181
11125	3.414
7782	2.914
6316	2.270
9325	3.805
123860	4.914
28986	3.808
6335	2.270
7616	2.770
7129	4.305
10788	3.181
7621	3.126
8329688	2.561
10777	2.643
441	4.414
7838	3.914
5949	3.414
29029	4.914
7772	2.914
256	2.414
512	1.914
21169510	3.981
7676	3.394
13875281	3.805
7220	3.932
7248	4.326
11661	4.326
12674	5.966
8097	4.966
12972	5.808
9976	4.808
7514	3.808
215929	4.308
11025	3.308
7734	2.414
7016	2.808
1095	2.5
2038738	3.932
12259	5.037
13836589	2.914
172	1.414
13836520	3.932
13875230	3.788
18219	2.414
10801109	7.201
29004	4.182
7871	5.770
21153	6.270
7802	4.270
12218	5.270
12632	4.770
7760	3.770
11095	3.270
21106173	4.182
7607	2.770
13866746	5.037
7577	1.914
7506	5.164
9228	3.788
7239	3.932
11647	4.788
7530	3.788
1266019	6.520
109838	3.414
6321	2.270
13874867	3.664
6314	2.270
4510484	4.346
62530	4.432
13842613	3.788
7391	4.432
7242	3.932
26325086	4.101
13862665	3.270
15443	3.932
124968	3.394
9581	4.326
66809	3.932
221082	4.432
13875320	3.805
6642	5.464
13835376	3.914
127750	3.914
13857694	3.788
7673	3.394
7662	4.182
363458	3.394
7684	3.394
61111	3.394
13875196	4.326
11042	3.788
24972	4.198
28992	3.788
13875160	3.788
13875258	3.788
9994	2.0
29015	3.0
4446445	4.414
4444608	3.414
394562	2.414
13839199	3.394
18724	4.605
7238	3.932
21105959	4.343
13866817	3.788
13875392	3.788
13839575	4.414
6322	2.270
558020	3.394
21132380	3.788
13677	5.915
65750	5.432
63903	4.432
10940	3.805
13865438	4.326
13868640	3.788
29001	3.126
21106135	4.326
13837988	3.805
10400	6.949
8067	5.464
13839109	4.270
21105905	3.932
11077	3.788
906	4.966
13865426	4.164
10710415	4.202
21106560	3.932
20843	3.805
15965	5.843
70682	4.914
13658	4.609
11862	3.914
7710	2.414
7809	3.414
7765	2.914
6794	5.381
26516	4.432
17131	6.287
21106520	3.394
924	4.305
13862559	4.198
6788	5.360
13861343	2.943
73412	2.914
8904	3.0
13874733	3.394
24535	5.198
25552	4.881
10437215	4.932
11087	3.394
10909	5.754
10918	5.754
15489	6.360
2441	4.983
10939	3.805
11784	3.394
8868	4.466
7518	3.788
21106019	4.326
24533	3.932
1020	3.0
2039535	4.432
8374	6.343
21106586	4.591
11756	2.770
71089	3.394
7688	3.394
8902	3.0
10937	3.805
6897	5.343
17443	3.932
6883	4.843
11785	3.394
7240	3.932
503239	4.305
21106571	4.609
10908	5.771
3463	7.703
16388	7.509
6828	5.966
7161	5.109
8141	2.894
7679	3.394
4444456	2.414
66996	3.394
13840690	3.932
11667	4.326
13864445	4.215
21108548	3.788
21106163	4.609
14256731	6.596
6311	2.270
30595	5.253
13865424	4.326
13229	5.058
7175	5.236
7157	5.236
917	5.877
13875356	3.788
12044	6.377
12682	6.165
71628	4.346
9363	3.394
6296	4.495
70715	3.394
62632	8.414
78998	7.914
11884	6.914
16177	6.414
15853	5.914
67360	5.414
11866	3.914
15846	4.914
29026	4.414
11846	3.414
7770	2.914
7717	2.414
62808	3.394
21106366	4.788
7420	4.932
21168831	4.432
455090	4.305
71437	5.235
13063	5.898
558878	5.164
25886	4.346
71430	4.364
559096	8.416
13868660	3.788
707	5.464
387	2.643
10018	3.0
61001	5.910
20570	4.305
21106540	4.626
15855	5.109
7790	3.0
8903	3.0
62489	3.932
8899	2.5
13634	3.932
13630	3.394
553578	5.164
66565	3.788
10437135	4.432
66021	3.394
7221	3.932
7383	4.432
6339	2.643
6736	5.377
10851	5.771
10850	5.771
23977588	8.686
24043	3.346
12069	4.270
191367	3.770
11799	3.270
7615	2.770
11265	4.091
67653	4.914
21106032	2.914
1348	2.894
66896	9.343
62534	4.826
62408	4.843
7389	4.432
38364	4.215
12045	6.360
2003	8.276
17784	4.019
12637	5.914
21106524	4.343
13875212	3.805
19475	2.808
13647	4.305
21168826	4.326
6780	4.966
10841	5.788
25889	3.719
25890	5.846
10227261	7.414
220998	6.346
12954	5.346
13851576	3.932
12047	6.360
16736498	8.686
6478	5.949
8912	6.0
10849	5.771
11038	3.788
89076	7.881
199342	6.931
19477	4.346
6287	5.182
13811	5.705
14169248	4.346
10437074	3.394
21105878	4.864
21168813	4.698
235	3.932
8186	4.698
13872122	4.932
8098	4.966
6737	5.377
6789	5.360
15861	6.182
4445317	6.432
11632	4.346
13885245	5.826
8674	4.864
7132	4.305
11783	3.394
27488	4.215
10813	5.788
7202	5.236
30516	4.846
26325090	4.914
21112023	4.698
13876539	4.432
68676	5.647
551	6.449
11776	4.182
66895	7.343
66887	6.843
9893	5.343
63518	6.343
59482	5.843
6881	4.843
13839308	4.432
10586285	6.999
218253	6.377
7689	3.394
63310	4.626
7299	6.449
10829	5.788
12957	3.308
84036	3.846
68152	3.481
24041	4.308
19953955	3.414
14556	5.343
21106140	6.312
1361549	7.364
10831	5.788
23886	6.788
33421	6.788
70714	3.394
15755	5.771
14995	5.788
14994	5.788
67470	5.771
15476	5.771
15756	5.754
6592	6.449
21943	3.808
10106	6.682
19956441	3.914
11930	3.553
10384035	4.432
65936	3.932
14227	4.698
11584	5.236
13867714	5.966
19957731	5.414
120489	3.932
7302	6.449
16387	7.260
502245	6.630
5708	3.346
16159	3.181
13648	4.305
13835126	4.698
34863	7.198
23730	2.808
23621376	2.914
21106146	4.698
12231	3.805
15619	6.165
15789876	9.307
7224	3.932
11600	3.826
21106144	4.715
13863774	4.698
7138	4.305
6604	5.771
25677	7.609
6840	6.933
12816	3.932
21111781	4.881
15475	5.788
15477	5.788
15478	5.771
15524	5.754
158870	6.182
157093	6.165
83374	6.165
457144	6.182
135925	6.198
457145	6.182
8807	5.949
19476	3.308
28969	4.788
13863629	3.432
7278	5.326
13644	4.305
21106014	4.343
6852	5.898
6735	5.377
30572	4.537
21106013	4.698
26260	6.182
4932499	6.609
12586	6.682
7964	5.621
6193	6.182
15620	6.198
11708	3.788
13859497	5.398
9943	3.932
456015	3.932
63906	4.326
15621	6.182
11632871	8.0
13856009	4.305
8876	4.966
21106020	4.698
15488	6.360
84188	6.198
136000	6.198
135983	6.182
136001	6.182
136002	6.198
136003	6.182
84235	6.165
82755	6.575
82712	6.592
157094	6.575
103011	6.575
102798	6.609
82762	6.592
13849665	10.028
24326358	6.147
5894	2.270
68437	6.198
26010	6.788
30600	6.771
33455	6.771
33934	6.771
33932	6.771
