Compound Id	ChiChain [VCH-7]
502855	0.025
6191	0.0
26325183	0.170
5709	0.012
6153	0.0
16425	0.0
8521	0.0
23150	0.0
8520	0.0
66656	N/A
26824	0.0
18019	0.0
26325084	0.0
6190	0.0
11919	0.0
10696	0.0
26325083	0.0
10451	0.0
23101	0.0
122090	0.0
26325082	0.0
26325081	0.0
10449	0.0
26325080	0.0
66655	0.0
14021447	0.0
67991	0.0
109705	0.036
17619	N/A
692	0.0
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.0
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.0
11035	0.0
11104	0.0
10795	0.0
10445	0.0
7849	0.0
17558	0.0
13439	0.0
13402	0.0
14840	0.0
13448	0.0
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.471
11585	0.030
11557190	0.0
10452	1.378
108106	0.0
127983	0.0
78828	0.0
68328	0.0
67414	0.974
13837650	0.0
13853215	0.0
9392	0.0
10765	0.0
7674	0.102
14998	0.0
10614293	0.0
6156	0.0
12201	0.0
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
12446	0.0
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
7957	0.0
4516601	0.0
56442	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4449912	0.0
4512642	0.0
18410	0.072
22408	0.0
66675	0.0
10113	0.0
9484	0.0
6085	0.0
7024	0.0
15438	0.072
8896	0.0
14751	0.072
221117	0.167
7787	0.0
8908	0.0
8909	0.0
8910	0.0
71433	0.0
22814	0.0
9095782	0.0
6151	0.0
6188	0.0
11099	0.0
73583	0.0
7340	0.0
8158	0.0
11110	0.0
9642	0.0
11996	0.0
10756390	0.0
62827	0.0
7626	0.0
10265264	0.167
56117	0.0
11230	0.0
63631	0.0
11086	0.072
11841	0.0
6402	0.926
1406720	1.025
1114	0.0
14692	0.0
10179173	0.167
21800	0.167
8544	0.0
7788	0.0
4927801	0.0
10325078	0.0
55188	0.0
68224	0.0
24263	0.760
6364	0.876
11749	0.0
14672	0.0
11228	0.0
11857	0.0
391428	0.760
10733068	0.0
454638	1.193
9990	0.0
6309	0.0
7557	0.0
558883	0.0
56020	0.0
10124	0.0
6111	0.0
10265270	0.236
14198	0.959
7180	0.062
9411	0.0
6149	0.0
15765	0.167
553642	0.0
15413	0.0
7182	0.066
10669	0.062
8569	0.0
12220	0.0
7823	0.0
11849	0.0
10441	0.0
3168	0.0
11833	0.0
455420	0.0
10709	0.0
10179239	0.236
11761	0.0
6108	0.0
69914	1.087
59573	0.0
11671339	1.087
7956	0.0
55090	0.0
10053	0.0
28993	0.0
10054	0.0
9461	0.0
16791	0.0
11117	0.0
205483	0.030
10979	0.077
61346	0.0
6186	0.0
69371	0.0
69569	0.0
7181	0.066
99596	0.0
11351244	0.236
16841	0.0
61266	0.075
6187	0.0
2656	0.398
6827	0.118
20939	0.088
7817	0.0
11788	0.079
13835316	0.0
6270	0.0
454209	0.0
9633	0.0
9377	0.0
9243	0.0
11148	0.0
923	0.0
6121	0.0
6315	0.0
6118	0.0
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7330	0.0
6122	0.0
7732	0.0
11729	0.0
6307	0.0
13255	0.068
10512	0.0
13837797	0.0
6098	0.0
10536	0.0
7827	0.0
9233	0.0
18607	0.0
5730	0.0
10526	0.0
120464	0.0
24590970	0.0
7733	0.0
7850	0.0
11865	0.0
7714	0.0
10437	0.0
6097	0.0
12219	0.0
7848	0.0
61487	0.0
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
6100	0.0
12228	N/A
6042	0.0
13836713	0.0
13803	0.0
7815	0.0
7560	0.0
6103	0.0
6635	0.0
6087	0.0
7721	0.0
6083	0.0
1039	0.0
6088	0.0
13837281	0.0
56232	0.0
5979	0.0
13837190	0.0
7074	0.0
7170	0.032
10534	0.0
10410	0.023
68503	0.0
14694	0.0
7090	0.016
7028	0.0
10487	0.116
13492	0.023
15747	0.023
8356	0.019
18971812	0.0
14688	0.0
71876	0.0
7128	0.019
7183	0.044
7088	0.016
15461	0.016
13299573	0.0
7073	0.0
2340753	0.0
8554	0.0
10340	0.0
13487	0.023
7385	0.023
8531	0.039
7448	0.039
764	0.025
10325184	0.0
6406	0.0
12066	0.0
7738	0.0
10404	0.023
7419	0.023
7219	0.023
11660	0.047
6999	0.083
18688	0.0
7737	0.0
1108	0.032
236	0.0
7521	0.056
7641	0.056
7659	0.072
11871	0.0
55130	0.0
