Compound Id	ChiPathCluster [VPC-4]
502855	0.408
6191	0.243
26325183	0.801
5709	0.220
6153	0.0
16425	0.0
8521	15.523
23150	5.511
8520	12.186
66656	N/A
26824	10.976
18019	12.860
26325084	32.880
6190	0.486
11919	6.364
10696	13.348
26325083	29.543
10451	16.686
23101	8.848
122090	8.357
26325082	26.206
26325081	22.869
10449	20.023
26325080	19.532
66655	5.847
14021447	16.195
67991	6.003
109705	0.905
17619	N/A
692	0.0
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.408
9646	0.0
10781	2.295
15802	0.408
17976	1.039
7767	0.0
7604	0.289
7010	0.577
6163	1.061
6340	1.333
8560	0.0
11094	0.289
11023	0.493
11055	0.75
10786	1.276
7619	0.471
10755	1.707
11551	0.612
349	0.0
11035	0.493
11104	0.577
10795	1.821
10445	0.816
7849	0.0
17558	0.289
13439	1.061
13402	2.121
14840	0.0
13448	1.5
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.813
11585	0.365
11557190	12.857
10452	10.011
108106	14.230
127983	0.0
78828	9.520
68328	6.183
67414	10.673
13837650	0.0
13853215	0.945
9392	0.891
10765	0.236
7674	0.408
14998	1.299
10614293	0.816
6156	0.0
12201	0.236
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
12446	0.177
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
7957	0.0
4516601	0.0
56442	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4449912	0.0
4512642	0.0
18410	0.433
22408	0.0
66675	40.5
10113	0.289
9484	0.0
6085	0.0
7024	0.408
15438	0.433
8896	0.0
14751	0.493
221117	1.138
7787	0.0
8908	0.0
8909	0.0
8910	0.0
71433	1.837
22814	0.0
9095782	0.789
6151	0.0
6188	1.674
11099	0.0
73583	1.357
7340	0.335
8158	0.474
11110	0.0
9642	0.0
11996	0.433
10756390	11.194
62827	0.286
7626	0.272
10265264	0.816
56117	1.573
11230	0.316
63631	1.033
11086	0.289
11841	0.333
6402	2.971
1406720	4.487
1114	0.0
14692	0.0
10179173	0.816
21800	1.138
8544	0.0
7788	0.0
4927801	17.788
10325078	1.336
55188	1.135
68224	11.383
24263	2.240
6364	2.822
11749	0.167
14672	0.612
11228	0.236
11857	0.0
391428	2.240
10733068	14.040
454638	4.962
9990	0.0
6309	0.144
7557	0.0
558883	0.0
56020	0.0
10124	0.604
6111	0.0
10265270	0.943
14198	2.930
7180	1.072
9411	0.164
6149	0.0
15765	1.138
553642	0.0
15413	1.277
7182	1.020
10669	1.061
8569	0.0
12220	0.0
7823	0.0
11849	0.0
10441	0.0
3168	0.0
11833	0.0
455420	0.0
10709	0.0
10179239	0.943
11761	0.816
6108	0.0
69914	8.537
59573	2.225
11671339	8.443
7956	0.0
55090	1.155
10053	0.0
28993	0.408
10054	0.0
9461	0.062
16791	0.0
11117	0.0
205483	0.393
10979	1.053
61346	0.253
6186	2.673
69371	16.534
69569	9.340
7181	1.020
99596	1.235
11351244	0.515
16841	0.327
61266	1.197
6187	2.835
2656	2.411
6827	0.943
20939	1.009
7817	0.0
11788	0.316
13835316	0.0
6270	0.866
454209	0.318
9633	0.0
9377	0.0
9243	0.0
11148	0.0
923	0.0
6121	0.0
6315	0.463
6118	0.0
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7330	0.0
6122	0.0
7732	0.0
11729	0.0
6307	0.802
13255	0.428
10512	0.0
13837797	0.0
6098	0.0
10536	0.0
7827	0.0
9233	0.0
18607	0.0
5730	0.0
10526	0.0
120464	1.869
24590970	1.927
7733	0.0
7850	0.0
11865	0.0
7714	0.0
10437	0.0
6097	0.0
12219	0.0
7848	0.0
61487	1.742
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
6100	0.0
12228	N/A
6042	0.0
13836713	0.0
13803	1.806
7815	0.0
7560	0.0
6103	0.0
6635	2.156
6087	0.0
7721	0.0
6083	0.0
1039	0.0
6088	0.0
13837281	1.458
56232	0.354
5979	6.560
13837190	0.0
7074	0.412
7170	1.259
10534	0.0
10410	0.408
68503	1.478
14694	0.401
7090	0.314
7028	0.236
10487	0.463
13492	0.219
15747	0.219
8356	0.715
18971812	1.416
14688	0.354
71876	0.245
7128	0.637
7183	0.829
7088	1.212
15461	1.726
13299573	0.363
7073	0.533
2340753	0.694
8554	0.0
10340	0.136
13487	0.219
7385	0.219
8531	0.490
7448	0.508
764	0.172
10325184	0.652
6406	0.257
12066	0.0
7738	0.0
10404	0.219
7419	0.219
7219	0.254
11660	0.446
6999	1.199
18688	0.767
7737	0.0
1108	0.192
236	0.0
7521	0.385
7641	0.359
7659	0.5
11871	0.0
55130	0.194
10433	0.267
11992	0.211
10253	0.907
60886	1.031
83962	4.850
12161	1.225
7671	0.463
10446	0.348
62249	0.779
11526	0.068
7672	0.802
7786	0.0
8335	0.584
7657	0.280
22453	0.487
7065	0.366
13875283	0.265
7553	0.0
11409	0.591
3631	0.439
13835836	0.136
55084	0.083
7694	0.083
7482	0.083
11716	0.101
11045	0.101
7515	0.101
13836549	0.498
13836674	0.0
6967	0.622
6977	0.790
21168808	0.408
960	0.046
61213	0.360
7472	0.298
11207996	0.433
29016	0.348
7747	0.226
7627	0.166
10571	0.380
7076	0.245
7003	0.245
9614	0.073
7739	0.0
8883	1.414
