Compound Id	KierHallSmarts [khs.aasC]
502855	2
6191	0
26325183	2
5709	1
6153	0
16425	0
8521	0
23150	0
8520	0
66656	0
26824	0
18019	0
26325084	0
6190	0
11919	0
10696	0
26325083	0
10451	0
23101	0
122090	0
26325082	0
26325081	0
10449	0
26325080	0
66655	0
14021447	0
67991	0
109705	3
17619	0
692	0
291	0
6084	0
6094	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	0
17976	0
7767	0
7604	0
7010	0
6163	0
6340	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
7849	0
17558	0
13439	0
13402	0
14840	0
13448	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
8878	0
11585	2
11557190	0
10452	0
108106	0
127983	0
78828	0
68328	0
67414	0
13837650	0
13853215	0
9392	0
10765	0
7674	0
14998	0
10614293	0
6156	0
12201	0
11109	0
24142	0
13622	0
16180	0
7891	0
12446	0
29025	0
12635	0
11121	0
7713	0
12809	0
7833	0
7556	0
7954	0
555074	0
7957	0
4516601	0
56442	0
4483639	0
4516599	0
4512361	0
4483638	0
4449912	0
4512642	0
18410	0
22408	0
66675	0
10113	0
9484	0
6085	0
7024	0
15438	0
8896	0
14751	0
221117	0
7787	0
8908	0
8909	0
8910	0
71433	0
22814	0
9095782	0
6151	0
6188	0
11099	0
73583	0
7340	0
8158	0
11110	0
9642	0
11996	0
10756390	0
62827	0
7626	0
10265264	0
56117	0
11230	0
63631	0
11086	0
11841	0
6402	0
1406720	0
1114	0
14692	0
10179173	0
21800	0
8544	0
7788	0
4927801	0
10325078	0
55188	0
68224	0
24263	0
6364	0
11749	0
14672	0
11228	0
11857	0
391428	0
10733068	0
454638	0
9990	0
6309	0
7557	0
558883	0
56020	0
10124	0
6111	0
10265270	0
14198	0
7180	0
9411	0
6149	0
15765	0
553642	0
15413	0
7182	0
10669	0
8569	0
12220	0
7823	0
11849	0
10441	0
3168	0
11833	0
455420	0
10709	0
10179239	0
11761	0
6108	0
69914	0
59573	0
11671339	0
7956	0
55090	0
10053	0
28993	0
10054	0
9461	0
16791	0
11117	0
205483	2
10979	0
61346	0
6186	0
69371	0
69569	0
7181	0
99596	0
11351244	0
16841	0
61266	12
6187	0
2656	0
6827	0
20939	0
7817	0
11788	0
13835316	0
6270	0
454209	0
9633	0
9377	0
9243	0
11148	0
923	0
6121	0
6315	0
6118	0
8577	0
14349	0
7852	0
14680	0
7776	0
7330	0
6122	0
7732	0
11729	0
6307	0
13255	0
10512	0
13837797	0
6098	0
10536	0
7827	0
9233	0
