Compound Id	AtomCount
502855	24
6191	8
26325183	33
5709	14
6153	5
16425	7
8521	57
23150	27
8520	47
66656	24
26824	47
18019	57
26325084	109
6190	8
11919	29
10696	40
26325083	99
10451	50
23101	37
122090	38
26325082	89
26325081	79
10449	60
26325080	69
66655	28
14021447	59
67991	21
109705	21
17619	21
692	4
291	5
6084	8
6094	11
7555	14
6120	14
7712	17
6308	17
9646	17
10781	26
15802	29
17976	29
7767	20
7604	20
7010	20
6163	20
6340	20
8560	23
11094	23
11023	23
11055	23
10786	23
7619	23
10755	23
11551	23
349	26
11035	26
11104	26
10795	26
10445	26
7849	29
17558	29
13439	29
13402	29
14840	32
13448	32
13619	35
7890	38
11882	41
11883	44
10540	50
7929	62
11897	65
11899	68
12017	71
12072	74
11900	77
11901	80
11146	83
11902	86
10542	98
11906	110
8878	19
11585	20
11557190	49
10452	30
108106	64
127983	2
78828	39
68328	29
67414	48
13837650	8
13853215	8
9392	8
10765	15
7674	21
14998	21
10614293	25
6156	17
12201	18
11109	18
24142	45
13622	42
16180	39
7891	36
12446	18
29025	27
12635	33
11121	21
7713	15
12809	30
7833	24
7556	12
7954	9
555074	21
7957	12
4516601	24
56442	12
4483639	15
4516599	24
4512361	24
4483638	15
4449912	12
4512642	24
18410	30
22408	4
66675	26
10113	15
9484	8
6085	6
7024	18
15438	24
8896	15
14751	24
221117	24
7787	18
8908	21
8909	24
8910	30
71433	18
22814	4
9095782	14
6151	5
6188	8
11099	13
73583	11
7340	40
8158	22
11110	16
9642	7
11996	21
10756390	44
62827	11
7626	21
10265264	24
56117	25
11230	16
63631	19
11086	19
11841	27
6402	26
1406720	39
1114	13
14692	28
10179173	24
21800	24
8544	13
7788	16
4927801	80
10325078	8
55188	21
68224	44
24263	26
6364	26
11749	18
14672	18
11228	15
11857	19
391428	26
10733068	55
454638	39
9990	10
6309	13
7557	10
558883	13
56020	13
10124	16
6111	9
10265270	28
14198	26
7180	26
9411	14
6149	5
15765	24
553642	22
15413	29
7182	26
10669	26
8569	27
12220	33
7823	21
11849	21
10441	12
3168	15
11833	18
455420	27
10709	15
10179239	28
11761	21
6108	3
69914	33
59573	19
11671339	33
7956	9
55090	17
10053	14
28993	26
10054	14
9461	13
16791	22
11117	14
205483	21
10979	26
61346	11
6186	8
69371	27
69569	31
7181	26
99596	11
11351244	15
16841	8
61266	22
6187	8
2656	29
6827	34
20939	26
7817	19
11788	20
13835316	6
6270	33
454209	14
9633	26
9377	20
9243	8
11148	5
923	3
6121	11
6315	14
6118	11
8577	33
14349	30
7852	27
14680	24
7776	18
7330	11
6122	11
7732	13
11729	12
6307	14
13255	19
10512	17
13837797	17
6098	6
10536	27
7827	21
9233	15
18607	15
5730	5
10526	20
120464	20
24590970	11
7733	11
7850	26
11865	23
7714	14
10437	11
6097	8
12219	29
7848	26
61487	17
11863	23
7810	20
7766	17
7711	14
7552	11
6092	8
12010	20
11830	17
10497	14
31029	11
6100	8
12228	15
6042	8
13836713	10
13803	20
7815	21
7560	12
6103	9
6635	10
6087	5
7721	15
6083	5
1039	9
6088	5
13837281	6
56232	35
5979	8
13837190	13
7074	24
7170	30
10534	15
10410	24
68503	21
14694	8
7090	15
7028	16
10487	18
13492	33
15747	36
8356	24
18971812	14
14688	47
71876	33
7128	21
7183	24
7088	24
15461	27
13299573	11
7073	26
2340753	8
8554	16
10340	12
13487	30
7385	21
8531	24
7448	24
764	14
10325184	8
6406	15
12066	11
7738	9
10404	27
7419	24
7219	18
11660	21
6999	24
18688	23
7737	13
1108	15
236	12
7521	18
7641	18
7659	21
11871	22
55130	23
10433	23
11992	20
10253	24
60886	18
83962	34
12161	21
7671	26
10446	20
62249	20
11526	12
7672	18
7786	16
8335	24
7657	23
22453	23
7065	20
13875283	15
7553	9
11409	21
3631	12
13835836	22
55084	29
7694	26
7482	23
11716	26
11045	23
7515	20
13836549	12
13836674	9
6967	18
6977	21
21168808	12
960	50
61213	11
7472	20
11207996	19
29016	23
7747	20
7627	17
10571	17
7076	24
7003	19
9614	12
7739	9
8883	26
7757	38
7511	32
7509	29
29005	26
10420	23
7478	18
7475	20
7463	17
21111806	12
21111820	12
21171407	9
11910	16
13850082	34
7872	32
7875	38
7913	44
7670	28
8568	26
14846	32
7800	29
11843	23
29012	20
10797	22
7538	26
7536	23
11755	14
7706	17
7761	20
10492	17
11680	17
11706	20
10653	14
68179	22
11727	7
21108550	12
9724	28
11731	10
8950	19
14866	28
6720	29
7559	8
10236	21
7012	16
11065	16
28981	25
99681	34
8525	14
6176	19
7081	19
6313	13
9903	19
55123	23
12012	20
7534	25
10791	19
11125	17
7782	14
6316	11
9325	12
123860	28
28986	22
6335	11
7616	12
7129	19
10788	19
7621	19
8329688	11
10777	16
441	25
7838	22
5949	19
29029	28
7772	16
256	13
512	10
21169510	14
7676	12
13875281	15
7220	16
7248	19
11661	19
12674	28
8097	22
12972	34
9976	28
7514	22
215929	25
11025	19
7734	11
7016	16
1095	13
2038738	11
12259	27
13836589	16
172	7
13836520	18
13875230	15
18219	11
10801109	36
29004	21
7871	34
21153	37
7802	25
12218	31
12632	28
7760	22
11095	19
21106173	21
7607	16
13866746	12
7577	8
7506	29
9228	12
7239	16
11647	24
7530	22
1266019	34
109838	19
6321	13
13874867	16
6314	11
4510484	23
62530	20
13842613	17
7391	19
7242	17
26325086	21
13862665	15
15443	20
124968	10
9581	16
66809	15
221082	19
13875320	15
6642	30
13835376	22
127750	22
13857694	12
7673	12
7662	12
363458	18
7684	18
61111	11
13875196	16
11042	17
24972	19
28992	16
13875160	15
13875258	15
9994	10
29015	14
4446445	23
4444608	17
394562	11
13839199	14
18724	23
7238	16
21105959	19
13866817	12
13875392	15
13839575	23
6322	11
558020	10
21132380	17
13677	24
65750	26
63903	20
10940	17
13865438	19
13868640	12
29001	15
21106135	19
13837988	12
10400	25
8067	12
13839109	21
21105905	17
11077	17
906	18
13865426	19
10710415	19
21106560	17
20843	16
15965	24
70682	26
13658	22
11862	20
7710	11
7809	17
7765	14
6794	26
26516	18
17131	27
21106520	14
924	20
13862559	12
6788	21
13861343	7
73412	14
8904	10
13874733	14
24535	25
25552	22
10437215	20
11087	12
10909	24
10918	24
15489	22
2441	27
10939	20
11784	11
8868	15
7518	12
21106019	14
24533	16
1020	11
2039535	17
8374	27
21106586	22
11756	11
71089	13
7688	13
8902	10
10937	17
6897	21
17443	14
6883	18
11785	11
7240	15
503239	18
21106571	12
10908	24
3463	22
16388	36
6828	22
7161	25
8141	14
7679	17
4444456	9
66996	10
13840690	15
11667	16
13864445	12
21108548	12
21106163	12
14256731	32
6311	12
30595	21
13865424	17
13229	29
7175	21
7157	21
917	26
13875356	12
12044	25
12682	27
71628	23
9363	11
6296	24
70715	10
62632	48
78998	45
11884	39
16177	36
15853	33
67360	30
11866	21
15846	27
29026	24
11846	18
7770	15
7717	12
62808	10
21106366	20
7420	21
21168831	18
455090	18
71437	26
13063	24
558878	27
25886	19
71430	21
559096	43
13868660	12
707	18
387	13
10018	14
61001	20
20570	19
21106540	12
15855	25
7790	12
8903	10
62489	15
8899	8
13634	15
13630	11
553578	27
66565	11
10437135	17
66021	10
7221	15
7383	18
6339	8
6736	21
10851	24
10850	24
23977588	25
24043	15
12069	22
191367	19
11799	16
7615	13
11265	23
67653	26
21106032	14
1348	12
66896	47
62534	17
62408	17
7389	14
38364	12
12045	25
2003	26
17784	23
12637	24
21106524	17
13875212	12
19475	12
13647	20
21168826	17
6780	17
10841	24
25889	20
25890	32
10227261	34
220998	35
12954	29
13851576	15
12047	25
16736498	25
6478	22
8912	28
10849	24
11038	12
89076	29
199342	35
19477	23
6287	26
13811	32
14169248	23
10437074	10
21105878	20
21168813	20
235	14
8186	20
13872122	21
8098	17
6737	18
6789	18
15861	27
4445317	34
11632	23
13885245	24
8674	20
7132	17
11783	11
27488	12
10813	24
7202	17
30516	26
26325090	26
21112023	17
13876539	17
68676	18
551	21
11776	12
66895	35
66887	32
9893	23
63518	29
59482	26
6881	20
13839308	16
10586285	21
218253	22
7689	11
63310	18
7299	25
10829	24
12957	17
84036	20
68152	20
24041	23
19953955	17
14556	20
21106140	27
1361549	33
10831	24
23886	22
33421	22
70714	10
15755	18
14995	18
14994	18
67470	18
15476	18
15756	18
6592	23
21943	20
10106	35
19956441	20
11930	20
10384035	17
65936	11
14227	17
11584	18
13867714	20
19957731	29
120489	14
7302	23
16387	35
502245	25
5708	17
16159	12
13648	16
13835126	17
34863	22
23730	14
23621376	14
21106146	17
12231	15
15619	27
15789876	42
7224	13
11600	14
21106144	17
13863774	17
7138	14
6604	17
25677	22
6840	24
12816	13
21111781	18
15475	18
15477	18
15478	18
15524	18
