Compound Id	HBondAcceptorCount
502855	3
6191	0
26325183	2
5709	3
6153	0
16425	0
8521	4
23150	1
8520	3
66656	1
26824	3
18019	4
26325084	9
6190	0
11919	0
10696	4
26325083	8
10451	5
23101	2
122090	2
26325082	7
26325081	6
10449	6
26325080	5
66655	1
14021447	4
67991	1
109705	0
17619	1
692	1
291	0
6084	0
6094	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	0
17976	0
7767	0
7604	0
7010	0
6163	0
6340	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
7849	0
17558	0
13439	0
13402	0
14840	0
13448	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
8878	0
11585	3
11557190	3
10452	3
108106	4
127983	0
78828	2
68328	1
67414	3
13837650	0
13853215	0
9392	0
10765	0
7674	0
14998	1
10614293	0
6156	0
12201	0
11109	0
24142	0
13622	0
16180	0
7891	0
12446	0
29025	0
12635	0
11121	0
7713	0
12809	0
7833	0
7556	0
7954	0
555074	0
7957	0
4516601	0
56442	0
4483639	0
4516599	0
4512361	0
4483638	0
4449912	0
4512642	0
18410	0
22408	0
66675	0
10113	0
9484	0
6085	0
7024	0
15438	0
8896	0
14751	0
221117	0
7787	0
8908	0
8909	0
8910	0
71433	0
22814	0
9095782	0
6151	0
6188	0
11099	0
73583	0
7340	1
8158	1
11110	0
9642	0
11996	1
10756390	4
62827	0
7626	1
10265264	0
56117	2
11230	1
63631	1
11086	0
11841	1
6402	0
1406720	0
1114	1
14692	0
10179173	0
21800	0
8544	0
7788	0
4927801	5
10325078	0
55188	1
68224	4
24263	0
6364	0
11749	1
14672	1
11228	1
11857	0
391428	0
10733068	5
454638	0
9990	0
6309	0
7557	0
558883	0
56020	0
10124	0
6111	0
10265270	0
14198	0
7180	0
9411	2
6149	0
15765	0
553642	0
15413	3
7182	0
10669	0
8569	1
12220	1
7823	1
11849	1
10441	1
3168	1
11833	1
455420	1
10709	1
10179239	0
11761	0
6108	0
69914	3
59573	2
11671339	3
7956	1
55090	0
10053	0
28993	0
10054	0
9461	1
16791	0
11117	0
205483	3
10979	0
61346	0
6186	0
69371	0
69569	2
7181	0
99596	0
11351244	0
16841	0
61266	0
6187	0
2656	1
6827	0
20939	0
7817	1
11788	1
13835316	0
6270	4
454209	0
9633	0
9377	0
9243	0
11148	0
923	1
6121	0
6315	0
6118	0
8577	0
14349	0
7852	0
14680	0
7776	0
7330	0
6122	0
7732	1
11729	0
6307	0
13255	1
10512	0
13837797	1
6098	0
10536	0
7827	0
9233	0
18607	0
5730	0
10526	0
120464	0
24590970	0
7733	1
7850	0
11865	0
7714	0
10437	0
6097	0
12219	0
7848	0
61487	0
11863	0
7810	0
7766	0
7711	0
7552	0
6092	0
12010	0
11830	0
10497	0
31029	0
6100	0
12228	0
6042	0
13836713	0
13803	3
7815	0
7560	0
6103	0
6635	0
6087	0
7721	0
6083	0
1039	0
6088	0
13837281	0
56232	0
5979	0
13837190	2
7074	2
7170	0
10534	0
10410	0
68503	3
14694	0
7090	0
7028	1
10487	0
13492	0
15747	0
8356	0
18971812	0
14688	0
71876	2
7128	0
7183	0
7088	0
15461	0
13299573	0
7073	2
2340753	0
8554	1
10340	0
13487	0
7385	0
8531	0
7448	0
764	0
10325184	0
6406	2
12066	2
7738	0
10404	0
7419	0
7219	0
11660	0
6999	0
18688	2
7737	1
1108	0
236	0
7521	0
7641	0
7659	0
11871	0
55130	2
10433	2
11992	2
10253	0
60886	0
83962	2
12161	4
7671	2
10446	2
62249	2
11526	3
7672	0
7786	0
8335	0
7657	2
22453	2
7065	2
13875283	0
7553	0
11409	0
3631	1
13835836	2
55084	2
7694	2
7482	2
11716	2
11045	2
7515	2
13836549	0
13836674	0
6967	0
6977	0
21168808	0
960	2
61213	0
7472	2
11207996	2
29016	2
7747	2
7627	2
10571	2
7076	2
7003	2
9614	0
7739	0
8883	0
7757	2
7511	2
7509	2
29005	2
10420	2
7478	3
7475	2
7463	2
21111806	0
21111820	0
21171407	0
11910	1
13850082	2
7872	2
7875	2
7913	2
7670	1
8568	2
14846	2
7800	2
11843	2
29012	2
10797	1
7538	2
7536	2
11755	2
7706	2
7761	2
10492	2
11680	2
11706	2
10653	2
68179	2
11727	2
21108550	0
9724	0
11731	0
8950	0
14866	0
6720	1
7559	1
10236	0
7012	1
11065	1
28981	1
99681	2
8525	2
6176	1
7081	1
6313	1
9903	0
55123	2
12012	2
7534	1
10791	1
11125	2
7782	2
6316	0
9325	0
123860	2
28986	1
6335	2
7616	2
7129	0
10788	1
7621	1
8329688	0
10777	1
441	1
7838	1
5949	1
29029	1
7772	1
256	1
512	1
21169510	2
7676	0
13875281	0
7220	0
7248	0
11661	0
12674	0
8097	0
12972	1
9976	1
7514	1
215929	1
11025	1
7734	2
7016	1
1095	0
2038738	3
12259	0
13836589	2
172	1
13836520	2
13875230	0
18219	0
10801109	3
29004	3
7871	1
21153	1
7802	1
12218	1
12632	1
7760	1
11095	1
21106173	3
7607	1
13866746	0
7577	2
7506	1
9228	0
7239	0
11647	2
7530	2
1266019	2
109838	2
6321	1
13874867	3
6314	1
4510484	1
62530	1
13842613	1
7391	0
7242	1
26325086	3
13862665	2
15443	1
124968	2
9581	0
66809	1
221082	0
13875320	0
6642	0
13835376	2
127750	2
13857694	0
7673	0
7662	0
363458	2
7684	2
61111	1
13875196	0
11042	1
24972	2
28992	2
13875160	0
13875258	0
9994	1
29015	2
4446445	1
4444608	1
394562	1
13839199	1
18724	1
7238	0
21105959	0
13866817	0
13875392	0
13839575	3
6322	1
558020	2
21132380	1
13677	0
65750	1
63903	1
10940	1
13865438	0
13868640	0
29001	2
21106135	0
13837988	0
10400	1
8067	0
13839109	3
21105905	1
11077	1
906	0
13865426	3
10710415	3
21106560	1
20843	2
15965	2
70682	0
13658	2
11862	0
7710	0
7809	0
7765	0
6794	1
26516	0
17131	3
21106520	1
924	1
13862559	0
6788	0
13861343	0
73412	0
8904	2
13874733	1
24535	2
25552	2
10437215	2
11087	0
10909	0
10918	0
15489	0
2441	1
10939	1
11784	1
8868	0
7518	0
21106019	1
24533	2
1020	1
2039535	2
8374	2
21106586	3
11756	0
71089	2
7688	2
8902	2
10937	1
6897	2
17443	2
6883	2
11785	1
7240	1
503239	3
21106571	0
10908	0
3463	0
16388	5
6828	0
7161	1
8141	1
7679	1
4444456	0
66996	2
13840690	0
11667	0
13864445	0
21108548	0
21106163	0
14256731	3
6311	1
30595	2
13865424	1
13229	1
7175	2
7157	2
917	2
13875356	0
12044	0
12682	0
71628	2
9363	1
6296	1
70715	2
62632	1
78998	1
11884	1
16177	1
15853	1
67360	1
11866	1
15846	1
29026	1
11846	1
7770	1
7717	1
62808	2
21106366	1
7420	0
21168831	0
455090	3
71437	0
13063	0
558878	1
25886	1
71430	3
559096	2
13868660	0
707	0
387	0
10018	2
61001	1
20570	2
21106540	0
15855	1
7790	3
8903	2
62489	1
8899	1
13634	1
13630	1
553578	1
66565	1
10437135	2
66021	2
