Compound Id	PetitjeanShapeIndex [topoShape]
502855	0.8
6191	0.5
26325183	1.0
5709	0.667
6153	1.0
16425	1.0
8521	1.0
23150	1.0
8520	1.0
66656	1.0
26824	1.0
18019	1.0
26325084	1.0
6190	0.5
11919	1.0
10696	0.5
26325083	1.0
10451	0.2
23101	1.0
122090	1.0
26325082	1.0
26325081	1.0
10449	0.333
26325080	1.0
66655	0.667
14021447	1.0
67991	1.0
109705	0.5
17619	1.0
692	0.0
291	N/A
6084	0.0
6094	1.0
7555	0.5
6120	1.0
7712	1.0
6308	0.5
9646	1.0
10781	1.0
15802	0.75
17976	0.667
7767	0.667
7604	1.0
7010	1.0
6163	0.5
6340	0.5
8560	1.0
11094	0.667
11023	0.667
11055	1.0
10786	1.0
7619	1.0
10755	1.0
11551	1.0
349	0.75
11035	1.0
11104	0.667
10795	1.0
10445	1.0
7849	1.0
17558	0.75
13439	1.0
13402	1.0
14840	0.8
13448	0.667
13619	1.0
7890	0.833
11882	1.0
11883	0.857
10540	0.875
7929	0.9
11897	1.0
11899	0.909
12017	1.0
12072	0.917
11900	1.0
11901	0.923
11146	1.0
11902	0.929
10542	0.938
11906	0.944
8878	0.5
11585	0.75
11557190	1.0
10452	0.333
108106	0.6
127983	0.0
78828	1.0
68328	1.0
67414	0.5
13837650	0.5
13853215	0.5
9392	0.5
10765	0.5
7674	0.333
14998	1.0
10614293	1.0
6156	1.0
12201	1.0
11109	0.667
24142	1.0
13622	0.857
16180	1.0
7891	0.833
12446	1.0
29025	1.0
12635	1.0
11121	1.0
7713	1.0
12809	0.8
7833	0.75
7556	0.5
7954	1.0
555074	1.0
7957	1.0
4516601	0.75
56442	0.5
4483639	1.0
4516599	0.75
4512361	0.75
4483638	1.0
4449912	0.5
4512642	0.75
18410	0.75
22408	N/A
66675	0.5
10113	0.5
9484	1.0
6085	0.0
7024	0.5
15438	0.667
8896	0.0
14751	0.667
221117	0.333
7787	0.0
8908	0.0
8909	0.0
8910	0.0
71433	0.5
22814	N/A
9095782	0.5
6151	1.0
6188	0.5
11099	1.0
73583	0.5
7340	1.0
8158	1.0
11110	0.667
9642	1.0
11996	1.0
10756390	0.75
62827	1.0
7626	1.0
10265264	0.667
56117	1.0
11230	0.5
63631	0.5
11086	0.333
11841	1.0
6402	0.333
1406720	0.667
1114	1.0
14692	0.8
10179173	0.667
21800	0.333
8544	0.0
7788	0.0
4927801	0.333
10325078	0.5
55188	1.0
68224	0.6
24263	0.667
6364	0.333
11749	1.0
14672	0.5
11228	0.5
11857	0.0
391428	0.667
10733068	0.6
454638	1.0
9990	0.5
6309	0.5
7557	0.5
558883	1.0
56020	1.0
10124	0.5
6111	0.0
10265270	0.667
14198	0.333
7180	1.0
9411	0.667
6149	1.0
15765	0.333
553642	0.0
15413	1.0
7182	1.0
10669	1.0
8569	1.0
12220	1.0
7823	1.0
11849	1.0
10441	0.5
3168	1.0
11833	0.667
455420	1.0
10709	1.0
10179239	0.667
11761	1.0
6108	1.0
69914	0.5
59573	1.0
11671339	0.5
7956	1.0
55090	0.5
10053	1.0
28993	0.75
10054	1.0
9461	0.667
16791	0.75
11117	0.0
205483	0.75
10979	1.0
61346	1.0
6186	0.5
69371	1.0
69569	1.0
7181	1.0
99596	0.5
11351244	0.5
16841	0.5
61266	0.8
6187	0.5
2656	0.333
6827	0.75
20939	1.0
7817	1.0
11788	0.333
13835316	1.0
6270	1.0
454209	0.5
9633	1.0
9377	1.0
9243	1.0
11148	0.0
923	1.0
6121	1.0
6315	0.5
6118	1.0
8577	1.0
14349	0.8
7852	1.0
14680	0.75
7776	0.667
7330	0.0
6122	1.0
7732	1.0
11729	0.5
6307	0.5
13255	1.0
10512	0.667
13837797	1.0
6098	1.0
10536	1.0
7827	1.0
9233	1.0
18607	1.0
5730	1.0
10526	1.0
120464	1.0
24590970	0.5
7733	1.0
7850	1.0
11865	0.75
7714	1.0
