Compound Id	ALOGP [ALogP]
6191	2.196
6153	2.437
16425	1.193
6190	2.393
11919	2.959
67991	3.245
291	0.0
6084	0.682
6094	-0.185
7555	-0.473
6120	1.012
7712	-0.761
6308	0.336
9646	2.198
10781	1.453
15802	-0.117
17976	2.447
7767	-1.049
7604	0.592
7010	-0.340
6163	1.863
6340	1.146
8560	-1.337
11094	0.304
11023	-0.084
11055	1.382
10786	0.470
7619	1.208
10755	1.528
11551	-1.016
349	-1.625
11035	-0.372
11104	1.657
10795	1.279
10445	2.450
7849	-1.913
17558	-0.272
13439	3.569
13402	0.858
14840	-2.201
13448	3.237
13619	-2.489
7890	-2.777
11882	-3.065
11883	-3.353
10540	-3.929
7929	-5.081
11897	-5.369
11899	-5.657
12017	-5.945
12072	-6.233
11900	-6.521
11901	-6.809
11146	-7.097
11902	-7.385
10542	-8.537
11906	-9.689
8878	0.473
11585	-0.739
13837650	1.512
13853215	2.590
9392	2.590
7674	-0.219
6156	3.176
18410	-0.928
7024	0.069
15438	-0.352
8896	-1.440
14751	-0.896
221117	0.202
7787	-1.728
8908	-2.016
8909	-2.304
8910	-2.880
6188	2.786
10265264	1.289
10179173	1.289
21800	0.202
10325078	2.793
6111	-0.864
10265270	-0.742
15765	0.202
10179239	-0.742
69569	4.257
5730	3.585
13837281	2.429
9724	1.281
7662	2.233
13862559	2.233
7518	1.633
21106571	2.977
13864445	2.233
21106163	2.977
21106540	2.977
6339	3.245
38364	2.377
27488	2.377
11776	2.666
25677	2.977
158870	2.233
157093	2.233
83374	2.233
457144	2.233
135925	2.233
457145	2.233
84188	2.233
136000	2.233
135983	2.233
136001	2.233
136002	2.233
136003	2.233
84235	2.233
82755	2.977
82712	2.977
157094	2.977
103011	2.977
102798	2.977
82762	2.977
11974	3.555
56793	2.977
454495	2.977
40191	2.977
56791	2.977
35581	2.977
56774	3.722
82765	3.722
27793	2.977
82754	2.977
457138	2.977
102897	2.977
457139	2.977
102947	2.977
97173	2.977
102720	2.977
102801	2.977
102833	2.977
102721	2.977
102856	2.977
102933	2.977
103066	2.977
97172	2.977
106355	2.977
102741	3.722
97055	3.722
97198	3.722
34874	2.977
36972	2.977
56788	2.977
533188	2.977
35579	2.977
16182	2.977
46262	2.977
35580	2.977
82818	2.977
56790	2.977
56795	2.977
33458	2.977
82777	2.977
35584	2.977
56785	2.977
56792	2.977
34189	2.977
34859	4.466
84346	4.466
56760	4.466
56755	4.466
33666	4.466
36973	3.722
37744	3.722
46894	3.722
45444	3.722
56769	3.722
56780	3.722
34847	3.722
39406	3.722
35081	3.722
56781	3.722
56771	3.722
102834	3.722
102722	3.722
154865	3.722
96948	3.722
102743	3.722
102857	3.722
154866	3.722
106356	3.722
102787	3.722
97240	3.722
102742	3.722
97257	4.466
97224	4.466
102923	4.466
96868	4.466
96864	4.466
97234	4.466
97233	4.466
154062	4.466
97142	4.466
56782	5.210
36977	5.210
83414	5.210
84348	5.210
82823	5.210
36975	3.722
56778	3.722
43354	3.722
37779	3.722
45445	3.722
36974	3.722
35585	3.722
34848	3.722
84344	3.722
34850	3.722
82819	3.722
56772	3.722
82820	3.722
16415	3.722
56779	3.722
56768	3.722
56777	3.722
84345	3.722
34668	3.722
96965	5.210
33198	5.210
82783	4.466
34852	4.466
37000	4.466
37019	4.466
56765	4.466
39198	4.466
82740	4.466
56761	4.466
56756	4.466
56766	4.466
83413	4.466
34851	4.466
36976	4.466
56767	4.466
56763	4.466
56787	2.977
35583	2.977
82807	2.977
56794	2.977
33386	2.977
33457	2.977
47912	2.977
82817	2.977
46893	2.977
33280	2.977
35582	2.977
33304	2.977
46263	2.977
15827	5.954
33407	5.954
36985	5.954
35205	5.954
15637	5.954
82821	5.954
34853	4.466
37745	4.466
36978	4.466
34190	4.466
34191	4.466
36771	4.466
36710	4.466
56757	4.466
549017	4.466
84347	4.466
56764	4.466
56758	4.466
47914	4.466
56762	4.466
33984	4.466
33983	4.466
34860	5.210
82738	5.210
36982	5.210
36979	5.210
47915	5.210
56783	5.210
36981	5.210
37004	5.210
36980	5.210
82751	6.699
36989	6.699
33282	3.722
46285	3.722
46284	3.722
82806	3.722
56776	3.722
47913	3.722
32952	3.722
45446	3.722
43353	3.722
56773	3.722
33281	2.977
56786	2.977
56789	2.977
33456	2.977
46264	2.977
36990	5.954
35912	5.954
45448	5.954
36987	5.954
36988	5.954
33986	5.210
36983	5.210
36986	5.210
45447	5.210
35566	5.210
47916	5.210
46137	5.210
550258	5.210
33985	5.210
15484	7.443
34854	4.466
46136	4.466
82736	4.466
56759	4.466
36984	4.466
56775	3.722
56770	3.722
35206	6.699
34192	5.954
82822	5.954
35108	5.210
33316	4.466
21106570	3.722
23208	-0.817
4514529	0.0
6132	1.224
9016	2.298
4514586	0.0
4514549	0.0
11083	1.028
6988	1.028
11366	1.773
1253	-0.857
3102535	-1.904
6186	2.983
13836549	2.878
13868660	2.164
457140	2.233
107412	1.851
12197	1.472
61346	2.105
6187	2.983
13866746	2.399
13857694	1.489
13866817	1.489
9253	2.494
83734	2.393
5977	1.617
29040	2.211
6108	1.651
10054	1.778
16841	2.0
13837280	1.743
9254	2.197
21106179	1.027
692	-0.884
12201	1.343
6151	3.011
62827	1.587
8883	-0.850
13837988	1.489
13875356	1.778
13875212	1.778
11038	2.309
2282428	2.408
9251	2.4
71312	2.612
11153	0.775
454215	2.102
15077490	2.706
2018165	1.360
6119	1.821
2293678	2.721
109705	3.294
10765	1.280
56442	1.347
4449912	1.347
22814	0.0
99596	2.04
13835316	1.688
6098	1.002
14694	2.051
13836674	1.463
13875160	1.386
23055	1.255
14829	1.833
6105	0.477
553742	1.057
6104	1.073
558928	1.057
6086	0.939
2056044	3.055
3441	2.509
6130	1.420
12577	1.589
34863	2.233
34866	2.233
34665	2.233
34664	2.233
37904	2.233
34864	2.233
34188	2.233
34865	2.233
34868	2.233
37905	2.233
34869	2.233
37918	2.233
37915	2.233
34867	2.233
25605	2.233
26011	2.233
34870	2.233
34666	2.233
21924	2.233
34667	2.233
34871	2.233
34873	2.233
56784	2.233
34872	2.233
8351654	0.872
22408	0.0
73583	2.237
2340753	2.195
10325184	2.255
21111806	0.959
21108550	0.959
9325	0.959
9228	1.224
4444456	1.518
11708	2.840
6093	1.284
6148	1.636
13838404	2.229
6179	2.888
748	0.568
9256	1.702
10614293	2.450
11109	0.438
24142	-2.154
13622	-1.866
16180	-1.578
7891	-1.290
29025	-0.426
12635	-1.002
11121	0.150
7713	0.726
12809	-0.714
7833	-0.138
7556	0.471
7954	1.147
555074	0.638
4516601	0.350
4483639	0.671
4516599	0.506
4512361	0.350
4483638	0.671
4512642	0.506
6085	0.947
8544	0.691
7788	0.403
6149	3.298
10053	1.922
11117	1.447
6827	-1.318
7676	0.744
13875281	1.386
13875230	1.386
6128	0.945
391	0.0
71390	1.624
2916	1.496
558875	1.225
12446	0.980
7957	1.796
10113	1.996
6087	0.847
18971812	1.384
13299573	2.309
3631	2.534
15755	1.489
67470	1.489
15756	1.489
15524	1.489
14441700	1.058
2062437	1.988
11911	2.444
11154	1.686
30713	1.803
21106172	1.773
127983	-0.127
11148	0.582
10512	-0.057
10526	-0.345
24590970	2.185
11865	-0.633
6042	2.029
13875320	1.531
7673	0.889
13875258	1.531
13875392	1.531
21108548	1.9
14995	1.489
14994	1.489
15475	1.489
15478	1.489
518	N/A
967	3.261
12499	1.938
71433	3.060
9484	1.439
11099	1.477
11110	1.926
11086	0.656
14692	0.774
24263	2.143
11857	0.115
391428	2.143
6309	1.861
7557	1.415
558883	1.615
56020	1.615
553642	-0.173
16791	0.482
454209	0.306
9633	-1.185
9377	-0.609
9243	0.832
923	-0.392
7850	-0.921
7714	0.231
10437	0.519
6097	1.097
6083	0.991
10487	-0.746
9614	0.480
13861343	3.759
11756	1.045
15476	1.489
274	-0.147
56144	2.688
11864	-0.273
11845	0.015
6125	1.541
12456	-0.849
17880	-0.561
7558	1.072
29036	2.025
1087	-0.047
7001	1.773
10606755	1.497
55075	2.635
13868640	1.778
11351244	1.125
7090	1.098
7553	1.608
61213	1.299
23886	1.489
33421	1.489
15477	1.489
26010	1.489
30600	1.489
33455	1.489
33934	1.489
33932	1.489
15473	1.489
17099	1.489
17098	1.489
33933	1.489
15474	1.489
63863	1.257
