Compound Id	ALOGP [AMR]
6191	12.869
6153	8.309
16425	9.008
6190	17.704
11919	38.972
67991	37.606
291	0.0
6084	10.557
6094	14.709
7555	17.621
6120	20.0
7712	20.532
6308	23.078
9646	24.629
10781	36.472
15802	37.971
17976	42.712
7767	23.444
7604	27.530
7010	26.156
6163	29.477
6340	28.536
8560	26.355
11094	30.441
11023	30.608
11055	32.803
10786	31.613
7619	33.401
10755	34.326
11551	29.234
349	29.267
11035	33.519
11104	37.439
10795	37.071
10445	38.149
7849	32.179
17558	36.265
13439	42.855
13402	44.023
14840	35.090
13448	47.984
13619	38.002
7890	40.913
11882	43.825
11883	46.737
10540	52.560
7929	64.206
11897	67.118
11899	70.029
12017	72.941
12072	75.853
11900	78.764
11901	81.676
11146	84.587
11902	87.499
10542	99.145
11906	110.792
8878	28.278
11585	16.211
13837650	20.656
13853215	22.539
9392	22.539
7674	26.174
6156	22.196
18410	36.615
7024	23.262
15438	30.792
8896	14.558
14751	29.252
221117	31.797
7787	17.470
8908	20.381
8909	23.293
8910	29.116
6188	27.374
10265264	34.878
10179173	34.878
21800	31.797
10325078	25.347
6111	8.735
10265270	35.059
15765	31.797
10179239	35.059
69569	51.117
5730	26.849
13837281	30.945
9724	42.305
7662	16.847
13862559	16.847
7518	14.215
21106571	22.462
13864445	16.847
21106163	22.462
21106540	22.462
6339	42.030
38364	19.830
27488	19.830
11776	25.797
25677	22.462
158870	16.847
157093	16.847
83374	16.847
457144	16.847
135925	16.847
457145	16.847
84188	16.847
136000	16.847
135983	16.847
136001	16.847
136002	16.847
136003	16.847
84235	16.847
82755	22.462
82712	22.462
157094	22.462
103011	22.462
102798	22.462
82762	22.462
11974	34.396
56793	22.462
454495	22.462
40191	22.462
56791	22.462
35581	22.462
56774	28.078
82765	28.078
27793	22.462
82754	22.462
457138	22.462
102897	22.462
457139	22.462
102947	22.462
97173	22.462
102720	22.462
102801	22.462
102833	22.462
102721	22.462
102856	22.462
102933	22.462
103066	22.462
97172	22.462
106355	22.462
102741	28.078
97055	28.078
97198	28.078
34874	22.462
36972	22.462
56788	22.462
533188	22.462
35579	22.462
16182	22.462
46262	22.462
35580	22.462
82818	22.462
56790	22.462
56795	22.462
33458	22.462
82777	22.462
35584	22.462
56785	22.462
56792	22.462
34189	22.462
34859	33.694
84346	33.694
56760	33.694
56755	33.694
33666	33.694
36973	28.078
37744	28.078
46894	28.078
45444	28.078
56769	28.078
56780	28.078
34847	28.078
39406	28.078
35081	28.078
56781	28.078
56771	28.078
102834	28.078
102722	28.078
154865	28.078
96948	28.078
102743	28.078
102857	28.078
154866	28.078
106356	28.078
102787	28.078
97240	28.078
102742	28.078
97257	33.694
97224	33.694
102923	33.694
96868	33.694
96864	33.694
97234	33.694
97233	33.694
154062	33.694
97142	33.694
56782	39.309
36977	39.309
83414	39.309
84348	39.309
82823	39.309
36975	28.078
56778	28.078
43354	28.078
37779	28.078
45445	28.078
36974	28.078
35585	28.078
34848	28.078
84344	28.078
34850	28.078
82819	28.078
56772	28.078
82820	28.078
16415	28.078
56779	28.078
56768	28.078
56777	28.078
84345	28.078
34668	28.078
96965	39.309
33198	39.309
82783	33.694
34852	33.694
37000	33.694
37019	33.694
56765	33.694
39198	33.694
82740	33.694
56761	33.694
56756	33.694
56766	33.694
83413	33.694
34851	33.694
36976	33.694
56767	33.694
56763	33.694
56787	22.462
35583	22.462
82807	22.462
56794	22.462
33386	22.462
33457	22.462
47912	22.462
82817	22.462
46893	22.462
33280	22.462
35582	22.462
33304	22.462
46263	22.462
