Compound Id	AutocorrelationCharge [ATSc4]
6191	0.238
6153	0.0
16425	0.0
6190	0.211
11919	0.0
67991	-0.012
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.0
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.0
11035	0.0
11104	0.0
10795	0.0
10445	0.0
7849	0.0
17558	0.0
13439	0.0
13402	0.0
14840	0.0
13448	0.0
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.0
11585	-0.030
13837650	0.025
13853215	0.187
9392	0.186
7674	0.0
6156	0.0
18410	0.0
7024	0.0
15438	0.0
8896	0.0
14751	0.0
221117	0.0
7787	0.0
8908	0.0
8909	0.0
8910	0.0
6188	0.165
10265264	0.0
10179173	0.0
21800	0.0
10325078	0.175
6111	0.0
10265270	0.0
15765	0.0
10179239	0.0
69569	-0.096
5730	0.0
13837281	0.045
9724	0.0
7662	-0.096
13862559	-0.015
7518	-0.002
21106571	-0.059
13864445	0.006
21106163	-0.029
21106540	-0.008
6339	0.047
38364	0.008
27488	-0.001
11776	-0.064
25677	-0.040
158870	-0.020
157093	-0.022
83374	-0.024
457144	-0.058
135925	-0.027
457145	0.010
84188	-0.014
136000	0.031
135983	0.027
136001	0.029
136002	-0.007
136003	0.030
84235	0.025
82755	-0.043
82712	-0.046
157094	0.006
103011	-0.078
102798	-0.053
82762	0.042
11974	-0.019
56793	0.002
454495	0.007
40191	-0.082
56791	-0.049
35581	-0.013
56774	-0.013
82765	-0.1
27793	-0.007
82754	0.025
457138	0.019
102897	0.019
457139	-0.013
102947	-0.033
97173	0.001
102720	0.003
102801	-0.032
102833	0.059
102721	0.010
102856	0.005
102933	0.057
103066	-0.030
97172	0.051
106355	0.024
102741	-0.047
97055	0.037
97198	-0.049
34874	0.053
36972	0.018
56788	-0.001
533188	0.001
35579	0.033
16182	-0.056
46262	-0.003
35580	-0.022
82818	-0.006
56790	-0.059
56795	-0.012
33458	-0.028
82777	-0.088
35584	-0.003
56785	-0.047
56792	-0.094
34189	0.012
34859	0.015
84346	-0.053
56760	-0.073
56755	-0.016
33666	-0.160
36973	0.031
37744	-0.040
46894	-0.002
45444	-0.027
