Compound Id	AutocorrelationMass [ATSm1]
6191	17.012
6153	11.008
16425	22.140
6190	23.223
11919	13.468
67991	34.136
291	1.0
6084	2.0
6094	3.0
7555	4.0
6120	4.0
7712	5.0
6308	5.0
9646	5.0
10781	8.0
15802	9.0
17976	9.0
7767	6.0
7604	6.0
7010	6.0
6163	6.0
6340	6.0
8560	7.0
11094	7.0
11023	7.0
11055	7.0
10786	7.0
7619	7.0
10755	7.0
11551	7.0
349	8.0
11035	8.0
11104	8.0
10795	8.0
10445	8.0
7849	9.0
17558	9.0
13439	9.0
13402	9.0
14840	10.0
13448	10.0
13619	11.0
7890	12.0
11882	13.0
11883	14.0
10540	16.0
7929	20.0
11897	21.0
11899	22.0
12017	23.0
12072	24.0
11900	25.0
11901	26.0
11146	27.0
11902	28.0
10542	32.0
11906	36.0
8878	7.0
11585	12.909
13837650	19.426
13853215	29.434
9392	29.434
7674	7.0
6156	9.468
18410	10.0
7024	6.0
15438	8.0
8896	5.0
14751	8.0
221117	8.0
7787	6.0
8908	7.0
8909	8.0
8910	10.0
6188	35.644
10265264	8.0
10179173	8.0
21800	8.0
10325078	64.979
6111	3.0
10265270	10.0
15765	8.0
10179239	10.0
69569	43.378
5730	35.851
13837281	36.851
9724	10.0
7662	32.138
13862559	32.138
7518	58.971
21106571	40.851
13864445	32.138
21106163	40.851
21106540	40.851
6339	179.032
38364	67.684
27488	67.684
11776	138.774
25677	46.851
158870	36.138
157093	36.138
83374	36.138
457144	36.138
135925	36.138
457145	36.138
84188	36.138
136000	36.138
135983	36.138
136001	36.138
136002	36.138
136003	36.138
84235	36.138
82755	44.851
82712	44.851
157094	44.851
103011	44.851
102798	44.851
82762	44.851
11974	183.032
56793	46.851
454495	46.851
40191	46.851
56791	46.851
35581	46.851
56774	55.564
82765	55.564
27793	44.851
82754	44.851
457138	44.851
102897	44.851
457139	44.851
102947	44.851
97173	44.851
102720	44.851
102801	44.851
102833	44.851
102721	44.851
102856	44.851
102933	44.851
103066	44.851
97172	44.851
106355	44.851
102741	53.564
97055	53.564
97198	53.564
34874	46.851
36972	46.851
56788	46.851
533188	46.851
35579	46.851
16182	46.851
46262	46.851
35580	46.851
82818	46.851
56790	46.851
56795	46.851
33458	46.851
82777	46.851
35584	46.851
56785	46.851
56792	46.851
34189	46.851
34859	64.277
84346	64.277
56760	64.277
56755	64.277
33666	64.277
36973	55.564
37744	55.564
46894	55.564
45444	55.564
56769	55.564
56780	55.564
34847	55.564
39406	55.564
35081	55.564
56781	55.564
56771	55.564
102834	53.564
102722	53.564
154865	53.564
96948	53.564
102743	53.564
102857	53.564
154866	53.564
106356	53.564
102787	53.564
97240	53.564
102742	53.564
97257	62.277
97224	62.277
102923	62.277
96868	62.277
96864	62.277
97234	62.277
97233	62.277
154062	62.277
97142	62.277
56782	72.989
36977	72.989
83414	72.989
84348	72.989
82823	72.989
36975	55.564
56778	55.564
43354	55.564
37779	55.564
45445	55.564
36974	55.564
35585	55.564
34848	55.564
84344	55.564
34850	55.564
82819	55.564
56772	55.564
82820	55.564
16415	55.564
56779	55.564
56768	55.564
56777	55.564
84345	55.564
34668	55.564
96965	70.989
33198	70.989
82783	64.277
34852	64.277
37000	64.277
37019	64.277
56765	64.277
39198	64.277
82740	64.277
56761	64.277
56756	64.277
56766	64.277
83413	64.277
34851	64.277
36976	64.277
56767	64.277
56763	64.277
56787	46.851
35583	46.851
82807	46.851
56794	46.851
33386	46.851
33457	46.851
47912	46.851
82817	46.851
46893	46.851
33280	46.851
35582	46.851
33304	46.851
46263	46.851
15827	79.702
33407	81.702
36985	81.702
35205	81.702
15637	81.702
82821	81.702
34853	64.277
37745	64.277
36978	64.277
34190	64.277
34191	64.277
36771	64.277
36710	64.277
56757	64.277
549017	64.277
84347	64.277
56764	64.277
56758	64.277
47914	64.277
56762	64.277
33984	64.277
33983	64.277
34860	72.989
82738	72.989
36982	72.989
36979	72.989
47915	72.989
56783	72.989
36981	72.989
37004	72.989
36980	72.989
82751	90.415
36989	90.415
33282	55.564
46285	55.564
46284	55.564
82806	55.564
56776	55.564
47913	55.564
32952	55.564
45446	55.564
43353	55.564
56773	55.564
33281	46.851
56786	46.851
56789	46.851
33456	46.851
46264	46.851
36990	81.702
35912	81.702
45448	81.702
36987	81.702
36988	81.702
33986	72.989
36983	72.989
36986	72.989
45447	72.989
35566	72.989
47916	72.989
46137	72.989
550258	72.989
33985	72.989
15484	99.128
34854	64.277
46136	64.277
82736	64.277
56759	64.277
36984	64.277
56775	55.564
56770	55.564
35206	90.415
34192	81.702
82822	81.702
35108	72.989
33316	64.277
21106570	49.564
23208	5.323
4514529	8.713
6132	14.717
9016	26.932
4514586	44.258
4514549	111.639
11083	25.2
6988	25.2
11366	33.913
1253	13.323
3102535	8.134
6186	41.855
13836549	21.012
13868660	126.351
457140	36.138
107412	21.721
12197	4.0
61346	24.223
6187	41.855
13866746	18.510
13857694	23.426
13866817	23.426
9253	33.142
83734	33.142
5977	27.138
29040	56.266
6108	15.256
10054	12.713
16841	20.721
13837280	28.138
9254	26.932
21106179	8.506
692	2.774
12201	6.0
6151	23.430
62827	15.510
8883	10.0
13837988	23.426
13875356	94.516
13875212	94.516
11038	161.897
2282428	62.477
9251	62.477
71312	98.022
11153	12.215
454215	56.266
15077490	68.688
2018165	15.717
6119	62.684
2293678	98.022
109705	31.518
10765	5.0
56442	4.0
4449912	4.0
22814	6.650
99596	25.430
13835316	19.426
6098	10.713
14694	24.430
13836674	11.713
13875160	15.713
23055	22.928
14829	21.928
6105	6.004
553742	19.426
6104	18.426
558928	19.426
6086	2.0
2056044	24.016
3441	62.477
6130	20.928
12577	12.008
34863	38.138
34866	38.138
34665	38.138
34664	38.138
37904	38.138
34864	38.138
34188	38.138
34865	38.138
34868	38.138
37905	38.138
34869	38.138
37918	38.138
37915	38.138
34867	38.138
25605	38.138
26011	38.138
34870	38.138
34666	38.138
21924	38.138
34667	38.138
34871	38.138
34873	38.138
56784	38.138
34872	38.138
8351654	12.763
22408	38.911
73583	27.932
2340753	59.975
10325184	59.975
21111806	11.004
21108550	11.004
9325	11.004
9228	17.215
4444456	20.426
11708	229.277
6093	53.971
6148	15.717
13838404	133.774
6179	45.564
748	2.360
9256	14.510
10614293	8.0
11109	6.0
24142	15.0
13622	14.0
16180	13.0
7891	12.0
29025	9.0
12635	11.0
11121	7.0
7713	5.0
12809	10.0
7833	8.0
7556	4.0
7954	3.0
