Compound Id	BCUT [BCUTp-1l]
6191	2.3983
6153	1.7782
16425	4.2198
6190	2.9207
11919	5.3727
67991	5.0225
291	2.612
6084	3.7595
6094	4.4795
7555	4.7999
6120	5.1173
7712	4.9588
6308	5.1174
9646	5.7491
10781	5.5986
15802	5.1768
17976	5.8333
7767	5.0381
7604	5.1174
7010	5.2756
6163	5.4337
6340	5.7491
8560	5.0778
11094	5.1174
11023	5.1966
11055	5.2757
10786	5.4337
7619	5.7491
10755	5.5915
11551	5.4335
349	5.0976
11035	5.1570
11104	5.7491
10795	6.0643
10445	5.9119
7849	5.1075
17558	5.1174
13439	6.5367
13402	5.9067
14840	5.1124
13448	6.4579
13619	5.1149
7890	5.1161
11882	5.1167
11883	5.1171
10540	5.1173
7929	5.1174
11897	5.1174
11899	5.1174
12017	5.1174
12072	5.1174
11900	5.1174
11901	5.1174
11146	5.1174
11902	5.1174
10542	5.1174
11906	5.1174
8878	6.9880
11585	4.3908
13837650	5.0980
13853215	3.9402
9392	3.4325
7674	5.8404
6156	4.6851
18410	5.1509
7024	5.6590
15438	5.26
8896	6.0910
14751	5.4837
221117	6.1493
7787	6.4538
8908	6.8165
8909	6.9979
8910	7.2699
6188	4.4560
10265264	5.9180
10179173	5.9180
21800	6.1493
10325078	3.7217
6111	4.64
10265270	7.2101
15765	6.1493
10179239	7.2101
69569	4.9886
5730	6.9176
13837281	6.7546
9724	6.3918
7662	6.3742
13862559	6.2529
7518	6.0807
21106571	6.4974
13864445	6.6187
21106163	6.7377
21106540	6.7409
6339	8.8829
38364	6.7643
27488	6.9079
11776	7.8204
25677	7.1604
158870	6.5807
157093	6.3362
83374	6.3668
457144	6.5196
135925	6.7863
457145	6.3974
84188	6.9085
136000	6.7251
135983	6.3057
136001	6.3974
136002	6.8252
136003	6.7251
84235	6.3057
82755	6.6103
82712	6.6418
157094	6.5502
103011	6.5797
102798	7.0298
82762	6.8464
11974	8.4041
56793	6.9495
454495	6.8883
40191	6.6030
56791	6.3891
35581	6.5252
56774	7.0107
82765	6.6336
27793	7.3965
82754	6.8474
457138	6.3668
102897	6.4279
457139	6.9696
102947	6.9696
97173	6.4279
102720	6.4585
102801	7.0298
102833	6.7907
102721	6.6418
102856	6.8474
102933	6.7937
103066	6.5502
97172	6.7937
106355	6.8854
102741	6.7030
97055	6.9169
97198	6.6724
34874	6.8575
36972	6.8475
56788	6.3738
533188	6.7086
35579	6.4946
16182	6.3652
46262	6.8438
35580	6.3738
82818	6.4335
56790	6.8060
56795	6.1598
33458	6.8213
82777	6.4182
35584	6.6336
56785	6.6465
56792	6.1522
34189	6.4936
34859	7.0410
84346	7.1225
56760	6.6488
56755	7.2551
33666	6.6402
36973	6.9225
37744	7.0079
46894	6.8781
45444	6.4043
56769	7.0420
56780	6.7697
34847	6.5558
39406	6.6183
35081	6.3967
56781	6.8744
56771	6.5405
102834	7.0919
102722	6.4890
154865	6.8558
96948	6.6724
