Compound Id	BCUT [BCUTw-1l]
6191	11.998
6153	11.998
16425	18.997
6190	11.998
11919	11.890
67991	11.998
291	12.0
6084	11.890
6094	11.890
7555	11.890
6120	11.89
7712	11.890
6308	11.890
9646	11.890
10781	11.890
15802	11.890
17976	11.890
7767	11.890
7604	11.890
7010	11.890
6163	11.890
6340	11.890
8560	11.890
11094	11.890
11023	11.890
11055	11.890
10786	11.890
7619	11.890
10755	11.890
11551	11.890
349	11.89
11035	11.89
11104	11.890
10795	11.890
10445	11.890
7849	11.890
17558	11.890
13439	11.890
13402	11.890
14840	11.890
13448	11.890
13619	11.890
7890	11.890
11882	11.890
11883	11.890
10540	11.890
7929	11.890
11897	11.890
11899	11.890
12017	11.890
12072	11.890
11900	11.890
11901	11.890
11146	11.890
11902	11.89
10542	11.890
11906	11.890
8878	11.9
11585	11.85
13837650	11.999
13853215	11.998
9392	11.998
7674	11.9
6156	11.998
18410	11.890
7024	11.9
15438	11.9
8896	11.9
14751	11.9
221117	11.89
7787	11.9
8908	11.9
8909	11.9
8910	11.9
6188	11.998
10265264	11.9
10179173	11.9
21800	11.89
10325078	11.998
6111	11.9
10265270	11.9
15765	11.89
10179239	11.9
69569	11.998
5730	11.999
13837281	11.999
9724	11.89
7662	11.850
13862559	11.850
7518	11.850
21106571	11.850
13864445	11.999
21106163	11.999
21106540	11.999
6339	11.999
38364	11.999
27488	11.999
11776	11.85
25677	11.999
158870	11.85
157093	11.850
83374	11.850
457144	11.850
135925	11.850
457145	11.850
84188	11.850
136000	11.850
135983	11.850
136001	11.85
136002	11.850
136003	11.850
84235	11.850
82755	11.850
82712	11.85
157094	11.850
103011	11.850
102798	11.850
82762	11.850
11974	11.850
56793	11.999
454495	11.999
40191	11.850
56791	11.850
35581	11.850
56774	11.999
82765	11.999
27793	11.999
82754	11.999
457138	11.999
102897	11.999
457139	11.999
102947	11.850
97173	11.850
102720	11.850
102801	11.85
102833	11.999
102721	11.850
102856	11.850
102933	11.850
103066	11.850
97172	11.850
106355	11.999
102741	11.850
97055	11.850
97198	11.850
34874	11.999
36972	11.999
56788	11.999
533188	11.999
35579	11.999
16182	11.850
46262	11.999
35580	11.850
82818	11.999
56790	11.85
56795	11.999
33458	11.999
82777	11.850
35584	11.999
56785	11.850
56792	11.85
34189	11.850
34859	11.999
84346	11.999
56760	11.999
56755	11.999
33666	11.999
36973	11.999
37744	11.999
46894	11.999
45444	11.999
56769	11.999
56780	11.999
34847	11.999
39406	11.999
35081	11.85
56781	11.999
56771	11.850
102834	11.999
102722	11.999
154865	11.999
96948	11.999
102743	11.999
102857	11.999
154866	11.999
106356	11.999
102787	11.850
97240	11.850
102742	11.850
97257	11.999
97224	11.999
102923	11.999
96868	11.999
96864	11.999
97234	11.999
97233	11.999
154062	11.999
97142	11.85
56782	11.999
36977	11.999
83414	11.999
84348	11.999
82823	11.999
36975	11.999
56778	11.999
43354	11.999
37779	11.999
45445	11.999
36974	11.999
35585	11.999
34848	11.999
84344	11.850
34850	11.999
82819	11.999
56772	11.999
82820	11.850
16415	11.850
56779	11.999
56768	11.999
56777	11.850
84345	11.999
34668	11.999
96965	11.999
33198	11.999
82783	11.999
34852	11.999
37000	11.999
37019	11.999
56765	11.999
39198	11.999
82740	11.999
56761	11.999
56756	11.999
56766	11.999
83413	11.999
34851	11.999
36976	11.999
56767	11.999
56763	11.999
56787	11.999
35583	11.999
82807	11.999
56794	11.999
33386	11.999
33457	11.850
47912	11.999
82817	11.999
46893	11.850
33280	11.999
35582	11.850
33304	11.999
46263	11.999
15827	11.999
33407	11.999
36985	11.999
35205	11.999
15637	11.999
82821	11.999
34853	11.999
37745	11.999
36978	11.999
34190	11.999
34191	11.999
36771	11.999
36710	11.999
56757	11.850
549017	11.850
84347	11.850
56764	11.999
56758	11.999
47914	11.999
56762	11.850
33984	11.999
33983	11.999
34860	11.999
82738	11.999
36982	11.999
36979	11.999
47915	11.999
56783	11.999
36981	11.999
37004	11.999
36980	11.999
82751	11.999
36989	11.999
33282	11.999
46285	11.850
46284	11.999
82806	11.999
56776	11.999
47913	11.850
32952	11.999
45446	11.999
43353	11.999
56773	11.999
33281	11.999
56786	11.999
56789	11.999
33456	11.850
46264	11.999
36990	11.999
35912	11.999
45448	11.999
36987	11.999
36988	11.999
33986	11.999
36983	11.999
36986	11.999
45447	11.999
35566	11.850
47916	11.850
46137	11.850
550258	11.999
33985	11.999
15484	11.999
34854	11.850
46136	11.999
82736	11.850
56759	11.999
36984	11.999
56775	11.999
56770	11.999
35206	11.999
34192	11.999
82822	11.850
35108	11.850
33316	11.999
21106570	11.999
23208	15.785
4514529	34.969
6132	11.998
9016	11.998
4514586	78.918
4514549	126.904
11083	11.850
6988	11.999
11366	11.999
1253	11.85
3102535	11.989
6186	11.998
13836549	11.998
13868660	11.850
457140	11.999
107412	11.998
12197	11.790
61346	11.998
6187	11.998
13866746	11.998
13857694	11.850
13866817	11.850
9253	11.998
83734	11.998
5977	11.999
29040	11.998
6108	11.998
10054	11.890
16841	11.998
13837280	11.999
9254	11.998
21106179	11.998
692	11.989
12201	11.890
6151	11.998
62827	11.998
8883	11.9
13837988	11.999
13875356	11.850
13875212	11.999
11038	11.850
2282428	11.998
9251	11.998
71312	11.998
11153	11.998
454215	11.998
15077490	11.998
2018165	11.998
6119	11.999
2293678	11.998
109705	11.997
10765	11.890
56442	11.890
4449912	11.890
22814	30.974
99596	11.998
13835316	11.999
6098	11.790
14694	11.998
13836674	11.999
13875160	11.999
23055	11.890
14829	11.890
6105	11.998
553742	11.999
6104	11.999
558928	11.999
6086	11.690
2056044	11.998
3441	11.999
6130	11.998
12577	11.998
34863	11.850
34866	11.999
34665	11.850
34664	11.850
37904	11.999
34864	11.850
34188	11.850
34865	11.850
34868	11.999
37905	11.999
34869	11.999
37918	11.999
37915	11.850
34867	11.85
25605	11.999
26011	11.850
34870	11.999
34666	11.850
21924	11.85
34667	11.999
34871	11.850
34873	11.999
56784	11.999
34872	11.850
8351654	11.995
22408	74.922
73583	11.998
2340753	11.998
10325184	11.999
21111806	11.850
21108550	11.85
9325	11.998
9228	11.850
4444456	11.999
11708	11.850
6093	11.999
6148	11.890
13838404	12.0
6179	11.999
748	11.953
9256	11.998
10614293	11.890
11109	11.790
24142	11.890
13622	11.890
16180	11.890
7891	11.790
29025	11.890
12635	11.890
11121	11.890
7713	11.790
12809	11.790
7833	11.89
7556	11.790
7954	11.79
555074	11.890
4516601	11.890
4483639	11.890
4516599	11.89
4512361	11.890
4483638	11.890
4512642	11.89
6085	11.790
8544	11.9
7788	11.9
6149	11.998
10053	11.890
11117	11.9
6827	11.9
7676	11.999
13875281	11.999
13875230	11.850
6128	11.890
391	31.972
71390	11.998
2916	12.0
558875	11.999
12446	11.890
7957	11.89
10113	11.890
6087	11.999
18971812	11.998
13299573	11.998
3631	11.998
15755	11.850
67470	11.850
15756	11.850
15524	11.850
14441700	11.998
2062437	11.998
11911	11.999
11154	12.0
30713	11.998
21106172	11.999
127983	13.981
11148	11.998
10512	11.890
10526	11.890
24590970	11.999
11865	11.890
6042	11.890
13875320	11.999
7673	11.999
13875258	11.850
13875392	11.850
21108548	11.850
14995	11.850
14994	11.999
15475	11.850
15478	11.999
518	N/A
967	11.999
12499	11.998
71433	11.790
9484	11.89
11099	11.790
11110	11.790
11086	11.9
14692	11.790
24263	11.890
11857	11.9
391428	11.890
6309	11.790
7557	11.790
558883	11.890
56020	11.890
553642	11.9
16791	11.890
454209	11.89
9633	11.890
9377	11.890
9243	11.890
923	13.997
7850	11.890
7714	11.890
10437	11.89
6097	11.890
6083	12.0
10487	11.9
9614	11.850
13861343	12.0
11756	11.999
15476	11.85
274	11.989
56144	11.998
11864	11.690
11845	11.890
6125	11.890
12456	11.890
17880	11.890
7558	11.890
29036	11.999
1087	15.992
7001	11.999
10606755	11.998
55075	11.999
13868640	11.850
11351244	11.8
7090	11.997
7553	11.999
61213	11.890
23886	11.850
33421	11.850
15477	11.850
26010	11.999
30600	11.850
33455	11.850
33934	11.850
33932	11.850
15473	11.850
17099	11.999
17098	11.850
33933	11.850
15474	11.850
63863	11.998
454638	11.890
6121	11.890
6315	11.890
7330	11.9
6307	11.89
12219	11.890
7848	11.890
11863	11.89
7810	11.890
7766	11.89
7711	11.890
7552	11.890
6092	11.890
6088	12.0
26516	11.850
11087	11.999
8543	11.999
12209	11.690
9286	11.998
11806	11.890
6342	11.999
120464	11.890
7733	11.790
7738	11.850
21111820	11.850
8329688	11.890
6735	11.850
92731	11.998
6326	11.999
19766	11.999
6665	11.997
512621	11.998
9642	11.790
10124	11.890
6118	11.890
12010	11.890
11830	11.89
10497	11.890
31029	11.890
10340	11.994
1108	11.850
236	11.850
13875283	11.850
13840690	11.999
6737	11.999
6789	11.850
15620	11.89
2927	11.850
3973	11.997
12442	11.998
6095	11.890
10675065	11.998
11961	11.994
21111772	11.999
12228	N/A
1406720	11.890
6364	11.9
7180	11.89
7182	11.890
10669	11.9
55090	11.890
61487	11.89
6100	11.890
10410	11.890
13492	11.890
15747	11.890
13487	11.890
7385	11.890
