Compound Id	FMF
6191	0.0
6153	0.0
16425	0.0
6190	0.0
11919	0.0
67991	0.0
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.0
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.0
11035	0.0
11104	0.0
10795	0.0
10445	0.0
7849	0.0
17558	0.0
13439	0.0
13402	0.0
14840	0.0
13448	0.0
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	1.0
11585	0.545
13837650	0.0
13853215	0.0
9392	0.0
7674	0.857
6156	0.0
18410	0.5
7024	0.833
15438	0.625
8896	1.0
14751	0.75
221117	0.6
7787	1.0
8908	1.0
8909	1.0
8910	1.0
6188	0.0
10265264	0.6
10179173	0.6
21800	0.6
10325078	0.0
6111	1.0
10265270	0.833
15765	0.6
10179239	0.833
69569	0.0
5730	0.0
13837281	0.0
9724	0.7
7662	0.667
13862559	0.667
7518	0.75
21106571	0.6
13864445	0.667
21106163	0.6
21106540	0.6
6339	0.0
38364	0.667
27488	0.667
11776	0.667
25677	0.75
158870	0.769
157093	0.769
83374	0.769
457144	0.769
135925	0.769
457145	0.769
84188	0.769
136000	0.769
135983	0.769
136001	0.769
136002	0.769
136003	0.769
84235	0.769
82755	0.714
82712	0.714
157094	0.714
103011	0.714
102798	0.714
82762	0.714
11974	0.6
56793	0.75
454495	0.75
40191	0.75
56791	0.75
35581	0.75
56774	0.706
82765	0.706
27793	0.714
82754	0.714
457138	0.714
102897	0.714
457139	0.714
102947	0.714
97173	0.714
102720	0.714
102801	0.714
102833	0.714
102721	0.714
102856	0.714
102933	0.714
103066	0.714
97172	0.714
106355	0.714
102741	0.667
97055	0.667
97198	0.667
34874	0.75
36972	0.75
56788	0.75
533188	0.75
35579	0.75
16182	0.75
46262	0.75
35580	0.75
82818	0.75
56790	0.75
56795	0.75
33458	0.75
82777	0.75
35584	0.75
56785	0.75
56792	0.75
34189	0.75
34859	0.667
84346	0.667
56760	0.667
56755	0.667
33666	0.667
36973	0.706
37744	0.706
46894	0.706
45444	0.706
56769	0.706
56780	0.706
34847	0.706
39406	0.706
35081	0.706
56781	0.706
56771	0.706
102834	0.667
102722	0.667
154865	0.667
96948	0.667
102743	0.667
102857	0.667
154866	0.667
106356	0.667
102787	0.667
97240	0.667
102742	0.667
97257	0.625
97224	0.625
102923	0.625
96868	0.625
96864	0.625
97234	0.625
97233	0.625
154062	0.625
97142	0.625
56782	0.632
36977	0.632
83414	0.632
84348	0.632
82823	0.632
36975	0.706
56778	0.706
43354	0.706
37779	0.706
45445	0.706
36974	0.706
35585	0.706
34848	0.706
84344	0.706
34850	0.706
82819	0.706
56772	0.706
82820	0.706
16415	0.706
56779	0.706
56768	0.706
56777	0.706
84345	0.706
34668	0.706
96965	0.588
33198	0.588
82783	0.667
34852	0.667
37000	0.667
37019	0.667
56765	0.667
39198	0.667
82740	0.667
56761	0.667
56756	0.667
56766	0.667
83413	0.667
34851	0.667
36976	0.667
56767	0.667
56763	0.667
56787	0.75
35583	0.75
82807	0.75
56794	0.75
33386	0.75
33457	0.75
47912	0.75
82817	0.75
46893	0.75
33280	0.75
35582	0.75
33304	0.75
46263	0.75
15827	0.556
33407	0.6
36985	0.6
35205	0.6
15637	0.6
82821	0.6
34853	0.667
37745	0.667
36978	0.667
34190	0.667
34191	0.667
36771	0.667
36710	0.667
56757	0.667
549017	0.667
84347	0.667
56764	0.667
56758	0.667
47914	0.667
56762	0.667
33984	0.667
33983	0.667
34860	0.632
82738	0.632
36982	0.632
36979	0.632
47915	0.632
56783	0.632
36981	0.632
37004	0.632
36980	0.632
82751	0.571
36989	0.571
33282	0.706
46285	0.706
46284	0.706
82806	0.706
56776	0.706
47913	0.706
32952	0.706
45446	0.706
43353	0.706
56773	0.706
33281	0.75
56786	0.75
56789	0.75
33456	0.75
46264	0.75
36990	0.6
35912	0.6
45448	0.6
36987	0.6
36988	0.6
33986	0.632
36983	0.632
36986	0.632
45447	0.632
35566	0.632
47916	0.632
46137	0.632
550258	0.632
33985	0.632
15484	0.545
34854	0.667
46136	0.667
82736	0.667
56759	0.667
36984	0.667
56775	0.706
56770	0.706
35206	0.571
34192	0.6
82822	0.6
35108	0.632
33316	0.667
21106570	0.545
23208	0.0
4514529	0.0
6132	0.0
9016	0.0
4514586	0.0
4514549	0.0
11083	0.667
6988	0.667
11366	0.6
1253	0.545
3102535	0.857
6186	0.0
13836549	0.5
13868660	0.75
457140	0.769
107412	0.0
12197	0.0
61346	0.0
6187	0.0
13866746	0.545
13857694	0.75
13866817	0.75
9253	0.0
83734	0.0
5977	0.0
29040	0.0
6108	0.0
10054	0.0
16841	0.0
13837280	0.0
9254	0.0
21106179	0.0
692	0.0
12201	0.0
6151	0.0
62827	0.0
8883	1.0
13837988	0.75
13875356	0.75
13875212	0.75
11038	0.75
2282428	0.0
9251	0.0
71312	0.0
11153	0.0
454215	0.0
15077490	0.0
2018165	0.0
6119	0.0
2293678	0.0
109705	0.333
10765	0.0
56442	0.0
4449912	0.0
22814	0.0
99596	0.0
13835316	0.0
6098	0.0
14694	0.0
13836674	0.0
13875160	0.75
23055	0.0
14829	0.0
6105	0.0
553742	0.0
6104	0.0
558928	0.0
6086	0.0
2056044	0.0
3441	0.0
6130	0.0
12577	0.0
34863	0.8
34866	0.8
34665	0.8
34664	0.8
37904	0.8
34864	0.8
34188	0.8
34865	0.8
34868	0.8
37905	0.8
34869	0.8
37918	0.8
37915	0.8
34867	0.8
25605	0.8
26011	0.8
34870	0.8
34666	0.8
21924	0.8
34667	0.8
34871	0.8
34873	0.8
56784	0.8
34872	0.8
8351654	0.556
22408	0.0
73583	0.0
2340753	0.0
10325184	0.0
21111806	0.75
21108550	0.75
9325	0.75
9228	0.75
4444456	0.0
11708	0.75
6093	0.0
6148	0.0
13838404	0.0
6179	0.0
748	0.0
9256	0.0
10614293	0.0
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
4516601	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4512642	0.0
6085	0.0
8544	1.0
7788	1.0
6149	0.0
10053	0.0
11117	1.0
6827	1.0
