Compound Id	KappaShapeIndices [Kier1]
6191	8.0
6153	5.0
16425	7.0
6190	8.0
11919	9.0
67991	9.0
291	0.0
6084	2.0
6094	3.0
7555	4.0
6120	4.0
7712	5.0
6308	5.0
9646	5.0
10781	8.0
15802	9.0
17976	9.0
7767	6.0
7604	6.0
7010	6.0
6163	6.0
6340	6.0
8560	7.0
11094	7.0
11023	7.0
11055	7.0
10786	7.0
7619	7.0
10755	7.0
11551	7.0
349	8.0
11035	8.0
11104	8.0
10795	8.0
10445	8.0
7849	9.0
17558	9.0
13439	9.0
13402	9.0
14840	10.0
13448	10.0
13619	11.0
7890	12.0
11882	13.0
11883	14.0
10540	16.0
7929	20.0
11897	21.0
11899	22.0
12017	23.0
12072	24.0
11900	25.0
11901	26.0
11146	27.0
11902	28.0
10542	32.0
11906	36.0
8878	3.938
11585	9.091
13837650	4.0
13853215	8.0
9392	8.0
7674	5.143
6156	5.0
18410	8.1
7024	4.167
15438	6.125
8896	3.2
14751	6.125
221117	6.125
7787	4.167
8908	5.143
8909	6.125
8910	8.1
6188	8.0
10265264	6.125
10179173	6.125
21800	6.125
10325078	8.0
6111	1.333
10265270	6.694
15765	6.125
10179239	6.694
69569	13.0
5730	5.0
13837281	6.0
9724	6.694
7662	7.111
13862559	7.111
7518	6.125
21106571	8.1
13864445	7.111
21106163	8.1
21106540	8.1
6339	6.0
38364	7.111
27488	7.111
11776	7.111
25677	12.457
158870	9.551
157093	9.551
83374	9.551
457144	9.551
135925	9.551
457145	9.551
84188	9.551
136000	9.551
135983	9.551
136001	9.551
136002	9.551
136003	9.551
84235	9.551
82755	10.516
82712	10.516
157094	10.516
103011	10.516
102798	10.516
82762	10.516
11974	8.1
56793	12.457
454495	12.457
40191	12.457
56791	12.457
35581	12.457
56774	13.432
82765	13.432
27793	10.516
82754	10.516
457138	10.516
102897	10.516
457139	10.516
102947	10.516
97173	10.516
102720	10.516
102801	10.516
102833	10.516
102721	10.516
102856	10.516
102933	10.516
103066	10.516
97172	10.516
106355	10.516
102741	11.484
97055	11.484
97198	11.484
34874	12.457
36972	12.457
56788	12.457
533188	12.457
35579	12.457
16182	12.457
46262	12.457
35580	12.457
82818	12.457
56790	12.457
56795	12.457
33458	12.457
82777	12.457
35584	12.457
56785	12.457
56792	12.457
34189	12.457
34859	14.410
84346	14.410
56760	14.410
56755	14.410
33666	14.410
36973	13.432
37744	13.432
46894	13.432
45444	13.432
56769	13.432
56780	13.432
34847	13.432
39406	13.432
35081	13.432
56781	13.432
56771	13.432
102834	11.484
102722	11.484
154865	11.484
96948	11.484
102743	11.484
102857	11.484
154866	11.484
106356	11.484
102787	11.484
97240	11.484
102742	11.484
97257	12.457
97224	12.457
102923	12.457
96868	12.457
96864	12.457
97234	12.457
97233	12.457
154062	12.457
97142	12.457
56782	15.39
36977	15.39
83414	15.39
84348	15.39
82823	15.39
36975	13.432
56778	13.432
43354	13.432
37779	13.432
45445	13.432
36974	13.432
35585	13.432
34848	13.432
84344	13.432
34850	13.432
82819	13.432
56772	13.432
82820	13.432
16415	13.432
56779	13.432
56768	13.432
56777	13.432
84345	13.432
34668	13.432
96965	13.432
33198	13.432
82783	14.410
34852	14.410
37000	14.410
37019	14.410
56765	14.410
39198	14.410
82740	14.410
56761	14.410
56756	14.410
56766	14.410
83413	14.410
34851	14.410
36976	14.410
56767	14.410
56763	14.410
56787	12.457
35583	12.457
82807	12.457
56794	12.457
33386	12.457
33457	12.457
47912	12.457
82817	12.457
46893	12.457
33280	12.457
35582	12.457
33304	12.457
46263	12.457
15827	14.410
33407	16.372
36985	16.372
35205	16.372
15637	16.372
82821	16.372
34853	14.410
37745	14.410
36978	14.410
34190	14.410
34191	14.410
36771	14.410
36710	14.410
56757	14.410
549017	14.410
84347	14.410
56764	14.410
56758	14.410
47914	14.410
56762	14.410
33984	14.410
33983	14.410
34860	15.39
82738	15.39
36982	15.39
36979	15.39
47915	15.39
56783	15.39
36981	15.39
37004	15.39
36980	15.39
82751	17.355
36989	17.355
33282	13.432
46285	13.432
46284	13.432
82806	13.432
56776	13.432
47913	13.432
32952	13.432
45446	13.432
43353	13.432
56773	13.432
33281	12.457
56786	12.457
56789	12.457
33456	12.457
46264	12.457
36990	16.372
35912	16.372
45448	16.372
36987	16.372
36988	16.372
33986	15.39
36983	15.39
36986	15.39
45447	15.39
35566	15.39
47916	15.39
46137	15.39
550258	15.39
33985	15.39
15484	18.340
34854	14.410
46136	14.410
82736	14.410
56759	14.410
36984	14.410
56775	13.432
56770	13.432
35206	17.355
34192	16.372
82822	16.372
35108	15.39
33316	14.410
21106570	9.091
23208	3.0
4514529	0.0
6132	4.0
9016	7.0
4514586	0.0
4514549	0.0
11083	7.111
6988	7.111
11366	8.1
1253	9.091
3102535	5.143
6186	8.0
13836549	10.083
13868660	6.125
457140	9.551
107412	8.0
12197	4.0
61346	9.0
6187	8.0
13866746	9.091
13857694	6.125
13866817	6.125
9253	7.0
83734	7.0
5977	4.0
29040	7.0
6108	3.0
10054	5.0
16841	7.0
13837280	5.0
9254	7.0
21106179	4.0
692	2.0
12201	6.0
6151	5.0
62827	8.0
8883	5.625
13837988	6.125
13875356	6.125
13875212	6.125
11038	6.125
2282428	7.0
9251	7.0
71312	7.0
11153	3.0
454215	7.0
15077490	7.0
2018165	5.0
6119	4.0
2293678	7.0
109705	16.056
10765	5.0
56442	4.0
4449912	4.0
22814	0.0
99596	7.0
13835316	4.0
6098	3.0
14694	6.0
13836674	4.0
13875160	6.125
23055	6.0
14829	5.0
6105	3.0
553742	4.0
6104	3.0
558928	4.0
6086	2.0
2056044	12.0
3441	7.0
6130	4.0
12577	6.0
34863	11.484
34866	11.484
34665	11.484
34664	11.484
37904	11.484
34864	11.484
34188	11.484
34865	11.484
34868	11.484
37905	11.484
34869	11.484
37918	11.484
37915	11.484
34867	11.484
25605	11.484
26011	11.484
34870	11.484
34666	11.484
21924	11.484
34667	11.484
34871	11.484
34873	11.484
56784	11.484
34872	11.484
8351654	7.111
22408	0.0
73583	8.0
2340753	6.0
10325184	6.0
21111806	6.125
21108550	6.125
9325	6.125
9228	6.125
4444456	5.0
11708	6.125
6093	3.0
6148	5.0
13838404	4.0
6179	7.0
748	2.0
9256	7.0
10614293	8.0
11109	6.0
24142	15.0
13622	14.0
16180	13.0
7891	12.0
29025	9.0
12635	11.0
11121	7.0
7713	5.0
12809	10.0
7833	8.0
7556	4.0
7954	3.0
555074	7.0
4516601	8.0
4483639	5.0
4516599	8.0
4512361	8.0
4483638	5.0
4512642	8.0
6085	2.0
8544	3.2
7788	4.167
6149	5.0
10053	5.0
11117	4.167
6827	8.592
7676	5.143
13875281	6.125
13875230	6.125
6128	4.0
391	0.0
71390	4.0
2916	3.0
558875	4.0
12446	6.0
7957	4.0
10113	5.0
6087	2.0
18971812	8.0
13299573	9.0
3631	10.0
15755	8.592
67470	8.592
15756	8.592
15524	8.592
14441700	6.0
2062437	7.0
11911	6.0
11154	3.0
30713	6.0
21106172	8.1
127983	2.0
11148	2.0
10512	6.0
10526	7.0
24590970	7.0
11865	8.0
6042	5.0
13875320	6.125
7673	5.143
13875258	6.125
13875392	6.125
21108548	6.125
14995	8.592
14994	8.592
15475	8.592
15478	8.592
518	0.0
967	10.083
12499	10.083
71433	6.0
9484	5.0
11099	5.0
11110	6.0
11086	5.143
14692	10.0
24263	6.694
11857	5.143
391428	6.694
6309	5.0
7557	4.0
558883	5.0
56020	5.0
553642	6.125
16791	8.0
454209	6.0
9633	9.0
9377	7.0
9243	3.0
923	3.0
7850	9.0
7714	5.0
10437	4.0
6097	3.0
6083	2.0
10487	5.143
9614	5.143
13861343	7.0
11756	6.0
15476	8.592
274	3.0
56144	10.0
11864	8.0
11845	7.0
6125	4.0
12456	10.0
17880	9.0
7558	4.0
29036	4.0
1087	3.0
7001	8.1
10606755	10.0
55075	10.083
13868640	6.125
11351244	3.938
7090	8.1
7553	4.0
61213	6.0
23886	10.516
33421	10.516
15477	8.592
26010	10.516
30600	10.516
33455	10.516
33934	10.516
33932	10.516
15473	10.516
17099	10.516
17098	10.516
33933	10.516
15474	10.516
63863	9.0
454638	10.173
6121	4.0
6315	5.0
7330	3.2
6307	5.0
12219	10.0
7848	9.0
11863	8.0
7810	7.0
7766	6.0
7711	5.0
7552	4.0
6092	3.0
6088	2.0
26516	7.111
11087	5.143
8543	5.0
12209	6.0
9286	6.0
11806	5.0
6342	6.0
120464	7.0
7733	5.0
7738	3.2
21111820	4.167
8329688	6.0
6735	7.639
92731	9.0
6326	5.0
19766	9.091
6665	12.071
512621	9.0
9642	3.0
10124	6.0
6118	4.0
12010	7.0
11830	6.0
10497	5.0
31029	4.0
10340	4.167
1108	5.143
236	4.167
13875283	6.125
13840690	6.125
6737	7.639
6789	7.639
15620	9.551
2927	14.410
3973	8.0
12442	4.0
6095	3.0
10675065	9.0
11961	8.1
21111772	8.1
12228	5.143
1406720	10.173
6364	6.694
7180	8.1
7182	8.1
10669	8.1
55090	6.0
61487	6.0
6100	3.0
10410	8.1
13492	11.077
15747	12.071
13487	10.083
7385	7.111
10404	9.091
7419	8.1
7219	6.125
7739	3.2
9903	5.76
8868	5.76
16159	7.0
13300034	12.457
2018460	8.0
61149	12.0
11954	8.1
13029	8.1
13875432	6.125
7151	10.083
63054	9.091
7098	9.091
9095782	8.0
6635	10.0
8356	8.1
7128	7.111
15461	9.091
7521	6.125
7641	6.125
7672	5.143
6967	6.125
21168808	4.167
7220	6.125
8876	6.694
2928	15.39
13030	8.1
13875441	6.125
10975	11.077
10870	11.077
218253	9.551
15488	9.551
6122	4.0
11727	4.0
6316	5.0
12674	8.592
8097	6.694
21106032	6.0
551	8.32
15621	9.551
6106	3.0
38403	10.0
7551	4.0
21111822	6.125
7681	5.143
8140	7.111
9360	6.125
61191	9.091
66675	8.0
20939	8.1
6999	8.1
7088	8.1
8531	8.1
7448	8.1
11660	7.111
8335	8.1
11409	7.111
7248	7.111
11661	7.111
221082	7.111
67653	10.0
10831	8.592
26260	9.551
2283071	10.516
21112738	4.0
66567	11.0
65	7.111
11769	6.125
15489	9.551
6828	8.592
7183	8.1
7659	7.111
10253	8.1
6977	7.111
10236	7.111
7129	7.111
10829	8.592
68437	9.551
906	6.694
8067	10.083
14198	6.694
10979	8.1
7181	8.1
13836713	4.0
6103	3.0
7170	10.083
10534	5.143
21171407	4.0
71437	6.509
13063	8.592
13851576	6.125
7302	9.551
2915	8.32
62826	8.0
11369	8.1
10857	7.111
13875219	6.125
13842573	6.125
10432	6.125
541032	9.091
17619	7.0
4611	10.083
9990	4.0
28993	10.0
7815	7.0
7560	4.0
7721	5.0
12259	9.091
11667	7.111
10851	8.592
10813	8.592
8807	7.408
16641	3.0
11731	4.0
8950	7.111
13677	8.592
6736	7.639
10849	8.592
15619	9.551
4932499	10.516
6057	14.410
13860817	7.111
11778	7.111
12640	4.167
6480	6.694
776	5.76
13047	9.091
18707	7.111
21106018	7.111
6402	6.694
68179	9.0
10850	8.592
9350	6.125
10664	8.1
8577	11.0
14349	10.0
7852	9.0
14680	8.0
7776	6.0
7420	8.1
66565	6.125
6592	8.32
21106020	8.1
13853953	8.1
10364	6.125
13860720	7.111
6633	7.111
69371	9.0
6478	7.408
6788	7.639
73412	6.0
10909	8.592
10918	8.592
21168831	7.111
10841	8.592
15861	9.551
21106146	8.1
21106013	8.1
21106036	9.091
9187483	13.959
7736	3.2
21106169	6.0
12821	7.111
10400	10.516
1095	3.2
70682	10.0
11862	8.0
12044	9.551
12045	9.551
12047	9.551
12699	10.173
10864	8.1
7568	4.0
9326	6.125
10980	8.1
955	8.1
10772050	7.0
6079	8.1
9461	8.0
7817	7.0
7732	5.0
1039	3.0
11871	8.0
7786	6.0
9581	7.111
7710	5.0
7809	7.0
7765	6.0
13872122	8.1
2923	8.1
9574	8.1
10972	8.1
11294	8.592
6588	9.551
6642	10.083
13875196	7.111
