Compound Id	RuleOfFive
6191	0
6153	0
16425	0
6190	0
11919	0
67991	0
291	0
6084	0
6094	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	1
17976	1
7767	0
7604	0
7010	0
6163	0
6340	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
7849	1
17558	1
13439	1
13402	1
14840	1
13448	1
13619	1
7890	1
11882	1
11883	2
10540	2
7929	2
11897	2
11899	2
12017	2
12072	2
11900	2
11901	2
11146	2
11902	2
10542	2
11906	2
8878	0
11585	0
13837650	0
13853215	0
9392	0
7674	0
6156	0
18410	1
7024	0
15438	0
8896	0
14751	0
221117	0
7787	0
8908	0
8909	0
8910	1
6188	0
10265264	0
10179173	0
21800	0
10325078	0
6111	0
10265270	1
15765	0
10179239	1
69569	0
5730	0
13837281	0
9724	1
7662	0
13862559	0
7518	0
21106571	0
13864445	0
21106163	0
21106540	0
6339	0
38364	0
27488	0
11776	0
25677	1
158870	0
157093	0
83374	0
457144	0
135925	0
457145	0
84188	0
136000	0
135983	0
136001	0
136002	0
136003	0
84235	0
82755	0
82712	0
157094	0
103011	0
102798	0
82762	0
11974	0
56793	1
454495	1
40191	1
56791	1
35581	1
56774	1
82765	1
27793	0
82754	0
457138	0
102897	0
457139	0
102947	0
97173	0
102720	0
102801	0
102833	0
102721	0
102856	0
102933	0
103066	0
97172	0
106355	0
102741	0
97055	0
97198	0
34874	1
36972	1
56788	1
533188	1
35579	1
16182	1
46262	1
35580	1
82818	1
56790	1
56795	1
33458	1
82777	1
35584	1
56785	1
56792	1
34189	1
34859	1
84346	1
56760	1
56755	1
33666	1
36973	1
37744	1
46894	1
45444	1
56769	1
56780	1
34847	1
39406	1
35081	1
56781	1
56771	1
102834	0
102722	0
154865	0
96948	0
102743	0
102857	0
154866	0
106356	0
102787	0
97240	0
102742	0
97257	0
97224	0
102923	0
96868	0
96864	0
97234	0
97233	0
154062	0
97142	0
56782	1
36977	1
83414	1
84348	1
82823	1
36975	1
56778	1
43354	1
37779	1
45445	1
36974	1
35585	1
34848	1
84344	1
34850	1
82819	1
56772	1
82820	1
16415	1
56779	1
56768	1
56777	1
84345	1
34668	1
96965	0
33198	0
82783	1
34852	1
37000	1
37019	1
56765	1
39198	1
82740	1
56761	1
56756	1
56766	1
83413	1
34851	1
36976	1
56767	1
56763	1
56787	1
35583	1
82807	1
56794	1
33386	1
33457	1
47912	1
82817	1
46893	1
33280	1
35582	1
33304	1
46263	1
15827	0
33407	1
36985	1
35205	1
15637	1
82821	1
34853	1
37745	1
36978	1
34190	1
34191	1
36771	1
36710	1
56757	1
