Compound Id	ChiCluster [SC-3]
6191	2.5
6153	2.0
16425	8.165
6190	2.5
11919	0.707
67991	3.121
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.577
7712	0.0
6308	0.408
9646	2.0
10781	1.570
15802	0.289
17976	1.969
7767	0.0
7604	0.408
7010	0.289
6163	1.561
6340	0.667
8560	0.0
11094	0.408
11023	0.289
11055	1.561
10786	0.569
7619	0.816
10755	1.207
11551	0.204
349	0.0
11035	0.289
11104	0.816
10795	0.859
10445	1.969
7849	0.0
17558	0.408
13439	3.121
13402	0.707
14840	0.0
13448	3.121
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.408
11585	0.691
13837650	0.0
13853215	2.5
9392	2.5
7674	0.289
6156	2.0
18410	0.204
7024	0.289
15438	0.204
8896	0.0
14751	0.204
221117	0.471
7787	0.0
8908	0.0
8909	0.0
8910	0.0
6188	2.5
10265264	0.577
10179173	0.577
21800	0.471
10325078	2.5
6111	0.0
10265270	0.333
15765	0.471
10179239	0.333
69569	4.328
5730	2.0
13837281	0.667
9724	1.409
7662	0.866
13862559	0.760
7518	0.577
21106571	0.953
13864445	0.664
21106163	0.943
21106540	0.856
6339	0.667
38364	0.664
27488	0.664
11776	0.866
25677	1.165
158870	1.032
157093	1.116
83374	1.116
457144	1.038
135925	0.954
457145	1.032
84188	0.936
136000	0.936
135983	1.020
136001	1.020
136002	0.942
136003	1.010
84235	1.093
82755	1.321
82712	1.243
157094	1.299
103011	1.327
102798	1.165
82762	1.215
11974	0.943
56793	1.147
454495	1.147
40191	1.243
56791	1.243
35581	1.243
56774	1.357
82765	1.454
27793	1.042
82754	1.128
457138	1.212
102897	1.212
457139	1.134
102947	1.147
97173	1.225
102720	1.225
102801	1.147
102833	1.128
102721	1.225
102856	1.147
102933	1.202
103066	1.230
97172	1.276
106355	1.134
102741	1.435
97055	1.407
97198	1.435
34874	1.128
36972	1.128
56788	1.225
533188	1.225
35579	1.225
16182	1.321
46262	1.215
35580	1.321
82818	1.230
56790	1.134
56795	1.230
33458	1.134
82777	1.327
35584	1.221
56785	1.327
56792	1.327
34189	1.321
34859	1.550
84346	1.550
56760	1.646
56755	1.550
33666	1.742
36973	1.339
37744	1.339
46894	1.339
45444	1.435
56769	1.339
56780	1.435
34847	1.435
39406	1.435
35081	1.532
56781	1.426
56771	1.532
102834	1.253
102722	1.331
154865	1.321
96948	1.417
102743	1.339
102857	1.395
154866	1.423
106356	1.327
102787	1.339
97240	1.357
102742	1.339
97257	1.445
97224	1.541
102923	1.463
96868	1.513
96864	1.513
97234	1.532
97233	1.532
154062	1.519
97142	1.550
56782	1.742
36977	1.742
83414	1.839
84348	1.656
82823	1.839
36975	1.321
56778	1.417
43354	1.417
37779	1.321
45445	1.513
36974	1.513
35585	1.407
34848	1.504
84344	1.423
34850	1.413
82819	1.423
56772	1.519
82820	1.423
16415	1.240
56779	1.423
56768	1.509
56777	1.615
84345	1.413
34668	1.504
96965	1.638
33198	1.656
82783	1.532
34852	1.532
37000	1.532
37019	1.628
56765	1.628
39198	1.628
82740	1.445
56761	1.532
56756	1.628
56766	1.628
83413	1.724
34851	1.618
36976	1.628
56767	1.714
56763	1.702
56787	1.212
35583	1.202
82807	1.308
56794	1.308
33386	1.212
33457	1.116
47912	1.308
82817	1.299
46893	1.404
33280	1.299
35582	1.404
33304	1.299
46263	1.202
15827	1.762
33407	1.935
36985	1.848
35205	1.935
15637	1.935
82821	1.945
34853	1.513
37745	1.513
36978	1.610
34190	1.706
34191	1.610
36771	1.610
36710	1.696
56757	1.605
549017	1.529
84347	1.711
56764	1.605
56758	1.605
47914	1.711
56762	1.529
33984	1.6
33983	1.686
34860	1.724
82738	1.820
36982	1.724
36979	1.820
47915	1.734
56783	1.820
36981	1.811
37004	1.734
36980	1.811
82751	2.041
36989	2.041
33282	1.395
46285	1.404
46284	1.491
82806	1.501
56776	1.597
47913	1.404
32952	1.481
45446	1.587
43353	1.491
56773	1.491
33281	1.276
56786	1.286
56789	1.382
33456	1.488
46264	1.286
36990	1.830
35912	1.917
45448	1.926
36987	1.917
36988	1.917
33986	1.706
36983	1.724
36986	1.802
45447	1.638
35566	1.711
47916	1.798
46137	1.817
550258	1.798
33985	1.792
15484	2.147
34854	1.587
46136	1.587
82736	1.693
56759	1.683
36984	1.674
56775	1.469
56770	1.575
35206	2.022
34192	1.898
82822	1.904
35108	1.780
33316	1.661
21106570	1.049
23208	0.0
4514529	0.0
6132	0.577
9016	1.655
4514586	0.0
4514549	0.0
11083	0.866
6988	0.760
11366	0.953
1253	0.692
3102535	0.289
6186	2.5
13836549	1.155
13868660	0.577
457140	0.923
107412	1.339
12197	0.0
61346	3.121
6187	2.5
13866746	1.049
13857694	0.577
13866817	0.577
9253	1.655
83734	1.655
5977	0.577
29040	1.655
6108	0.0
10054	2.0
16841	1.655
13837280	0.408
9254	1.655
21106179	0.577
692	0.0
12201	0.408
6151	2.0
62827	1.339
8883	0.816
13837988	0.471
13875356	0.577
13875212	0.471
11038	0.577
2282428	1.655
9251	1.655
71312	1.655
11153	0.0
454215	1.655
15077490	1.655
2018165	0.408
6119	0.577
2293678	1.655
109705	4.531
10765	0.408
56442	0.0
4449912	0.0
22814	0.0
99596	1.655
13835316	0.577
6098	0.0
14694	1.561
13836674	0.0
13875160	0.577
23055	1.561
14829	2.0
6105	0.0
553742	0.0
6104	0.0
558928	0.0
6086	0.0
2056044	3.065
3441	1.655
6130	0.577
12577	1.561
34863	0.954
34866	0.936
34665	1.032
34664	1.032
37904	0.942
34864	1.038
34188	1.038
34865	1.038
34868	1.020
37905	0.923
34869	1.020
37918	1.020
37915	1.116
34867	1.116
25605	1.010
26011	1.116
34870	1.010
34666	1.116
21924	1.116
34667	1.093
34871	1.199
34873	1.093
56784	0.997
34872	1.199
8351654	0.789
22408	0.0
73583	2.5
2340753	1.561
10325184	1.561
21111806	0.577
21108550	0.577
9325	0.471
9228	0.577
4444456	0.0
11708	0.577
6093	0.0
6148	2.0
13838404	0.577
6179	1.655
748	0.0
9256	1.655
10614293	1.969
11109	0.0
24142	0.0
13622	0.0
