Compound Id	ChiPath [SP-3]
6191	2.25
6153	0.0
16425	0.0
6190	2.25
11919	3.0
67991	1.061
291	0.0
6084	0.0
6094	0.0
7555	0.5
6120	0.0
7712	0.707
6308	0.816
9646	0.0
10781	2.091
15802	1.832
17976	1.472
7767	0.957
7604	0.866
7010	1.394
6163	1.061
6340	1.333
8560	1.207
11094	1.135
11023	1.478
11055	1.0
10786	1.782
7619	0.943
10755	1.914
11551	1.732
349	1.457
11035	1.747
11104	1.321
10795	2.103
10445	1.021
7849	1.707
17558	1.635
13439	1.061
13402	3.0
14840	1.957
13448	1.625
13619	2.207
7890	2.457
11882	2.707
11883	2.957
10540	3.457
7929	4.457
11897	4.707
11899	4.957
12017	5.207
12072	5.457
11900	5.707
11901	5.957
11146	6.207
11902	6.457
10542	7.457
11906	8.457
8878	2.633
11585	3.509
13837650	0.5
13853215	2.25
9392	2.25
7674	1.894
6156	0.0
18410	2.691
7024	1.644
15438	2.172
8896	1.25
14751	2.302
221117	2.540
7787	1.5
8908	1.75
8909	2.0
8910	2.5
6188	2.25
10265264	2.305
10179173	2.305
21800	2.540
10325078	2.25
6111	0.0
10265270	3.466
15765	2.540
10179239	3.466
69569	2.018
5730	0.0
13837281	1.333
9724	4.204
7662	2.414
13862559	2.860
7518	2.305
21106571	3.343
13864445	3.114
21106163	3.430
21106540	3.702
6339	1.333
38364	3.114
27488	3.114
11776	2.414
25677	5.711
158870	4.657
157093	4.514
83374	4.520
457144	4.572
135925	4.814
457145	4.756
84188	4.922
136000	5.006
135983	4.869
136001	4.876
136002	4.933
136003	4.861
84235	4.723
82755	4.909
82712	5.065
157094	5.106
103011	4.817
102798	5.227
82762	5.348
11974	3.430
56793	5.911
454495	5.897
40191	5.535
56791	5.625
35581	5.648
56774	6.317
82765	5.940
27793	5.714
82754	5.524
457138	5.380
102897	5.387
457139	5.444
102947	5.322
97173	5.265
102720	5.265
102801	5.328
102833	5.606
102721	5.258
102856	5.420
102933	5.461
103066	5.178
97172	5.308
106355	5.539
102741	5.574
97055	5.857
97198	5.579
34874	6.090
36972	6.085
56788	5.818
533188	5.749
35579	5.840
16182	5.546
46262	5.818
35580	5.568
82818	5.760
56790	5.929
56795	5.844
33458	5.947
82777	5.384
35584	5.816
56785	5.392
56792	5.467
34189	5.590
34859	6.923
84346	6.812
56760	6.546
56755	6.830
33666	6.169
36973	6.503
37744	6.407
46894	6.485
45444	6.231
56769	6.425
56780	6.149
34847	6.254
39406	6.127
35081	5.855
56781	6.217
56771	5.877
102834	6.119
102722	6.056
154865	6.124
96948	5.776
102743	5.938
102857	5.972
154866	5.689
106356	6.050
102787	5.928
97240	5.741
102742	5.934
97257	6.725
97224	6.371
102923	6.538
96868	6.648
96864	6.642
97234	6.446
97233	6.452
154062	6.561
97142	6.255
56782	7.418
36977	7.437
83414	7.042
84348	7.609
82823	7.060
36975	6.677
56778	6.341
43354	6.405
37779	6.603
45445	6.069
36974	6.092
35585	6.410
34848	6.138
84344	6.256
34850	6.422
82819	6.274
56772	5.998
82820	6.340
16415	6.726
56779	6.358
56768	6.046
56777	5.622
84345	6.322
34668	6.160
96965	7.243
33198	7.052
82783	6.999
34852	7.091
37000	7.017
37019	6.755
56765	6.727
39198	6.714
82740	7.204
56761	7.003
56756	6.749
56766	6.745
83413	6.378
34851	6.823
36976	6.768
56767	6.447
56763	6.551
56787	5.940
35583	6.014
82807	5.604
56794	5.590
33386	6.024
33457	6.131
47912	5.688
82817	5.672
46893	5.318
33280	5.764
35582	5.341
33304	5.756
46263	5.928
15827	7.849
33407	7.914
36985	8.215
35205	7.932
15637	7.950
82821	7.839
34853	7.265
37745	7.195
36978	6.929
