Compound Id	ChiPathCluster [SPC-6]
6191	0.0
6153	0.0
16425	0.0
6190	0.0
11919	0.0
67991	2.652
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.816
15802	0.391
17976	1.443
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
8560	0.0
11094	0.204
11023	0.204
11055	0.25
10786	0.236
7619	0.236
10755	0.0
11551	0.0
349	0.0
11035	0.289
11104	0.667
10795	0.962
10445	1.021
7849	0.0
17558	0.144
13439	2.652
13402	0.0
14840	0.0
13448	2.5
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.766
11585	1.853
13837650	0.0
13853215	0.0
9392	0.0
7674	0.408
6156	0.0
18410	0.361
7024	0.0
15438	0.348
8896	0.0
14751	0.493
221117	1.138
7787	0.0
8908	0.0
8909	0.0
8910	0.0
6188	0.0
10265264	1.138
10179173	1.138
21800	1.138
10325078	0.0
6111	0.0
10265270	1.886
15765	1.138
10179239	1.886
69569	5.393
5730	0.0
13837281	0.0
9724	4.893
7662	1.747
13862559	2.076
7518	1.138
21106571	3.277
13864445	2.190
21106163	3.374
21106540	3.511
6339	0.0
38364	2.190
27488	2.190
11776	1.747
25677	7.429
158870	5.457
157093	4.664
83374	4.991
457144	5.214
135925	5.915
457145	5.311
84188	5.829
136000	5.408
135983	4.958
136001	5.142
136002	5.724
136003	5.010
84235	4.620
82755	6.599
82712	6.925
157094	5.939
103011	6.007
102798	7.635
82762	6.448
11974	3.374
56793	7.182
454495	6.847
40191	6.648
56791	6.540
35581	6.768
56774	8.706
82765	8.246
27793	7.649
82754	6.919
457138	6.276
102897	6.521
457139	6.962
102947	7.174
97173	6.716
102720	6.633
102801	7.468
102833	6.505
102721	6.469
102856	7.155
102933	6.152
103066	6.582
97172	5.708
106355	7.003
102741	8.114
97055	7.785
97198	8.492
34874	6.530
36972	6.517
56788	6.140
533188	6.603
35579	6.436
16182	5.757
46262	6.364
35580	6.047
82818	6.435
56790	7.028
56795	6.315
33458	7.438
82777	5.816
35584	5.824
56785	5.792
56792	5.701
34189	6.341
34859	9.989
84346	9.954
56760	9.523
56755	10.209
33666	9.063
36973	8.196
37744	8.419
46894	7.925
45444	7.882
56769	8.750
56780	7.948
34847	8.115
39406	7.655
35081	7.347
56781	7.786
56771	7.575
102834	9.148
102722	8.468
154865	7.948
96948	7.993
102743	8.539
102857	7.484
154866	7.770
106356	8.255
102787	8.430
97240	9.057
102742	8.631
97257	10.330
97224	10.105
102923	10.895
96868	9.554
96864	9.405
97234	9.746
97233	10.032
154062	9.460
97142	10.498
56782	11.237
36977	11.498
83414	10.771
84348	11.894
82823	11.026
36975	7.598
56778	7.689
43354	7.208
37779	8.065
45445	7.294
36974	7.593
35585	7.443
34848	7.055
84344	7.661
34850	7.240
82819	8.076
56772	7.213
82820	7.541
16415	9.099
56779	7.951
56768	6.621
56777	6.589
84345	7.032
34668	7.349
96965	11.664
33198	12.260
82783	9.433
34852	9.273
37000	9.769
37019	9.301
56765	9.119
39198	8.733
82740	10.423
56761	9.421
56756	9.352
56766	9.449
83413	8.755
34851	9.133
36976	9.687
56767	8.593
56763	7.829
56787	5.953
35583	5.691
82807	6.112
56794	5.731
33386	5.768
33457	6.868
47912	5.923
82817	5.786
46893	5.257
33280	5.585
35582	5.623
33304	5.602
46263	5.804
15827	14.042
33407	12.485
36985	13.183
35205	12.746
15637	13.012
82821	12.711
34853	8.666
37745	9.151
36978	8.757
34190	8.852
34191	8.756
36771	9.055
36710	8.601
56757	8.466
549017	9.737
84347	8.439
56764	8.881
56758	8.453
47914	8.860
56762	9.612
33984	8.512
33983	8.356
34860	10.774
82738	10.538
36982	10.847
36979	10.879
47915	11.122
56783	10.228
36981	10.370
37004	11.360
36980	10.705
82751	14.431
36989	14.697
33282	6.749
46285	7.562
46284	6.908
82806	6.789
56776	6.952
47913	7.374
32952	6.582
45446	6.620
43353	6.486
56773	6.853
33281	4.959
56786	5.502
56789	5.070
33456	5.185
46264	5.243
36990	12.520
35912	12.011
45448	12.552
36987	12.352
36988	12.378
33986	10.219
36983	10.510
36986	10.313
45447	11.442
35566	10.542
47916	9.679
46137	10.521
550258	10.1
33985	10.063
15484	16.382
34854	8.358
46136	8.019
82736	8.402
56759	8.182
36984	7.850
56775	6.288
56770	6.404
35206	14.025
34192	11.775
82822	11.761
35108	9.632
33316	7.622
21106570	5.039
23208	0.0
4514529	0.0
6132	0.0
9016	0.0
4514586	0.0
4514549	0.0
11083	1.747
6988	2.076
11366	3.277
1253	2.181
3102535	0.408
6186	0.0
13836549	7.020
13868660	1.138
457140	5.599
107412	0.408
12197	0.0
61346	2.652
6187	0.0
13866746	5.039
13857694	1.020
13866817	1.138
9253	0.0
83734	0.0
5977	0.0
29040	0.0
6108	0.0
10054	0.0
16841	0.0
13837280	0.0
9254	0.0
21106179	0.0
692	0.0
12201	0.0
6151	0.0
62827	0.408
8883	3.818
13837988	1.138
13875356	1.020
13875212	1.138
11038	1.138
2282428	0.0
9251	0.0
71312	0.0
11153	0.0
454215	0.0
15077490	0.0
2018165	0.0
6119	0.0
2293678	0.0
109705	7.969
10765	0.0
56442	0.0
4449912	0.0
22814	0.0
99596	0.0
13835316	0.0
6098	0.0
14694	0.0
13836674	0.0
13875160	1.138
23055	0.0
14829	0.0
6105	0.0
553742	0.0
6104	0.0
558928	0.0
6086	0.0
2056044	6.0
3441	0.0
6130	0.0
12577	0.0
34863	5.840
34866	5.449
34665	5.065
34664	5.356
37904	5.802
34864	5.019
34188	5.189
34865	4.904
34868	4.895
37905	5.263
34869	4.710
37918	5.418
37915	4.426
34867	4.789
25605	5.097
26011	4.605
34870	4.540
34666	4.575
21924	4.246
34667	4.172
34871	4.283
34873	3.918
56784	4.746
34872	4.025
8351654	1.540
22408	0.0
73583	0.0
2340753	0.0
10325184	0.0
21111806	1.020
21108550	1.138
9325	1.138
9228	1.138
4444456	0.0
11708	1.138
6093	0.0
6148	0.0
13838404	0.0
6179	0.0
748	0.0
9256	0.0
10614293	1.021
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
4516601	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4512642	0.0
6085	0.0
8544	0.0
7788	0.0
6149	0.0
10053	0.0
11117	0.0
