Compound Id	ChiPathCluster [VPC-5]
6191	0.031
6153	0.0
16425	0.0
6190	0.071
11919	7.864
67991	20.897
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	1.718
15802	0.493
17976	0.827
7767	0.0
7604	0.289
7010	0.289
6163	0.354
6340	0.0
8560	0.0
11094	0.204
11023	0.408
11055	1.0
10786	0.707
7619	0.943
10755	1.0
11551	0.612
349	0.0
11035	0.348
11104	0.333
10795	1.540
10445	2.041
7849	0.0
17558	0.204
13439	3.536
13402	2.621
14840	0.0
13448	1.25
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	1.204
11585	0.352
13837650	0.0
13853215	0.153
9392	0.173
7674	0.433
6156	0.0
18410	0.612
7024	0.433
15438	0.655
8896	0.0
14751	0.595
221117	1.040
7787	0.0
8908	0.0
8909	0.0
8910	0.0
6188	0.337
10265264	0.760
10179173	0.760
21800	1.040
10325078	0.286
6111	0.0
10265270	1.5
15765	1.040
10179239	1.5
69569	28.874
5730	0.0
13837281	0.0
9724	4.315
7662	1.112
13862559	0.854
7518	0.470
21106571	1.680
13864445	1.208
21106163	1.284
21106540	1.8
6339	0.0
38364	1.732
27488	1.737
11776	2.741
25677	2.575
158870	1.741
157093	1.589
83374	1.562
457144	2.007
135925	1.970
457145	1.562
84188	1.935
136000	1.810
135983	1.630
136001	1.605
136002	2.001
136003	1.529
84235	1.338
82755	2.117
82712	2.349
157094	1.931
103011	2.411
102798	2.546
82762	1.906
11974	3.165
56793	2.381
454495	2.442
40191	2.481
56791	2.314
35581	2.193
56774	2.973
82765	3.071
27793	2.931
82754	2.454
457138	2.3
102897	2.274
457139	2.673
102947	2.558
97173	2.147
102720	2.148
102801	2.510
102833	2.255
102721	2.188
102856	2.371
102933	1.973
103066	2.405
97172	1.704
106355	2.401
102741	2.938
97055	2.492
97198	2.889
34874	2.276
36972	2.435
56788	2.149
533188	2.188
35579	2.028
16182	2.022
46262	2.026
35580	1.901
82818	2.247
56790	2.755
56795	2.162
33458	2.528
82777	2.349
35584	2.165
56785	2.286
56792	2.263
34189	1.780
34859	3.371
84346	3.730
56760	3.469
56755	3.506
33666	3.567
36973	2.839
37744	3.139
46894	3.057
45444	2.710
56769	2.913
56780	2.811
34847	2.590
39406	2.938
35081	2.810
56781	2.647
56771	2.690
102834	3.510
102722	3.144
154865	2.901
96948	2.832
102743	3.018
102857	2.642
