Compound Id	WeightedPath [WTPT-3]
6191	13.875
6153	9.0
16425	16.899
6190	13.875
11919	3.414
67991	13.766
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.0
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.0
11035	0.0
11104	0.0
10795	0.0
10445	0.0
7849	0.0
17558	0.0
13439	0.0
13402	0.0
14840	0.0
13448	0.0
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.0
11585	7.694
13837650	4.621
13853215	13.875
9392	13.875
7674	0.0
6156	3.0
18410	0.0
7024	0.0
15438	0.0
8896	0.0
14751	0.0
221117	0.0
7787	0.0
8908	0.0
8909	0.0
8910	0.0
6188	13.875
10265264	0.0
10179173	0.0
21800	0.0
10325078	13.875
6111	0.0
10265270	0.0
15765	0.0
10179239	0.0
69569	20.045
5730	9.0
13837281	9.301
9724	0.0
7662	7.484
13862559	7.477
7518	4.990
21106571	9.962
13864445	7.467
21106163	9.964
21106540	9.954
6339	9.301
38364	7.467
27488	7.467
11776	7.484
25677	10.188
158870	7.634
157093	7.620
83374	7.619
457144	7.632
135925	7.653
457145	7.640
84188	7.610
136000	7.622
135983	7.607
136001	7.606
136002	7.618
136003	7.607
84235	7.593
82755	10.163
82712	10.181
157094	10.137
103011	10.161
102798	10.2
82762	10.157
11974	9.964
56793	10.150
454495	10.152
40191	10.152
56791	10.160
35581	10.171
56774	12.697
82765	12.699
27793	10.1
82754	10.132
457138	10.117
102897	10.117
457139	10.129
102947	10.160
97173	10.147
102720	10.147
102801	10.159
102833	10.138
102721	10.150
102856	10.168
102933	10.124
103066	10.148
97172	10.111
106355	10.133
102741	12.688
97055	12.664
97198	12.687
34874	10.115
36972	10.107
56788	10.123
533188	10.128
35579	10.134
16182	10.131
46262	10.124
35580	10.142
82818	10.132
56790	10.098
56795	10.127
33458	10.105
82777	10.135
35584	10.132
56785	10.148
56792	10.130
34189	10.152
34859	15.205
84346	15.191
56760	15.207
56755	15.198
33666	15.210
36973	12.661
37744	12.644
46894	12.655
45444	12.669
56769	12.651
56780	12.675
34847	12.679
39406	12.663
35081	12.671
56781	12.672
56771	12.681
102834	12.649
102722	12.637
154865	12.648
96948	12.660
102743	12.678
102857	12.634
154866	12.658
106356	12.644
102787	12.675
97240	12.705
102742	12.674
97257	15.164
97224	15.177
102923	15.195
96868	15.154
96864	15.157
97234	15.184
97233	15.184
154062	15.154
97142	15.211
56782	17.699
36977	17.706
83414	17.701
84348	17.676
82823	17.708
36975	12.618
56778	12.638
43354	12.626
37779	12.613
45445	12.646
36974	12.657
35585	12.635
34848	12.643
84344	12.627
34850	12.640
82819	12.634
56772	12.657
82820	12.622
16415	12.584
56779	12.629
56768	12.643
56777	12.659
84345	12.640
34668	12.653
96965	17.673
33198	17.7
82783	15.155
34852	15.164
37000	15.162
37019	15.183
56765	15.163
39198	15.166
82740	15.130
