Compound Id	XLogP
6191	3.06
6153	2.316
16425	2.25
6190	3.197
11919	3.544
67991	3.22
291	0.739
6084	1.478
6094	2.047
7555	2.616
6120	2.555
7712	3.185
6308	3.124
9646	3.161
10781	4.807
15802	5.4
17976	5.376
7767	3.754
7604	3.693
7010	3.693
6163	3.73
6340	3.632
8560	4.323
11094	4.262
11023	4.262
11055	4.299
10786	4.201
7619	4.201
10755	4.299
11551	4.262
349	4.892
11035	4.831
11104	4.77
10795	4.709
10445	4.807
7849	5.461
17558	5.4
13439	5.413
13402	5.437
14840	6.030
13448	5.982
13619	6.599
7890	7.168
11882	7.737
11883	8.306
10540	9.444
7929	11.720
11897	12.289
11899	12.858
12017	13.427
12072	13.996
11900	14.565
11901	15.134
11146	15.703
11902	16.272
10542	18.548
11906	20.824
8878	3.521
11585	1.324
13837650	1.74
13853215	3.334
9392	3.334
7674	3.922
6156	2.112
18410	5.629
7024	3.353
15438	4.491
8896	2.845
14751	4.491
221117	4.43
7787	3.414
8908	3.983
8909	4.552
8910	5.690
6188	3.471
10265264	4.43
10179173	4.43
21800	4.43
10325078	3.672
6111	1.707
10265270	5.228
15765	4.43
10179239	5.228
69569	4.36
5730	2.864
13837281	3.026
9724	5.143
7662	3.084
13862559	3.084
7518	3.326
21106571	3.18
13864445	3.084
21106163	3.18
21106540	3.180
6339	3.928
38364	3.422
27488	3.422
11776	4.098
25677	5.144
158870	4.116
157093	4.116
83374	4.116
457144	4.327
135925	4.116
457145	4.116
84188	4.538
136000	4.116
135983	4.116
136001	4.116
136002	4.327
136003	4.327
84235	4.116
82755	4.212
82712	4.212
157094	4.212
103011	4.212
102798	4.212
82762	4.212
11974	4.532
56793	5.355
454495	5.144
40191	5.355
56791	5.144
35581	5.144
56774	5.24
82765	5.24
27793	4.634
82754	4.212
457138	4.212
102897	4.212
457139	4.423
102947	4.212
97173	4.212
102720	4.212
102801	4.212
102833	4.212
102721	4.212
102856	4.212
102933	4.212
103066	4.212
97172	4.212
106355	4.212
102741	4.308
97055	4.308
97198	4.308
34874	5.144
36972	5.355
56788	5.144
533188	5.355
35579	5.144
16182	5.144
46262	5.355
35580	5.144
82818	5.355
56790	6.199
56795	5.144
33458	6.199
82777	5.355
35584	5.144
56785	5.144
56792	5.144
34189	5.144
34859	5.336
84346	5.336
56760	5.336
56755	5.336
33666	5.336
36973	5.24
37744	5.451
46894	5.24
45444	5.24
56769	5.451
56780	5.24
34847	5.24
39406	5.24
35081	5.24
56781	5.24
56771	5.240
102834	4.308
102722	4.308
154865	4.308
96948	4.308
102743	4.308
102857	4.308
154866	4.308
106356	4.308
102787	4.308
97240	4.308
102742	4.308
97257	4.404
97224	4.404
102923	4.404
96868	4.404
96864	4.404
97234	4.404
97233	4.404
154062	4.404
97142	4.404
56782	5.432
36977	5.432
83414	5.432
84348	5.432
82823	5.432
36975	5.240
56778	5.24
43354	5.240
37779	5.451
45445	5.24
36974	5.24
35585	5.24
34848	5.24
84344	5.451
34850	5.24
82819	5.451
56772	5.24
82820	5.24
16415	6.295
56779	5.24
56768	5.24
56777	5.240
84345	5.24
34668	5.24
96965	4.5
33198	4.5
82783	5.336
34852	5.336
37000	5.336
37019	5.336
56765	5.336
39198	5.336
82740	5.547
56761	5.336
56756	5.336
56766	5.336
83413	5.336
34851	5.336
36976	5.336
56767	5.336
56763	5.336
56787	5.355
35583	5.144
82807	5.355
56794	5.144
33386	5.144
33457	6.199
47912	5.144
82817	5.355
46893	5.144
33280	5.144
35582	5.144
33304	5.144
46263	5.355
15827	4.596
33407	5.528
36985	5.528
35205	5.528
15637	5.528
82821	5.528
34853	5.336
37745	5.336
36978	5.336
34190	5.336
34191	5.336
36771	5.336
36710	5.336
56757	5.336
549017	5.547
84347	5.336
56764	5.336
56758	5.336
47914	5.336
56762	5.336
33984	5.336
33983	5.336
34860	5.432
82738	5.432
36982	5.432
36979	5.432
47915	5.432
56783	5.432
36981	5.432
37004	5.432
36980	5.432
82751	5.624
36989	5.624
33282	5.240
46285	5.451
46284	5.24
82806	5.240
56776	5.24
47913	5.24
32952	5.24
45446	5.24
43353	5.240
56773	5.24
33281	5.144
56786	5.355
56789	5.144
33456	5.144
46264	5.355
36990	5.528
35912	5.528
45448	5.528
36987	5.528
36988	5.528
33986	5.432
36983	5.432
36986	5.432
45447	5.432
35566	5.432
47916	5.432
46137	5.432
