Compound Id	AtomCount
6191	8
6153	5
16425	7
6190	8
11919	29
67991	21
291	5
6084	8
6094	11
7555	14
6120	14
7712	17
6308	17
9646	17
10781	26
15802	29
17976	29
7767	20
7604	20
7010	20
6163	20
6340	20
8560	23
11094	23
11023	23
11055	23
10786	23
7619	23
10755	23
11551	23
349	26
11035	26
11104	26
10795	26
10445	26
7849	29
17558	29
13439	29
13402	29
14840	32
13448	32
13619	35
7890	38
11882	41
11883	44
10540	50
7929	62
11897	65
11899	68
12017	71
12072	74
11900	77
11901	80
11146	83
11902	86
10542	98
11906	110
8878	19
11585	20
13837650	8
13853215	8
9392	8
7674	21
6156	17
18410	30
7024	18
15438	24
8896	15
14751	24
221117	24
7787	18
8908	21
8909	24
8910	30
6188	8
10265264	24
10179173	24
21800	24
10325078	8
6111	9
10265270	28
15765	24
10179239	28
69569	31
5730	5
13837281	6
9724	28
7662	12
13862559	12
7518	12
21106571	12
13864445	12
21106163	12
21106540	12
6339	8
38364	12
27488	12
11776	12
25677	22
158870	18
157093	18
83374	18
457144	18
135925	18
457145	18
84188	18
136000	18
135983	18
136001	18
136002	18
136003	18
84235	18
82755	18
82712	18
157094	18
103011	18
102798	18
82762	18
11974	12
56793	22
454495	22
40191	22
56791	22
35581	22
56774	22
82765	22
27793	18
82754	18
457138	18
102897	18
457139	18
102947	18
97173	18
102720	18
102801	18
102833	18
102721	18
102856	18
102933	18
103066	18
97172	18
106355	18
102741	18
97055	18
97198	18
34874	22
36972	22
56788	22
533188	22
35579	22
16182	22
46262	22
35580	22
82818	22
56790	22
56795	22
33458	22
82777	22
35584	22
56785	22
56792	22
34189	22
34859	22
84346	22
56760	22
56755	22
33666	22
36973	22
37744	22
46894	22
45444	22
56769	22
56780	22
34847	22
39406	22
35081	22
56781	22
56771	22
102834	18
102722	18
154865	18
96948	18
102743	18
102857	18
154866	18
106356	18
102787	18
97240	18
102742	18
97257	18
97224	18
102923	18
96868	18
96864	18
97234	18
97233	18
154062	18
97142	18
56782	22
36977	22
83414	22
84348	22
82823	22
36975	22
56778	22
43354	22
37779	22
45445	22
36974	22
35585	22
34848	22
84344	22
34850	22
82819	22
56772	22
82820	22
16415	22
56779	22
56768	22
56777	22
84345	22
34668	22
96965	18
33198	18
82783	22
34852	22
37000	22
37019	22
56765	22
39198	22
82740	22
56761	22
56756	22
56766	22
83413	22
34851	22
36976	22
56767	22
56763	22
56787	22
35583	22
82807	22
56794	22
33386	22
33457	22
47912	22
82817	22
46893	22
33280	22
35582	22
33304	22
46263	22
15827	18
33407	22
36985	22
35205	22
15637	22
82821	22
34853	22
37745	22
36978	22
34190	22
34191	22
36771	22
36710	22
56757	22
549017	22
84347	22
56764	22
56758	22
47914	22
56762	22
33984	22
33983	22
34860	22
82738	22
36982	22
36979	22
47915	22
56783	22
36981	22
37004	22
36980	22
82751	22
36989	22
33282	22
46285	22
46284	22
82806	22
56776	22
47913	22
32952	22
45446	22
43353	22
56773	22
33281	22
56786	22
56789	22
33456	22
46264	22
36990	22
35912	22
45448	22
36987	22
36988	22
33986	22
36983	22
36986	22
45447	22
35566	22
47916	22
46137	22
550258	22
33985	22
15484	22
34854	22
46136	22
82736	22
56759	22
36984	22
56775	22
56770	22
35206	22
34192	22
82822	22
35108	22
33316	22
21106570	12
23208	3
4514529	1
6132	5
9016	8
4514586	1
4514549	1
11083	13
6988	13
11366	13
1253	19
3102535	13
6186	8
13836549	12
13868660	12
457140	18
107412	11
12197	8
61346	11
6187	8
13866746	12
13857694	12
13866817	12
9253	8
83734	8
5977	5
29040	8
6108	3
10054	14
16841	8
13837280	6
9254	8
21106179	5
692	4
12201	18
6151	5
62827	11
8883	26
13837988	12
13875356	12
13875212	12
11038	12
2282428	8
9251	8
71312	8
11153	5
454215	8
15077490	8
2018165	8
6119	5
2293678	8
109705	21
10765	15
56442	12
4449912	12
22814	4
99596	11
13835316	6
6098	6
14694	8
13836674	9
13875160	15
23055	11
14829	8
6105	5
553742	6
6104	5
558928	6
6086	4
2056044	14
3441	8
6130	5
12577	8
34863	22
34866	22
34665	22
34664	22
37904	22
34864	22
34188	22
34865	22
34868	22
37905	22
34869	22
37918	22
37915	22
34867	22
25605	22
26011	22
34870	22
34666	22
21924	22
34667	22
34871	22
34873	22
56784	22
34872	22
8351654	9
22408	4
73583	11
2340753	8
10325184	8
21111806	12
21108550	12
9325	12
9228	12
4444456	9
11708	12
6093	5
6148	8
13838404	5
6179	8
748	3
9256	8
10614293	25
11109	18
24142	45
13622	42
16180	39
7891	36
29025	27
12635	33
11121	21
7713	15
12809	30
7833	24
7556	12
7954	9
555074	21
4516601	24
4483639	15
4516599	24
4512361	24
4483638	15
4512642	24
6085	6
8544	13
7788	16
6149	5
10053	14
11117	14
6827	34
7676	12
13875281	15
13875230	15
6128	8
391	3
71390	5
2916	5
558875	6
12446	18
7957	12
10113	15
6087	5
18971812	14
13299573	11
3631	12
15755	18
67470	18
15756	18
15524	18
14441700	11
2062437	11
11911	8
11154	5
30713	8
21106172	13
127983	2
11148	5
10512	17
10526	20
24590970	11
11865	23
6042	8
13875320	15
7673	12
13875258	15
13875392	15
21108548	12
14995	18
14994	18
15475	18
15478	18
518	3
967	13
12499	13
71433	18
9484	8
11099	13
11110	16
11086	19
14692	28
24263	26
11857	19
391428	26
6309	13
7557	10
558883	13
56020	13
553642	22
16791	22
454209	14
9633	26
9377	20
9243	8
923	3
7850	26
7714	14
10437	11
6097	8
6083	5
10487	18
9614	12
13861343	7
11756	11
15476	18
274	3
56144	11
11864	22
11845	19
6125	8
12456	28
17880	25
7558	10
29036	5
1087	3
7001	13
10606755	12
55075	14
13868640	12
11351244	15
7090	15
7553	9
61213	11
23886	22
33421	22
15477	18
26010	22
30600	22
33455	22
33934	22
33932	22
15473	22
17099	22
17098	22
33933	22
15474	22
63863	23
454638	39
6121	11
6315	14
7330	11
6307	14
12219	29
7848	26
11863	23
7810	20
7766	17
7711	14
7552	11
6092	8
6088	5
26516	18
11087	12
8543	11
12209	16
9286	8
11806	13
6342	8
120464	20
7733	11
7738	9
21111820	12
8329688	11
6735	18
92731	11
6326	8
19766	13
6665	18
512621	28
9642	7
10124	16
6118	11
12010	20
11830	17
10497	14
31029	11
10340	12
1108	15
236	12
13875283	15
13840690	15
6737	18
6789	18
15620	27
2927	26
3973	12
12442	8
6095	7
10675065	14
11961	14
21111772	14
12228	15
1406720	39
6364	26
7180	26
7182	26
10669	26
55090	17
61487	17
6100	8
10410	24
13492	33
15747	36
13487	30
7385	21
10404	27
7419	24
7219	18
7739	9
9903	19
8868	15
16159	12
13300034	24
2018460	11
61149	14
11954	14
13029	13
13875432	13
7151	15
63054	13
7098	16
9095782	14
6635	10
8356	24
7128	21
15461	27
7521	18
7641	18
7672	18
6967	18
21168808	12
7220	16
8876	18
2928	28
13030	13
13875441	13
10975	17
10870	17
218253	22
15488	22
6122	11
11727	7
6316	11
12674	28
8097	22
21106032	14
551	21
15621	27
6106	5
38403	12
7551	8
21111822	16
7681	13
8140	13
9360	13
61191	16
66675	26
20939	26
6999	24
7088	24
8531	24
7448	24
11660	21
8335	24
11409	21
7248	19
11661	19
221082	19
67653	26
10831	24
26260	27
2283071	30
21112738	7
66567	15
65	13
11769	13
15489	22
6828	22
7183	24
7659	21
10253	24
6977	21
10236	21
7129	19
10829	24
68437	27
906	18
8067	12
14198	26
10979	26
7181	26
13836713	10
6103	9
7170	30
10534	15
21171407	9
71437	26
13063	24
13851576	15
7302	23
2915	21
62826	11
11369	13
10857	13
13875219	13
13842573	13
10432	13
541032	14
17619	21
4611	24
9990	10
28993	26
7815	21
7560	12
7721	15
12259	27
11667	16
10851	24
10813	24
8807	20
16641	3
11731	10
8950	19
13677	24
6736	21
10849	24
15619	27
4932499	30
6057	28
13860817	14
11778	14
12640	11
6480	18
776	16
13047	13
18707	13
21106018	16
6402	26
68179	22
10850	24
9350	13
10664	15
8577	33
14349	30
7852	27
14680	24
7776	18
7420	21
66565	11
6592	23
21106020	14
13853953	14
10364	14
13860720	14
6633	13
69371	27
6478	22
6788	21
73412	14
10909	24
10918	24
21168831	18
10841	24
15861	27
21106146	17
21106013	14
21106036	14
9187483	32
7736	10
21106169	9
12821	14
10400	25
1095	13
70682	26
11862	20
12044	25
12045	25
12047	25
12699	27
10864	14
7568	6
9326	13
10980	15
955	15
10772050	8
6079	15
9461	13
7817	19
7732	13
1039	9
11871	22
7786	16
9581	16
7710	11
7809	17
7765	14
13872122	21
2923	13
9574	15
10972	15
11294	19
6588	20
6642	30
13875196	16
10908	24
12682	27
21106144	17
13863774	17
7138	14
66655	28
24326358	19
7238	16
12069	22
191367	19
11799	16
21106014	14
12478	14
7315	26
23150	27
11729	12
14866	28
21105959	19
13865438	19
21106135	19
7383	18
62534	17
62408	17
7389	14
13869451	14
6974	13
7961	9
13835772	16
971	13
11588	15
8800	26
66656	24
21106019	14
7615	13
13647	20
7013	11
6135	7
13854248	14
13869339	14
13837686	13
13839082	16
553649	26
10536	27
7239	16
7391	19
21111817	14
6102	6
4444102	31
69982	24
9233	15
387	13
7299	25
7224	13
5739	30
8804	32
6338	10
13863618	15
278	5
29153	26
5979	8
7827	21
18607	15
18219	11
11783	11
10586285	21
21105871	16
6739	19
434	15
10205670	8
