Compound Id	LargestChain
6191	8
6153	5
16425	7
6190	8
11919	9
67991	9
291	0
6084	1
6094	3
7555	4
6120	4
7712	5
6308	5
9646	5
10781	8
15802	9
17976	9
7767	6
7604	6
7010	6
6163	6
6340	6
8560	7
11094	7
11023	7
11055	7
10786	7
7619	7
10755	7
11551	7
349	8
11035	8
11104	8
10795	8
10445	8
7849	9
17558	9
13439	9
13402	9
14840	10
13448	10
13619	11
7890	12
11882	13
11883	14
10540	16
7929	20
11897	21
11899	22
12017	23
12072	24
11900	25
11901	26
11146	27
11902	28
10542	32
11906	36
8878	0
11585	4
13837650	4
13853215	8
9392	8
7674	0
6156	5
18410	5
7024	0
15438	3
8896	0
14751	2
221117	0
7787	0
8908	0
8909	0
8910	0
6188	8
10265264	0
10179173	0
21800	0
10325078	8
6111	0
10265270	0
15765	0
10179239	0
69569	13
5730	5
13837281	6
9724	0
7662	0
13862559	0
7518	0
21106571	0
13864445	0
21106163	0
21106540	0
6339	6
38364	0
27488	0
11776	0
25677	0
158870	0
157093	0
83374	0
457144	0
135925	0
457145	0
84188	0
136000	0
135983	0
136001	0
136002	0
136003	0
84235	0
82755	0
82712	0
157094	0
103011	0
102798	0
82762	0
11974	0
56793	0
454495	0
40191	0
56791	0
35581	0
56774	0
82765	0
27793	0
82754	0
457138	0
102897	0
457139	0
102947	0
97173	0
102720	0
102801	0
102833	0
102721	0
102856	0
102933	0
103066	0
97172	0
106355	0
102741	0
97055	0
97198	0
34874	0
36972	0
56788	0
533188	0
35579	0
16182	0
46262	0
35580	0
82818	0
56790	0
56795	0
33458	0
82777	0
35584	0
56785	0
56792	0
34189	0
34859	0
84346	0
56760	0
56755	0
33666	0
36973	0
37744	0
46894	0
45444	0
56769	0
56780	0
34847	0
39406	0
35081	0
56781	0
56771	0
102834	0
102722	0
154865	0
96948	0
102743	0
102857	0
154866	0
106356	0
102787	0
97240	0
102742	0
97257	0
97224	0
102923	0
96868	0
96864	0
97234	0
97233	0
154062	0
97142	0
56782	0
36977	0
83414	0
84348	0
82823	0
36975	0
56778	0
43354	0
37779	0
45445	0
36974	0
35585	0
34848	0
84344	0
34850	0
82819	0
56772	0
82820	0
16415	0
56779	0
56768	0
56777	0
84345	0
34668	0
96965	0
33198	0
82783	0
34852	0
37000	0
37019	0
56765	0
39198	0
82740	0
56761	0
56756	0
56766	0
83413	0
34851	0
36976	0
56767	0
56763	0
56787	0
35583	0
82807	0
56794	0
33386	0
33457	0
47912	0
82817	0
46893	0
33280	0
35582	0
33304	0
46263	0
15827	0
33407	0
36985	0
35205	0
15637	0
82821	0
34853	0
37745	0
36978	0
34190	0
34191	0
36771	0
36710	0
56757	0
549017	0
84347	0
56764	0
56758	0
47914	0
56762	0
33984	0
33983	0
34860	0
82738	0
36982	0
36979	0
47915	0
56783	0
36981	0
37004	0
36980	0
82751	0
36989	0
33282	0
46285	0
46284	0
82806	0
56776	0
47913	0
32952	0
45446	0
43353	0
56773	0
33281	0
56786	0
56789	0
33456	0
46264	0
36990	0
35912	0
45448	0
36987	0
36988	0
33986	0
36983	0
36986	0
45447	0
35566	0
47916	0
46137	0
550258	0
33985	0
15484	0
34854	0
46136	0
82736	0
56759	0
36984	0
56775	0
56770	0
35206	0
34192	0
82822	0
35108	0
33316	0
21106570	0
23208	3
4514529	0
6132	4
9016	7
4514586	0
4514549	0
11083	0
6988	0
11366	0
1253	5
3102535	0
6186	8
13836549	0
13868660	0
457140	0
107412	8
12197	4
61346	9
6187	8
13866746	0
13857694	0
13866817	0
9253	7
83734	7
5977	4
29040	7
6108	2
10054	5
16841	7
13837280	5
9254	7
21106179	4
692	1
12201	6
6151	5
62827	8
8883	0
13837988	0
13875356	0
13875212	0
11038	0
2282428	7
9251	7
71312	7
11153	3
454215	7
15077490	7
2018165	5
6119	4
2293678	7
109705	4
10765	5
56442	4
4449912	4
22814	0
99596	7
13835316	4
6098	3
14694	6
13836674	4
13875160	0
23055	6
14829	5
6105	3
553742	4
6104	3
558928	4
6086	1
2056044	12
3441	7
6130	4
12577	6
34863	0
34866	0
34665	0
34664	0
37904	0
34864	0
34188	0
34865	0
34868	0
37905	0
34869	0
37918	0
37915	0
34867	0
25605	0
26011	0
34870	0
34666	0
21924	0
34667	0
34871	0
34873	0
56784	0
34872	0
8351654	3
22408	0
73583	8
2340753	6
10325184	6
21111806	0
21108550	0
9325	0
9228	0
4444456	5
11708	0
6093	3
6148	5
13838404	4
6179	7
748	1
9256	7
10614293	8
11109	6
24142	15
13622	14
16180	13
7891	12
29025	9
12635	11
11121	7
7713	5
12809	10
7833	8
7556	4
7954	3
555074	7
4516601	8
4483639	5
4516599	8
4512361	8
4483638	5
4512642	8
6085	1
8544	0
7788	0
6149	5
10053	5
11117	0
6827	0
7676	0
13875281	0
13875230	0
6128	4
391	0
71390	4
2916	3
558875	4
12446	6
7957	4
10113	5
6087	1
18971812	8
13299573	9
3631	10
15755	0
67470	0
15756	0
15524	0
14441700	6
2062437	7
11911	6
11154	3
30713	6
21106172	0
127983	1
11148	1
10512	6
10526	7
24590970	7
11865	8
6042	5
13875320	0
7673	0
13875258	0
13875392	0
21108548	0
14995	0
14994	0
15475	0
15478	0
518	0
967	0
12499	0
71433	6
9484	5
11099	5
11110	6
11086	0
14692	10
24263	0
11857	0
391428	0
6309	5
7557	4
558883	5
56020	5
553642	0
16791	8
454209	6
9633	9
9377	7
9243	3
923	3
7850	9
7714	5
10437	4
6097	3
6083	1
10487	0
9614	0
13861343	7
11756	6
15476	0
274	2
56144	10
11864	8
11845	7
6125	4
12456	10
17880	9
7558	4
29036	4
1087	3
7001	0
10606755	10
55075	0
13868640	0
11351244	0
7090	3
7553	4
61213	6
23886	0
33421	0
15477	0
26010	0
30600	0
33455	0
33934	0
33932	0
15473	0
17099	0
17098	0
33933	0
15474	0
63863	9
454638	0
6121	4
6315	5
7330	0
6307	5
12219	10
7848	9
11863	8
7810	7
7766	6
7711	5
7552	4
6092	3
6088	1
26516	3
11087	0
8543	5
12209	6
9286	6
11806	5
6342	6
120464	7
7733	5
7738	0
21111820	0
8329688	6
6735	0
92731	9
6326	5
19766	0
6665	3
512621	9
9642	2
10124	6
6118	4
12010	7
11830	6
10497	5
31029	4
10340	0
1108	0
236	0
13875283	0
13840690	1
6737	0
6789	0
15620	0
2927	4
3973	8
12442	4
6095	3
10675065	9
11961	0
21111772	0
12228	0
1406720	0
6364	0
7180	2
7182	2
10669	2
55090	6
61487	6
6100	3
10410	4
13492	7
15747	8
13487	6
7385	3
10404	5
7419	4
7219	2
7739	0
9903	0
8868	0
16159	7
13300034	0
2018460	8
61149	12
11954	0
13029	0
13875432	0
7151	2
63054	0
7098	4
9095782	8
6635	10
8356	4
7128	3
15461	5
7521	0
7641	0
7672	0
6967	0
21168808	0
7220	2
8876	0
2928	5
13030	0
13875441	0
10975	3
10870	3
218253	0
15488	0
6122	4
11727	4
6316	5
12674	0
8097	0
21106032	6
551	0
15621	0
6106	3
38403	10
7551	4
21111822	0
7681	0
8140	0
9360	0
61191	4
66675	8
20939	2
6999	0
7088	3
8531	1
7448	1
11660	1
8335	1
11409	1
7248	2
11661	2
221082	3
67653	10
10831	0
26260	0
2283071	0
21112738	4
66567	11
65	0
11769	0
15489	0
6828	0
7183	2
7659	0
10253	2
6977	0
10236	0
7129	3
10829	0
68437	0
906	0
8067	0
14198	0
10979	2
7181	2
13836713	4
6103	3
7170	2
10534	0
21171407	4
71437	0
13063	2
13851576	1
7302	0
2915	0
62826	8
11369	0
10857	0
13875219	0
13842573	0
10432	0
541032	0
17619	7
4611	6
9990	4
28993	10
7815	7
7560	4
7721	5
12259	0
11667	1
10851	0
10813	0
8807	0
16641	3
11731	4
8950	3
13677	2
6736	0
10849	0
15619	0
4932499	0
6057	4
13860817	0
11778	0
12640	0
6480	0
776	0
13047	0
18707	0
21106018	0
6402	0
68179	9
10850	0
9350	0
10664	3
8577	11
14349	10
7852	9
14680	8
7776	6
7420	4
66565	0
6592	0
21106020	3
13853953	3
10364	2
13860720	0
6633	0
69371	9
6478	0
6788	0
73412	6
10909	0
10918	0
21168831	3
10841	0
15861	0
21106146	3
21106013	3
21106036	3
9187483	0
7736	0
21106169	6
12821	2
10400	2
1095	0
70682	10
11862	8
12044	0
12045	0
12047	0
12699	0
10864	3
7568	4
9326	0
10980	3
955	2
10772050	7
6079	3
9461	8
7817	7
7732	5
1039	2
11871	8
7786	6
9581	1
7710	5
7809	7
7765	6
13872122	4
2923	2
9574	3
10972	3
11294	0
6588	3
6642	0
13875196	1
10908	0
12682	0
21106144	2
13863774	3
7138	2
66655	10
24326358	4
7238	2
12069	9
191367	8
11799	7
21106014	2
12478	2
7315	4
23150	9
11729	4
14866	3
21105959	1
13865438	1
21106135	1
7383	3
62534	3
62408	3
7389	3
13869451	0
6974	0
7961	6
13835772	0
971	0
11588	3
8800	0
66656	8
21106019	2
7615	6
13647	3
7013	6
6135	4
13854248	0
13869339	0
13837686	0
13839082	0
553649	2
10536	9
7239	1
7391	3
21111817	2
6102	3
4444102	0
69982	12
9233	5
387	6
7299	0
7224	1
5739	0
8804	0
6338	5
13863618	2
278	2
29153	0
5979	8
7827	7
18607	5
18219	5
11783	0
10586285	6
21105871	0
6739	0
434	3
10205670	5
