Compound Id	ALOGP [AMR]
26325084	151.786
26325083	138.275
18019	75.830
8521	76.828
26325082	124.765
10449	81.063
61149	20.426
2056044	21.41
26325081	111.254
26824	62.198
8520	63.317
10451	67.553
2041618	56.873
6191	12.869
26325080	97.744
76894	51.426
16425	9.008
6153	8.309
10784857	45.389
38403	18.117
14021447	84.233
9256	11.980
23101	49.807
10675065	18.272
10652594	37.824
10696	54.042
62827	15.798
11434292	41.272
21106179	6.860
122090	53.343
11557190	70.723
9095782	21.133
12577	12.019
9286	11.090
61346	20.616
6190	17.704
6270	46.438
9484	11.713
6105	6.601
16841	16.898
4927801	90.123
109705	19.304
9088156	58.631
56144	26.401
23150	36.296
108106	72.098
78828	57.212
6128	10.823
10452	40.532
10606755	18.028
3631	23.036
69569	51.117
15413	40.154
66656	30.517
9411	22.717
454209	19.377
10733068	85.235
17619	24.737
13837650	20.656
13853215	22.539
9392	22.539
66567	23.469
18971812	26.052
66655	39.999
68328	43.702
13299573	23.424
56117	35.111
12161	29.263
107412	20.541
67414	54.074
13803	27.273
14441700	20.080
10756390	68.188
68224	68.188
61213	20.895
9254	21.733
9016	21.816
73583	26.838
14998	28.948
2018165	15.873
6148	16.548
69914	51.141
11671339	51.141
29040	19.715
67991	37.606
454215	19.623
62826	23.524
7626	32.010
59573	26.523
6156	22.196
10106	51.576
10801109	46.910
512621	37.492
12933	49.599
11996	31.110
13835836	31.675
9633	28.953
15789876	73.972
18688	35.409
12586	55.533
71433	26.130
68503	31.430
937	0.0
692	6.307
23208	1.443
291	0.0
274	6.384
6084	10.557
6132	11.695
7956	13.013
6094	14.709
11749	26.296
7555	17.621
6120	20.0
7712	20.532
6308	23.078
9646	24.629
10781	36.472
15802	37.971
17976	42.712
7767	23.444
7604	27.530
7010	26.156
6163	29.477
6340	28.536
7671	39.732
9377	23.130
8560	26.355
11094	30.441
11023	30.608
11055	32.803
10786	31.613
7619	33.401
10755	34.326
11551	29.234
349	29.267
11035	33.519
11104	37.439
10795	37.071
10445	38.149
8569	34.487
11841	39.579
7073	40.358
123860	39.708
7849	32.179
17558	36.265
13439	42.855
13402	44.023
6287	40.980
10227261	59.528
14840	35.090
13448	47.984
12220	40.311
13619	38.002
7890	40.913
11882	43.825
11883	46.737
10540	52.560
7929	64.206
11897	67.118
11899	70.029
12017	72.941
12072	75.853
11900	78.764
11901	81.676
11146	84.587
11902	87.499
10542	99.145
11906	110.792
7823	28.664
13835376	32.644
55130	34.847
6188	27.374
127750	31.882
14299946	50.040
30713	20.927
14694	21.597
99596	26.182
11849	28.044
7757	47.111
21106169	13.711
20545	65.427
10441	17.306
14672	26.816
7511	41.288
10446	31.217
7657	35.099
22453	34.447
6151	17.579
7509	38.377
7872	39.797
10433	35.720
55084	38.997
7875	45.620
2062437	24.330
7065	31.369
11992	31.935
7913	51.443
10325078	25.347
92731	28.411
14256731	55.131
3168	21.6
11153	11.520
29005	35.465
7472	29.823
11207996	26.836
7694	36.085
11833	23.750
16388	53.217
455420	32.485
62249	31.115
10420	32.553
9243	10.863
55188	29.894
7482	33.174
11716	36.085
29016	33.608
7670	42.98
7340	52.2
7747	30.696
7624	33.691
7627	26.911
8568	33.973
14846	39.906
11045	33.174
11228	22.511
10709	20.838
109838	28.350
7478	27.624
10765	24.415
13849665	71.776
7800	36.994
11148	6.569
11843	31.062
923	1.945
7475	29.642
12201	29.280
7515	30.262
29012	28.150
10797	35.519
11109	26.321
7538	34.083
7536	31.171
12972	43.711
61266	8.725
24142	52.525
14829	21.383
23055	24.914
13622	49.614
7463	26.730
10571	27.075
16180	46.702
13836549	5.235
7891	43.791
12446	28.105
55123	29.901
10614293	38.149
29025	35.056
11755	22.839
12635	40.879
7706	25.239
7761	29.536
11121	29.232
7713	23.409
12809	37.967
11230	24.282
7833	32.144
10492	26.624
13837190	18.866
13839109	32.750
7556	18.957
12012	26.990
8158	32.870
66675	34.677
7871	41.6
3441	24.633
7954	15.880
9976	37.888
21153	44.511
14688	53.065
9391	18.296
8525	21.707
7514	32.065
11680	25.348
6176	29.897
6085	9.976
63631	29.487
13865630	41.663
7856	36.168
11706	28.260
7802	32.865
12218	38.688
56232	41.419
3973	27.975
6130	16.529
7534	37.689
10788	28.935
7621	29.587
10101	28.099
28986	32.065
13839575	35.1
12632	35.776
13836589	24.056
83734	26.568
9253	26.651
215929	34.977
10791	30.880
555074	32.225
7957	19.931
11125	24.078
7760	29.953
4516601	35.136
8562	30.345
2863	38.048
56442	21.784
4483639	24.861
11919	38.972
10653	22.436
8329688	23.878
7782	21.167
4516599	36.843
16387	48.556
