Compound Id	AutocorrelationCharge [ATSc3]
26325084	0.541
26325083	0.469
18019	0.652
8521	0.162
26325082	0.397
10449	0.432
61149	-0.442
2056044	-0.202
26325081	0.325
26824	0.245
8520	0.090
10451	0.360
2041618	0.354
6191	-0.318
26325080	0.253
76894	0.185
16425	0.078
6153	0.118
10784857	0.791
38403	0.023
14021447	0.181
9256	-0.260
23101	0.019
10675065	-0.052
10652594	0.650
10696	0.288
62827	-0.295
11434292	0.058
21106179	0.079
122090	0.041
11557190	0.109
9095782	-0.187
12577	-0.162
9286	-0.221
61346	0.112
6190	-0.283
6270	0.759
9484	0.029
6105	0.037
16841	-0.217
4927801	0.403
109705	0.184
9088156	0.030
56144	-0.320
23150	-0.056
108106	0.322
78828	0.038
6128	0.008
10452	0.216
10606755	-0.333
3631	0.044
69569	0.109
15413	0.322
66656	-0.045
9411	-0.243
454209	-0.009
10733068	0.481
17619	-0.033
13837650	-0.050
13853215	-0.254
9392	-0.249
66567	-0.092
18971812	-0.160
66655	-0.047
68328	-0.037
13299573	0.104
56117	0.070
12161	0.850
107412	-0.262
67414	0.242
13803	0.383
14441700	0.028
10756390	0.385
68224	0.382
61213	-0.099
9254	-0.199
9016	-0.169
73583	-0.139
14998	-0.030
2018165	-0.095
6148	0.021
69914	0.286
11671339	0.288
29040	-0.201
67991	0.036
454215	-0.228
62826	-0.250
7626	-0.031
59573	0.105
6156	0.0
10106	0.583
10801109	0.041
512621	-0.014
12933	0.344
11996	-0.029
13835836	0.110
9633	-0.008
15789876	-0.103
18688	0.074
12586	-0.043
71433	0.0
68503	0.426
937	0.0
692	0.0
23208	0.0
291	0.0
274	0.054
6084	0.0
6132	0.060
7956	0.030
6094	0.0
11749	0.015
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.0
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
7671	0.035
9377	-0.008
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.0
11035	0.0
11104	0.0
10795	0.0
10445	0.0
8569	-0.002
11841	0.001
7073	0.069
123860	-0.094
7849	0.0
17558	0.0
13439	0.0
13402	0.0
6287	0.580
10227261	-0.086
14840	0.0
13448	0.0
12220	-0.002
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
7823	-0.002
13835376	-0.097
55130	0.043
6188	-0.225
127750	-0.078
14299946	0.435
30713	-0.162
14694	-0.093
99596	-0.073
11849	-0.003
7757	0.059
21106169	-0.150
20545	0.002
10441	0.013
14672	-0.013
7511	0.059
10446	0.022
7657	0.059
22453	0.067
6151	0.076
7509	0.059
7872	0.051
10433	0.061
55084	0.060
7875	0.051
2062437	-0.051
7065	0.067
11992	0.043
7913	0.051
10325078	-0.235
92731	-0.285
14256731	-0.064
3168	-0.004
11153	0.024
29005	0.059
7472	0.035
11207996	0.008
7694	0.060
11833	0.014
16388	0.512
455420	0.014
62249	0.093
10420	0.059
9243	-0.010
55188	-0.012
7482	0.060
11716	0.060
29016	0.051
7670	-0.032
7340	0.002
7747	0.052
7624	-0.011
7627	0.034
8568	0.051
14846	0.078
11045	0.060
11228	-0.002
10709	0.014
109838	-0.079
7478	0.311
10765	0.0
13849665	0.047
7800	0.078
11148	0.0
11843	0.051
923	0.0
7475	0.059
12201	0.0
7515	0.060
29012	0.051
10797	-0.026
11109	0.0
7538	0.078
7536	0.078
12972	-0.032
61266	-0.398
24142	0.0
14829	0.017
23055	0.022
13622	0.0
7463	0.059
10571	0.086
16180	0.0
13836549	-0.322
7891	0.0
12446	0.0
55123	0.120
10614293	0.0
29025	0.0
11755	0.102
12635	0.0
7706	0.051
7761	0.120
11121	0.0
7713	0.0
12809	0.0
11230	0.016
7833	0.0
10492	0.121
13837190	0.209
13839109	-0.036
7556	0.0
12012	0.120
8158	0.001
66675	0.0
7871	-0.035
3441	-0.151
7954	0.0
9976	-0.032
21153	-0.035
14688	-0.040
9391	-0.121
8525	0.049
7514	-0.032
11680	0.078
6176	-0.030
6085	0.0
63631	0.009
13865630	0.157
7856	0.0
11706	0.078
7802	-0.035
12218	-0.035
56232	-0.040
3973	-0.081
6130	0.046
7534	-0.032
10788	-0.032
7621	-0.035
10101	0.648
28986	-0.032
13839575	-0.151
12632	-0.035
13836589	-0.061
83734	-0.179
9253	-0.156
215929	-0.032
10791	-0.029
555074	-0.002
7957	0.0
11125	0.120
7760	-0.035
4516601	-0.002
8562	0.0
2863	0.002
56442	-0.002
4483639	-0.002
11919	0.0
10653	0.078
8329688	-0.082
7782	0.120
4516599	-0.002
16387	0.333
10777	-0.032
4512361	-0.002
11095	-0.035
11025	-0.032
26325086	0.341
21106173	0.327
13835706	0.020
441	-0.019
2282428	-0.185
9251	-0.193
13850879	0.153
217	0.0
1114	0.024
7838	-0.019
15486	-0.013
56559	-0.007
11898	-0.007
4483638	-0.002
6335	0.069
4449912	-0.002
11526	0.355
6311	-0.022
10054	-0.010
7081	-0.015
7607	-0.035
7074	0.101
12456	-0.002
72522	-0.007
6313	-0.015
7817	-0.002
4512642	-0.002
7928	-0.007
7734	0.119
5949	-0.019
62632	-0.028
14348	-0.007
7803	0.002
7076	0.1
78998	-0.028
17880	-0.002
370	0.002
29029	-0.019
11884	-0.028
2581	-0.007
16177	-0.028
7730	-0.001
13866746	-0.230
7016	-0.032
15853	-0.028
11864	-0.002
9053802	-0.007
21106586	0.028
67360	-0.028
63863	0.061
11891	-0.007
7732	-0.004
18920	-0.014
10113	-0.003
11866	-0.028
15846	-0.028
11845	-0.002
15954	-0.013
11819	-0.014
7566	-0.028
29026	-0.028
7772	-0.019
11739	-0.019
7917	-0.007
6321	-0.035
12209	-0.002
11846	-0.028
7622	-0.014
11861	-0.014
15016	-0.003
11056	-0.019
7915	-0.007
23255	-0.005
10787	-0.013
123993	-0.012
55090	-0.010
11806	-0.002
7630	0.096
8552	0.002
68179	0.097
7901	-0.007
6121	-0.008
7770	-0.028
7558	-0.002
11036	-0.013
10001	0.002
7064	0.009
175	-0.038
6146	-0.019
6649	0.009
11029	-0.013
6123	-0.005
7892	-0.007
8576	-0.003
6095	-0.001
9461	-0.158
14692	0.0
11099	0.0
11193	0.015
256	-0.019
11794	-0.014
7851	-0.003
15387	-0.003
8012	0.009
7717	-0.028
11732	-0.007
10511	-0.014
654	0.012
6315	-0.007
6086	0.0
99440	-0.014
11194	-0.017
455353	-0.1
11110	-0.002
13848341	0.196
10265264	0.0
7850	-0.004
7882	-0.007
7577	0.140
29000	-0.007
8574	-0.007
11239	-0.013
6165	-0.019
11865	-0.004
21011	-0.014
4366810	0.219
512	-0.019
11793	-0.007
7811	-0.003
7835	-0.003
11216	-0.018
13862665	0.064
932	-0.007
22814	0.0
6341	0.009
11678	-0.013
11543	-0.012
62230	-0.017
7533	-0.006
13836399	-0.1
10526	-0.004
10422	0.219
12069	-0.032
59483	0.082
13255	-0.024
10179173	0.0
7701	0.002
6149	0.062
10790	-0.012
71430	0.287
120464	-0.009
172	-0.024
11180	-0.018
13865426	0.007
7434	-0.006
259	0.002
7714	-0.004
10512	-0.004
7812	-0.007
7769	-0.003
7459	-0.006
11024	-0.007
7837	-0.007
3644	-0.015
16778	-0.1
7705	-0.116
191367	-0.032
748	0.0
5091	0.002
10437	-0.004
387	-0.023
6312	-0.006
6320	-0.014
10947	-0.013
6040	-0.007
8398	-0.006
960	0.002
6164	-0.005
18410	0.0
7546	-0.005
11756	0.073
7616	0.041
258	-0.007
7716	-0.003
7564	-0.003
7024	0.0
7090	0.045
15438	0.0
11699	0.219
16791	-0.016
6097	-0.004
11799	-0.032
6187	-0.2
21800	0.0
18717	-0.011
13837797	0.024
16641	-0.004
10205670	-0.155
12442	-0.062
6186	-0.191
60329	-0.060
7790	0.533
1005	0.002
11210	-0.017
6101	-0.003
1004	-0.007
2340753	-0.071
10325184	-0.092
24590970	-0.053
11695	0.218
6102	-0.035
13836591	-0.101
7028	-0.009
7615	-0.032
13884973	-0.024
7674	0.0
6406	0.119
682	-0.009
13874867	0.026
10710415	0.199
6089	0.0
6087	0.0
6098	-0.003
7733	-0.002
9990	-0.016
11727	0.111
7600	-0.038
8896	0.0
7466	0.227
14751	0.0
1609	0.015
171	-0.006
7727	-0.042
71628	-0.053
22408	0.0
7728	-0.083
6338	-0.033
13811	0.240
13871489	-0.158
864	0.0
