Compound Id	AutocorrelationPolarizability [ATSp4]
26325084	2300.054
26325083	2068.089
18019	950.973
8521	882.625
26325082	1836.123
10449	1351.508
61149	265.505
2056044	214.301
26325081	1604.155
26824	672.378
8520	651.228
10451	1096.353
2041618	N/A
6191	52.273
26325080	1372.178
76894	N/A
16425	0.0
6153	0.0
10784857	N/A
38403	111.476
14021447	1140.153
9256	35.842
23101	421.406
10675065	122.984
10652594	N/A
10696	822.785
62827	87.267
11434292	N/A
21106179	0.0
122090	574.281
11557190	907.888
9095782	132.684
12577	18.424
9286	24.567
61346	113.854
6190	99.258
6270	506.839
9484	0.0
6105	0.0
16841	70.505
4927801	3076.225
109705	934.965
9088156	721.638
56144	327.853
23150	197.475
108106	2327.389
78828	674.481
6128	0.0
10452	453.025
10606755	165.846
3631	183.424
69569	479.857
15413	361.324
66656	N/A
9411	142.994
454209	55.563
10733068	2123.109
17619	N/A
13837650	26.064
13853215	165.360
9392	158.813
66567	281.249
18971812	203.812
66655	311.052
68328	435.760
13299573	142.561
56117	228.494
12161	218.019
107412	139.954
67414	1412.742
13803	166.037
14441700	61.633
10756390	1603.966
68224	1552.508
61213	59.497
9254	116.412
9016	114.595
73583	211.481
14998	108.126
2018165	27.541
6148	0.0
69914	909.431
11671339	927.734
29040	94.267
67991	239.332
454215	89.269
62826	173.905
7626	147.033
59573	112.385
6156	0.0
10106	440.792
10801109	862.807
512621	N/A
12933	657.162
11996	141.605
13835836	189.923
9633	233.0
15789876	931.103
18688	311.726
12586	690.859
71433	75.455
68503	273.341
937	0.0
692	0.0
23208	0.0
291	0.0
274	0.0
6084	0.0
6132	0.0
7956	0.0
6094	0.0
11749	86.386
7555	23.161
6120	0.0
7712	60.335
6308	55.796
9646	0.0
10781	356.430
15802	331.904
17976	318.310
7767	106.417
7604	109.057
7010	131.625
6163	99.089
6340	132.515
7671	338.469
9377	126.386
8560	157.830
11094	164.986
11023	195.955
11055	170.513
10786	231.046
7619	175.942
10755	225.024
11551	228.970
349	212.329
11035	258.255
11104	234.342
10795	355.837
10445	257.637
8569	225.822
11841	243.199
7073	329.361
123860	242.937
7849	268.576
17558	279.977
13439	361.646
13402	564.547
6287	282.219
10227261	670.418
14840	325.799
13448	414.942
12220	331.826
13619	383.561
7890	441.616
11882	499.832
11883	558.133
10540	674.853
7929	908.425
11897	966.824
11899	1025.224
12017	1083.624
12072	1142.024
11900	1200.424
11901	1258.824
11146	1317.224
11902	1375.624
10542	1609.225
11906	1842.825
7823	128.885
13835376	152.247
55130	245.474
6188	244.034
127750	152.641
14299946	746.223
30713	81.912
14694	65.755
99596	161.806
11849	130.671
7757	523.381
21106169	25.357
20545	872.196
10441	17.790
14672	79.263
7511	407.306
10446	174.612
7657	246.207
22453	304.861
6151	0.0
7509	349.709
7872	375.464
10433	235.808
55084	341.885
7875	491.061
2062437	131.982
7065	209.602
11992	187.262
7913	607.499
10325078	198.035
92731	315.634
14256731	589.423
3168	48.354
11153	0.0
29005	292.670
7472	194.653
11207996	196.927
7694	284.198
11833	86.608
16388	684.075
455420	240.130
62249	242.150
10420	236.512
9243	0.0
55188	188.981
7482	232.239
11716	280.089
29016	215.848
7670	371.053
7340	686.235
7747	163.006
7624	169.732
7627	115.813
8568	262.499
14846	406.684
11045	226.940
11228	43.816
10709	47.114
109838	109.440
7478	148.715
10765	57.009
13849665	1007.059
7800	349.050
11148	0.0
11843	208.339
923	0.0
7475	181.669
12201	110.617
7515	176.809
29012	157.103
10797	292.910
11109	108.513
7538	292.009
7536	235.980
12972	460.072
61266	1754.633
24142	620.513
14829	0.0
23055	90.342
13622	562.155
7463	129.462
10571	152.357
16180	503.836
13836549	464.526
7891	445.589
12446	112.077
55123	206.780
10614293	257.637
29025	272.214
11755	63.470
12635	387.476
7706	110.370
7761	159.191
11121	160.683
7713	61.362
12809	329.613
11230	53.256
7833	215.669
10492	107.714
13837190	35.895
13839109	177.748
7556	23.722
12012	154.416
8158	220.273
66675	234.354
7871	418.455
3441	143.687
7954	0.0
9976	339.317
21153	476.616
14688	676.410
9391	74.648
8525	68.936
7514	214.784
11680	130.010
6176	185.109
6085	0.0
63631	126.922
13865630	372.136
7856	258.060
11706	181.637
7802	245.974
12218	360.497
56232	442.494
3973	231.107
6130	0.0
7534	324.144
10788	189.358
7621	141.708
10101	120.720
28986	218.175
13839575	176.220
12632	302.905
13836589	69.533
83734	170.7
9253	174.645
215929	271.990
10791	186.721
555074	162.150
7957	0.0
11125	106.345
7760	190.214
4516601	217.439
8562	150.497
2863	392.507
56442	24.814
4483639	62.898
11919	445.049
10653	83.363
8329688	78.832
7782	65.059
4516599	217.243
16387	557.772
10777	103.847
4512361	217.439
11095	136.507
11025	158.451
26325086	331.914
21106173	331.052
13835706	548.336
441	238.899
2282428	148.168
9251	146.067
13850879	1143.510
217	0.0
1114	0.0
7838	183.806
15486	411.180
56559	840.905
11898	944.346
4483638	62.898
6335	32.798
4449912	24.814
11526	64.999
6311	36.947
10054	0.0
7081	184.588
7607	86.334
7074	338.005
12456	310.101
72522	885.947
6313	36.145
7817	133.345
4512642	217.243
7928	827.550
7734	32.650
5949	131.305
62632	700.483
14348	769.156
7803	221.771
7076	325.410
78998	642.109
17880	253.227
370	277.777
29029	295.468
11884	525.446
2581	710.768
16177	467.214
7730	57.744
13866746	395.3
7016	104.505
15853	409.126
11864	197.596
9053802	607.318
21106586	367.445
67360	351.303
63863	142.652
11891	652.390
7732	49.278
18920	254.717
10113	59.614
11866	182.548
15846	293.960
11845	144.163
15954	271.405
11819	208.475
7566	14.797
29026	237.484
7772	83.262
11739	211.172
7917	594.031
6321	42.935
12209	94.546
11846	130.304
7622	151.598
11861	311.893
15016	844.478
11056	149.161
7915	535.709
23255	53.119
10787	199.865
123993	424.646
55090	106.855
11806	51.373
7630	89.987
8552	167.610
68179	213.340
7901	477.455
6121	0.0
7770	82.658
7558	19.117
11036	225.742
10001	118.576
7064	225.003
175	0.0
6146	0.0
6649	258.094
11029	231.034
6123	0.0
7892	419.327
8576	378.086
6095	0.0
9461	92.413
14692	333.451
11099	62.398
11193	279.082
256	42.643
11794	144.025
7851	263.274
15387	320.387
8012	160.001
7717	42.596
11732	143.178
10511	198.517
654	0.0
6315	60.173
6086	0.0
99440	224.479
11194	341.413
455353	209.291
11110	110.627
13848341	258.270
10265264	353.397
7850	281.212
7882	361.430
7577	10.474
29000	89.763
8574	303.955
11239	110.557
6165	85.222
11865	224.245
21011	92.476
4366810	348.325
512	14.450
11793	144.045
7811	153.058
7835	207.221
11216	272.833
13862665	113.071
932	247.242
22814	0.0
6341	83.453
11678	167.992
11543	266.066
62230	424.462
7533	354.843
13836399	158.408
10526	168.529
10422	291.195
12069	201.735
59483	651.653
13255	148.761
10179173	353.397
7701	116.589
6149	0.0
10790	196.997
71430	261.118
120464	241.471
172	0.0
11180	201.956
13865426	210.774
7434	334.723
259	70.750
7714	66.002
10512	115.135
7812	138.920
7769	102.211
7459	168.747
11024	171.374
7837	191.887
3644	0.0
16778	112.311
7705	117.782
191367	149.189
748	0.0
5091	858.840
10437	24.590
387	67.820
6312	41.464
6320	45.927
10947	110.775
6040	90.057
8398	109.059
960	742.054
6164	75.192
18410	374.111
7546	45.460
11756	44.838
7616	70.212
258	48.031
7716	57.046
7564	21.261
7024	73.628
7090	347.405
15438	242.849
11699	226.352
16791	195.160
6097	0.0
11799	100.809
6187	341.825
21800	391.432
18717	306.963
13837797	134.195
16641	0.0
10205670	18.079
12442	19.250
6186	335.277
60329	82.460
7790	65.901
1005	33.847
11210	333.905
6101	0.0
1004	16.795
2340753	86.186
10325184	81.892
24590970	197.576
11695	173.978
6102	0.0
13836591	71.971
7028	62.292
7615	59.046
13884973	197.464
7674	231.306
6406	157.590
682	0.0
13874867	156.848
10710415	240.380
6089	0.0
6087	0.0
6098	0.0
7733	50.211
9990	20.745
11727	11.241
7600	482.436
8896	0.0
7466	123.426
14751	344.590
1609	82.952
171	0.0
7727	44.389
71628	321.532
22408	0.0
7728	36.885
6338	26.918
13811	774.462
13871489	611.695
864	0.0
220998	537.389
221117	391.432
15765	391.432
11647	407.623
7506	437.203
7737	0.0
5439	65.402
7003	275.795
6322	44.042
13867413	102.480
553171	265.188
11525	113.036
8554	105.248
13571291	15.285
12066	0.0
7703	153.151
11265	371.063
12954	412.456
13229	453.743
59577	391.291
10053	0.0
10018	84.264
7787	128.855
26765	151.668
192642	178.103
11788	222.038
63156	141.514
122446	279.228
21181	206.949
26325090	266.312
13836520	160.444
6135	0.0
6309	59.185
12626	91.906
11632	283.624
9994	0.0
7636	92.161
13854944	85.372
7557	24.290
6125	0.0
120621	136.124
4449	366.745
55205	182.421
12445	202.584
14169248	299.246
7964	2007.547
6193	2398.771
62597	48.979
7559	14.938
7677	222.997
12197	19.643
13836674	25.169
11761	249.059
29015	84.607
9642	0.0
156255	184.407
20119	130.318
6118	0.0
363458	186.723
7684	186.320
71390	0.0
8544	0.0
12219	368.373
6307	75.611
7848	310.007
13816	99.393
15077490	211.730
19956441	159.242
12637	325.476
13872989	17.302
11752	82.567
8577	425.477
278	0.0
61487	126.023
11863	251.770
5708	154.647
10536	355.480
14349	367.104
7810	193.884
391	0.0
13835977	21.807
6334	40.727
592	67.596
13871721	50.390
374462	92.707
558883	63.945
56020	63.945
8908	334.866
376	286.917
10025	343.869
5004	459.395
2275	15.525
4446445	244.735
10124	142.003
7852	308.797
3951	87.175
7530	328.839
7766	136.889
6333	34.872
14680	250.661
7827	216.121
4514529	0.0
13835316	0.0
7711	82.031
12499	508.926
19953955	110.118
21109330	307.840
13638	389.626
72056	513.311
10948	90.475
7815	192.946
71312	182.341
2293678	175.790
2018460	285.996
29107	99.020
21169510	385.799
7552	32.121
5993	34.185
13835293	158.562
62589	222.629
7738	0.0
7686	222.831
7480	389.136
7776	136.222
127983	0.0
1087	0.0
6092	0.0
6042	0.0
6316	63.406
8878	97.692
34095	397.122
7568	15.994
10340	58.694
4444608	135.187
10939	327.538
11107	176.963
13835224	33.512
8141	50.404
9233	91.395
23621376	67.323
21111806	208.348
69371	342.051
66565	191.576
18685	339.448
15443	289.949
844	76.582
18607	86.846
11930	269.085
62628	282.367
67653	352.064
7030	32.903
11875	226.340
7721	81.773
2656	1003.680
21108550	208.666
7560	32.416
13839416	172.153
13836021	45.201
13835861	72.272
7029	41.189
394562	44.899
10498	46.975
13839441	121.110
21112738	20.437
6104	0.0
4481813	14.791
60524	37.083
11729	37.317
9325	223.064
11694	201.329
11086	239.844
13849981	504.035
6103	0.0
5894	27.284
13835209	75.270
7788	132.619
13839553	37.613
6083	0.0
6314	37.885
61707	98.269
63054	436.607
4510484	330.406
15803	795.749
26563	689.410
70660	376.576
7679	188.063
13835235	11.847
1039	0.0
10772140	36.379
28994	13.573
4937830	14.732
29008	0.0
11809	52.751
8543	71.864
6111	0.0
68832	189.419
13842001	264.061
22191	251.510
75951	312.449
72793	338.779
72551	372.215
24641	406.561
11632871	627.850
33416	570.213
29001	112.868
21106032	124.446
8909	403.039
11857	343.584
7330	0.0
69982	771.065
21106015	18.051
552744	73.747
10464	82.342
61191	426.644
61001	684.540
8912	445.228
7791	123.074
13866593	148.343
7098	431.039
7026	56.588
553742	27.815
5977	0.0
13837702	98.092
13837537	100.216
9724	788.997
18801	186.937
59674	79.330
558928	27.815
6330	40.447
11244	93.599
7021	94.439
11795	131.540
10488	155.172
13647	334.588
6402	808.857
68156	134.399
71876	494.784
415	53.875
10487	247.867
763	0.0
13835336	15.322
24099	86.223
173	0.0
5730	0.0
7678	199.294
553642	412.375
13861343	163.477
13835550	19.490
8733	45.223
48024	213.614
10265270	744.536
693	0.0
124968	137.212
62808	137.138
8910	543.160
9614	163.215
60886	1411.518
28993	418.220
17131	755.461
13875283	265.188
9363	149.906
13849989	462.384
11351244	104.651
558020	137.269
7553	32.761
20939	659.888
518	N/A
6326	68.062
20198	1438.052
1143	0.0
61111	149.880
4444456	74.689
2441	1069.210
6296	624.491
391428	688.387
733	72.562
9970	421.116
8960	0.0
11117	136.431
191	231.040
13837280	72.274
659	0.0
1078	125.792
13835604	115.019
10772050	193.204
14198	804.853
71787	175.479
7528	328.992
6827	931.486
499714	223.683
7018	97.836
11911	128.866
6093	0.0
13836713	33.056
21106535	128.185
7013	160.230
59447	213.625
10179239	744.536
86007	1330.474
390927	767.6
10756	849.714
7961	96.159
12643	204.866
19231	238.573
13835630	356.143
13835459	117.489
9581	327.175
13875196	325.417
73412	147.518
13492	662.017
15747	721.640
7236	284.576
10410	497.458
1348	61.321
558878	449.191
5978	0.0
13487	601.378
6119	0.0
10404	538.913
13839199	198.791
9228	284.328
71089	184.405
6342	172.778
9574	403.560
83866	298.781
83850	298.781
9454	462.036
7419	473.220
1108	213.794
7128	456.687
8356	587.029
62530	377.7
7385	401.948
7170	916.061
8903	97.821
13842613	314.622
16159	288.0
7183	596.159
236	116.939
553578	449.191
7736	0.0
7242	301.026
7219	321.839
7521	330.009
7672	290.384
12010	247.337
24533	281.784
789	239.862
7088	620.709
1019	0.0
13835932	196.235
65750	516.984
15461	813.926
11830	183.152
6122	0.0
1095	0.0
7641	335.475
63903	381.466
10497	116.716
8904	97.892
7688	183.698
13874733	198.491
10437135	305.993
11660	449.238
1020	107.140
21106520	198.001
18724	593.525
11042	308.617
31029	49.001
21106560	303.017
21132380	314.478
8531	588.496
15855	789.315
6100	0.0
13837281	182.736
21105905	301.836
66809	255.812
7448	574.773
6179	319.885
7659	483.465
24535	636.761
15702	936.614
25552	582.777
11871	367.316
15409	624.093
20843	321.766
10940	343.911
10251740	160.956
11077	313.214
24972	452.627
9326	249.582
13885245	559.963
6524	1433.819
28969	382.1
6967	366.936
8900	0.0
12229	168.716
9360	231.758
10253	665.197
8902	97.703
9350	231.082
7786	203.122
6999	716.739
15965	581.922
6088	0.0
10937	344.372
21106036	435.838
6977	510.820
10364	294.918
62489	257.998
10384035	301.903
11409	501.319
8243	1512.481
7391	346.092
21108577	642.618
13257	271.985
70682	412.194
4228778	1130.782
13658	641.380
28992	288.070
6528	1630.889
7739	0.0
21168808	100.751
8335	650.205
8374	640.591
21111820	98.019
6897	519.238
13863629	100.654
12228	N/A
21112023	447.451
6665	728.798
247721	623.524
10437215	362.506
11731	55.296
13865438	393.422
120489	237.343
2039535	304.027
13837319	1391.484
7278	493.563
13875160	352.261
8899	0.0
7238	275.011
21106135	399.884
773	0.0
2916	0.0
12225	53.051
10197150	130.273
55091	221.107
26325085	753.013
26325087	821.959
26325088	808.851
11862	294.451
8241	1264.416
3210	880.574
8950	407.842
7676	229.687
66996	199.270
10437074	197.362
66896	1085.716
30595	639.717
7710	108.673
7809	234.672
63908	332.403
221226	405.114
21105959	436.832
66021	198.410
17443	238.394
84971	358.512
388391	358.512
10236	552.470
13837303	1121.612
13648	367.785
2849146	391.921
222538	399.427
73390	465.246
10437335	460.576
11576	670.765
11589	599.875
7175	578.614
79969	763.866
11784	213.228
7765	173.331
6883	446.038
7241	248.888
13875230	359.293
7689	214.170
2038738	230.849
11785	213.632
9218	488.342
7224	267.657
11600	188.906
7551	42.922
558875	45.162
21106366	444.749
78	249.719
7225	250.795
10181339	480.710
13839308	352.645
65523	395.741
7157	589.932
2937774	581.994
502855	762.361
14556	497.035
30572	285.674
58234	1103.905
67460	500.671
9349	256.518
8883	849.596
65936	231.712
13875281	390.814
4445317	1342.484
10534	361.330
6898	630.649
13644	372.231
12061	431.109
29036	0.0
199342	1182.910
66895	849.805
62534	435.437
62408	483.247
13837329	945.113
4489	264.953
15495	777.270
66887	789.208
7389	312.845
9893	588.699
63518	726.730
12060	488.236
62310	717.276
7420	491.916
13856009	370.4
59482	660.811
12816	252.464
14678	561.079
21171407	49.761
7984	350.837
28982	405.135
206561	507.962
19709	557.454
21168831	424.046
21105897	652.102
13860335	284.539
6881	506.579
55443	576.769
453675	638.344
971	183.180
9579	400.775
21105878	455.968
21168813	535.751
60121	463.677
15427	466.268
1141	208.036
63310	581.398
11021	406.692
305	572.488
13846663	717.285
79280	555.027
21106091	914.025
13876539	355.547
5830	368.907
69340	512.702
63889	291.509
2606	205.307
10992	414.069
8674	463.076
9943	251.405
7132	393.023
235	269.435
13839082	290.995
13839110	431.467
13840690	342.472
13871718	444.358
21105871	294.478
21105998	754.617
7131	409.582
13856352	394.061
13866817	375.508
24722	1921.760
7221	308.230
7223	312.363
9903	488.232
13839105	459.842
10246	661.991
18336	876.276
14866	922.827
466305	820.485
13865680	444.834
11604	410.623
13634	307.064
76394	326.172
440	544.364
28682	345.986
447	384.507
11667	417.484
13835772	320.611
6774	621.463
21168826	396.878
8071	561.890
13839128	453.502
194092	655.212
