Compound Id	BCUT [BCUTw-1l]
26325084	11.790
26325083	11.790
18019	11.998
8521	11.998
26325082	11.790
10449	11.998
61149	11.998
2056044	11.998
26325081	11.79
26824	11.998
8520	11.998
10451	11.998
2041618	11.998
6191	11.998
26325080	11.790
76894	11.998
16425	18.997
6153	11.998
10784857	11.998
38403	11.998
14021447	11.790
9256	11.998
23101	11.998
10675065	11.998
10652594	11.998
10696	11.998
62827	11.998
11434292	N/A
21106179	11.998
122090	11.998
11557190	11.790
9095782	11.998
12577	11.998
9286	11.998
61346	11.998
6190	11.998
6270	11.890
9484	11.89
6105	11.998
16841	11.998
4927801	11.890
109705	11.997
9088156	11.998
56144	11.998
23150	11.998
108106	11.890
78828	11.998
6128	11.890
10452	11.998
10606755	11.998
3631	11.998
69569	11.998
15413	11.998
66656	11.998
9411	11.890
454209	11.89
10733068	11.790
17619	11.998
13837650	11.999
13853215	11.998
9392	11.998
66567	11.998
18971812	11.998
66655	11.998
68328	11.79
13299573	11.998
56117	11.998
12161	11.996
107412	11.998
67414	11.89
13803	11.998
14441700	11.998
10756390	11.790
68224	11.998
61213	11.890
9254	11.998
9016	11.998
73583	11.998
14998	11.998
2018165	11.998
6148	11.890
69914	11.998
11671339	11.790
29040	11.998
67991	11.998
454215	11.998
62826	11.998
7626	11.89
59573	11.998
6156	11.998
10106	11.890
10801109	11.890
512621	11.998
12933	11.890
11996	11.890
13835836	11.89
9633	11.890
15789876	11.988
18688	11.890
12586	11.890
71433	11.790
68503	11.996
937	15.995
692	11.989
23208	15.785
291	12.0
274	11.989
6084	11.890
6132	11.998
7956	11.997
6094	11.890
11749	11.996
7555	11.890
6120	11.89
7712	11.890
6308	11.890
9646	11.890
10781	11.890
15802	11.890
17976	11.890
7767	11.890
7604	11.890
7010	11.890
6163	11.890
6340	11.890
7671	11.890
9377	11.890
8560	11.890
11094	11.890
11023	11.890
11055	11.890
10786	11.890
7619	11.890
10755	11.890
11551	11.890
349	11.89
11035	11.89
11104	11.890
10795	11.890
10445	11.890
8569	11.890
11841	11.890
7073	11.89
123860	11.89
7849	11.890
17558	11.890
13439	11.890
13402	11.890
6287	11.890
10227261	11.989
14840	11.890
13448	11.890
12220	11.890
13619	11.890
7890	11.890
11882	11.890
11883	11.890
10540	11.890
7929	11.890
11897	11.890
11899	11.890
12017	11.890
12072	11.890
11900	11.890
11901	11.890
11146	11.890
11902	11.89
10542	11.890
11906	11.890
7823	11.890
13835376	11.89
55130	11.890
6188	11.998
127750	11.890
14299946	11.999
30713	11.998
14694	11.998
99596	11.998
11849	11.890
7757	11.890
21106169	11.997
20545	11.890
10441	11.997
14672	11.996
7511	11.89
10446	11.89
7657	11.89
22453	11.890
6151	11.998
7509	11.89
7872	11.890
10433	11.890
55084	11.89
7875	11.890
2062437	11.998
7065	11.890
11992	11.89
7913	11.890
10325078	11.998
92731	11.998
14256731	11.890
3168	11.890
11153	11.998
29005	11.89
7472	11.89
11207996	11.989
7694	11.89
11833	11.996
16388	11.890
455420	11.996
62249	11.890
10420	11.890
9243	11.890
55188	11.996
7482	11.890
11716	11.89
29016	11.890
7670	11.89
7340	11.890
7747	11.89
7624	11.890
7627	11.890
8568	11.890
14846	11.89
11045	11.890
11228	11.996
10709	11.996
109838	11.890
7478	11.89
10765	11.890
13849665	11.890
7800	11.89
11148	11.998
11843	11.890
923	13.997
7475	11.890
12201	11.890
7515	11.89
29012	11.890
10797	11.890
11109	11.790
7538	11.89
7536	11.890
12972	11.890
61266	11.997
24142	11.890
14829	11.890
23055	11.890
13622	11.890
7463	11.890
10571	11.890
16180	11.890
13836549	11.998
7891	11.790
12446	11.890
55123	11.890
10614293	11.890
29025	11.890
11755	11.89
12635	11.890
7706	11.890
7761	11.890
11121	11.890
7713	11.790
12809	11.790
11230	11.994
7833	11.89
10492	11.890
13837190	11.997
13839109	11.890
7556	11.790
12012	11.89
8158	11.890
66675	11.998
7871	11.89
3441	11.999
7954	11.79
9976	11.890
21153	11.89
14688	11.993
9391	11.890
8525	11.890
7514	11.89
11680	11.890
6176	11.890
6085	11.790
63631	11.994
13865630	11.890
7856	11.890
11706	11.89
7802	11.890
12218	11.890
56232	11.993
3973	11.997
6130	11.998
7534	11.890
10788	11.890
7621	11.89
10101	11.997
28986	11.89
13839575	11.996
12632	11.890
13836589	11.996
83734	11.998
9253	11.998
215929	11.890
10791	11.89
555074	11.890
7957	11.89
11125	11.890
7760	11.89
4516601	11.890
8562	11.890
2863	11.89
56442	11.890
4483639	11.890
11919	11.890
10653	11.89
8329688	11.890
7782	11.89
4516599	11.89
16387	11.9
10777	11.890
4512361	11.890
11095	11.890
11025	11.890
26325086	11.890
21106173	11.997
13835706	11.989
441	11.989
2282428	11.998
9251	11.998
13850879	11.890
217	14.003
1114	11.994
7838	11.89
15486	11.890
56559	11.89
11898	11.890
4483638	11.890
6335	11.890
4449912	11.890
11526	11.997
6311	11.890
10054	11.890
7081	11.890
7607	11.89
7074	11.89
12456	11.890
72522	11.890
6313	11.989
7817	11.890
4512642	11.89
7928	11.890
7734	11.89
5949	11.890
62632	11.890
14348	11.89
7803	11.890
7076	11.89
78998	11.890
17880	11.890
370	11.996
29029	11.989
11884	11.890
2581	11.890
16177	11.890
7730	11.89
13866746	11.998
7016	11.89
15853	11.890
11864	11.690
9053802	11.890
21106586	11.890
67360	11.890
63863	11.998
11891	11.890
7732	11.89
18920	11.890
10113	11.890
11866	11.890
15846	11.890
11845	11.890
15954	11.89
11819	11.890
7566	11.953
29026	11.890
7772	11.89
11739	11.89
7917	11.890
6321	11.890
12209	11.690
11846	11.890
7622	11.89
11861	11.890
15016	11.890
11056	11.890
7915	11.89
23255	11.89
10787	11.890
123993	11.890
55090	11.890
11806	11.890
7630	11.890
8552	11.996
68179	11.890
7901	11.890
6121	11.890
7770	11.890
7558	11.890
11036	11.89
10001	11.890
7064	11.89
175	11.890
6146	11.996
6649	11.89
11029	11.89
6123	11.890
7892	11.890
8576	11.890
6095	11.890
9461	11.790
14692	11.790
11099	11.790
11193	11.89
256	11.89
11794	11.890
7851	11.890
15387	11.890
8012	11.890
7717	11.953
11732	11.890
10511	11.89
654	11.994
6315	11.890
6086	11.690
99440	11.890
11194	11.890
455353	11.890
11110	11.790
13848341	11.996
10265264	11.9
7850	11.890
7882	11.890
7577	11.997
29000	11.890
8574	11.996
11239	11.890
6165	11.89
11865	11.890
21011	11.89
4366810	11.890
512	11.989
11793	11.89
7811	11.994
7835	11.890
11216	11.89
13862665	11.790
932	11.996
22814	30.974
6341	11.89
11678	11.996
11543	11.996
62230	11.890
7533	11.890
13836399	11.996
10526	11.890
10422	11.890
12069	11.890
59483	11.998
13255	11.890
10179173	11.9
7701	11.890
6149	11.998
10790	11.89
71430	11.9
120464	11.890
172	11.989
11180	11.996
13865426	11.890
7434	11.890
259	11.996
7714	11.890
10512	11.890
7812	11.996
7769	11.890
7459	11.890
11024	11.890
7837	11.89
3644	11.997
16778	11.890
7705	11.89
191367	11.890
748	11.953
5091	11.89
10437	11.89
387	11.999
