Compound Id	MannholdLogP
26325084	2.01
26325083	2.01
18019	1.790
8521	1.790
26325082	2.010
10449	1.460
61149	1.02
2056044	1.02
26325081	2.01
26824	1.79
8520	1.79
10451	1.46
2041618	1.680
6191	1.02
26325080	2.01
76894	1.570
16425	0.69
6153	1.130
10784857	0.8
38403	1.02
14021447	2.01
9256	1.13
23101	1.790
10675065	1.350
10652594	0.910
10696	1.46
62827	1.24
11434292	1.68
21106179	1.24
122090	1.9
11557190	2.010
9095782	1.46
12577	1.24
9286	1.24
61346	1.13
6190	1.02
6270	1.790
9484	1.350
6105	1.35
16841	1.13
4927801	2.56
109705	1.460
9088156	1.9
56144	1.02
23150	1.79
108106	2.34
78828	2.01
6128	1.46
10452	1.46
10606755	1.02
3631	1.02
69569	1.35
15413	1.79
66656	1.680
9411	1.350
454209	1.68
10733068	2.01
17619	1.570
13837650	1.46
13853215	1.02
9392	1.02
66567	1.13
18971812	1.46
66655	1.9
68328	2.01
13299573	1.13
56117	1.79
12161	1.350
107412	1.24
67414	2.12
13803	1.46
14441700	1.46
10756390	1.9
68224	1.9
61213	1.46
9254	1.13
9016	1.13
73583	1.24
14998	1.790
2018165	1.350
6148	1.350
69914	1.79
11671339	1.79
29040	1.13
67991	1.350
454215	1.13
62826	1.24
7626	2.010
59573	1.570
6156	1.790
10106	1.9
10801109	2.01
512621	1.79
12933	1.9
11996	2.010
13835836	1.9
9633	2.23
15789876	2.560
18688	2.01
12586	2.56
71433	1.9
68503	1.570
937	1.350
692	1.46
23208	1.13
291	1.57
274	1.35
6084	1.68
6132	1.24
7956	1.570
6094	1.79
11749	1.9
7555	1.9
6120	1.9
7712	2.01
6308	2.01
9646	2.01
10781	2.34
15802	2.45
17976	2.45
7767	2.12
7604	2.12
7010	2.12
6163	2.12
6340	2.12
7671	2.120
9377	2.010
8560	2.23
11094	2.23
11023	2.23
11055	2.23
10786	2.23
7619	2.23
10755	2.23
11551	2.23
349	2.34
11035	2.34
11104	2.34
10795	2.34
10445	2.34
8569	2.23
11841	2.23
7073	2.120
123860	2.120
7849	2.45
17558	2.45
13439	2.45
13402	2.45
6287	1.57
10227261	2.340
14840	2.56
13448	2.56
12220	2.45
13619	2.67
7890	2.780
11882	2.890
11883	3.0
10540	3.220
7929	3.66
11897	3.77
11899	3.88
12017	3.990
12072	4.1
11900	4.21
11901	4.32
11146	4.43
11902	4.54
10542	4.98
11906	5.42
7823	2.010
13835376	1.9
55130	2.01
6188	1.02
127750	1.9
14299946	1.24
30713	1.24
14694	1.24
99596	1.35
11849	2.010
7757	2.56
21106169	1.24
20545	3.220
10441	1.68
14672	1.9
7511	2.34
10446	1.9
7657	2.01
22453	2.01
6151	1.130
7509	2.23
7872	2.34
10433	2.01
55084	2.23
7875	2.56
2062437	1.35
7065	1.9
11992	1.9
7913	2.78
10325078	1.02
92731	1.13
14256731	2.34
3168	1.790
11153	1.35
29005	2.120
7472	1.9
11207996	1.9
7694	2.120
11833	1.9
16388	1.9
455420	2.23
62249	1.9
10420	2.01
9243	1.570
55188	2.010
7482	2.01
11716	2.120
29016	2.01
7670	2.340
7340	2.670
7747	1.9
7624	2.010
7627	1.790
8568	2.120
14846	2.34
11045	2.01
11228	1.790
10709	1.790
109838	1.790
7478	1.680
10765	2.01
13849665	2.450
7800	2.23
11148	1.46
11843	2.01
923	1.13
7475	1.9
12201	2.12
7515	1.9
29012	1.9
10797	2.12
11109	2.12
7538	2.120
7536	2.01
12972	2.56
61266	1.680
24142	3.11
14829	1.350
23055	1.46
13622	3.0
7463	1.790
10571	1.790
16180	2.890
13836549	1.46
7891	2.780
12446	2.12
55123	2.01
10614293	2.34
29025	2.45
11755	1.68
12635	2.67
7706	1.790
7761	1.9
11121	2.23
7713	2.01
12809	2.56
11230	1.790
7833	2.34
10492	1.790
13837190	1.57
13839109	1.79
7556	1.9
12012	1.9
8158	2.010
66675	1.9
7871	2.56
3441	1.13
7954	1.79
9976	2.340
21153	2.670
14688	2.78
9391	1.35
8525	1.68
7514	2.12
11680	1.790
6176	2.010
6085	1.68
63631	1.9
13865630	1.9
7856	2.23
11706	1.9
7802	2.23
12218	2.45
56232	2.34
3973	1.24
6130	1.24
7534	2.23
10788	2.010
7621	2.010
10101	1.24
28986	2.12
13839575	1.79
12632	2.340
13836589	1.68
83734	1.13
9253	1.13
215929	2.23
10791	2.010
555074	2.23
7957	1.9
11125	1.790
7760	2.12
4516601	2.34
8562	2.010
2863	2.34
56442	1.9
4483639	2.01
11919	2.23
10653	1.68
8329688	1.46
7782	1.68
4516599	2.34
16387	1.79
10777	1.9
4512361	2.34
11095	2.010
11025	2.010
26325086	1.79
21106173	1.79
13835706	1.79
441	2.23
2282428	1.13
9251	1.13
13850879	2.010
217	1.350
1114	1.68
7838	2.12
15486	2.45
56559	3.33
11898	3.550
4483638	2.01
6335	1.57
4449912	1.9
11526	1.46
6311	1.790
10054	1.790
7081	2.010
7607	1.9
7074	2.120
12456	2.56
72522	3.44
6313	1.790
7817	2.010
4512642	2.34
7928	3.33
7734	1.57
5949	2.010
62632	3.11
14348	3.22
7803	2.01
7076	2.120
78998	3.0
17880	2.45
370	2.120
29029	2.340
11884	2.78
2581	3.11
16177	2.670
7730	1.790
13866746	1.57
7016	1.9
15853	2.56
11864	2.34
9053802	2.89
21106586	1.9
67360	2.45
63863	1.350
11891	3.0
7732	1.790
18920	2.23
10113	2.01
11866	2.12
15846	2.340
11845	2.23
15954	2.12
11819	2.12
7566	1.68
29026	2.23
7772	1.9
11739	2.12
7917	2.89
6321	1.790
12209	2.12
11846	2.010
7622	2.010
11861	2.340
15016	3.33
11056	2.010
7915	2.78
23255	1.790
10787	2.010
123993	2.23
