Compound Id	ChiPath [VP-6]
26325084	29.427
26325083	25.820
18019	30.375
8521	12.079
26325082	22.214
10449	21.641
61149	0.0
2056044	0.0
26325081	18.607
26824	15.188
8520	8.472
10451	18.034
2041618	N/A
6191	0.0
26325080	15.0
76894	N/A
16425	0.0
6153	0.0
10784857	N/A
38403	0.0
14021447	11.393
9256	0.0
23101	5.063
10675065	0.0
10652594	N/A
10696	14.427
62827	0.0
11434292	N/A
21106179	0.0
122090	5.063
11557190	7.787
9095782	0.0
12577	0.0
9286	0.0
61346	0.0
6190	0.0
6270	0.75
9484	0.0
6105	0.0
16841	0.0
4927801	28.204
109705	0.384
9088156	7.386
56144	0.0
23150	0.0
108106	22.563
78828	4.196
6128	0.0
10452	9.506
10606755	0.0
3631	0.0
69569	5.524
15413	0.375
66656	N/A
9411	0.0
454209	0.0
10733068	15.724
17619	N/A
13837650	0.0
13853215	0.0
9392	0.0
66567	0.0
18971812	0.0
66655	0.0
68328	0.153
13299573	0.0
56117	0.125
12161	0.0
107412	0.0
67414	15.608
13803	0.0
14441700	0.0
10756390	12.296
68224	12.698
61213	0.0
9254	0.0
9016	0.0
73583	0.0
14998	0.0
2018165	0.0
6148	0.0
69914	8.209
11671339	7.955
29040	0.0
67991	0.0
454215	0.0
62826	0.0
7626	0.0
59573	0.0
6156	0.0
10106	0.321
10801109	0.905
512621	N/A
12933	1.099
11996	0.0
13835836	0.048
9633	0.261
15789876	0.549
18688	0.0
12586	0.964
71433	0.0
68503	0.0
937	0.0
692	0.0
23208	0.0
291	0.0
274	0.0
6084	0.0
6132	0.0
7956	0.0
6094	0.0
11749	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.204
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
7671	0.136
9377	0.067
8560	0.177
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.25
11035	0.144
11104	0.0
10795	0.0
10445	0.0
8569	0.195
11841	0.272
7073	0.192
123860	0.142
7849	0.338
17558	0.306
13439	0.0
13402	0.0
6287	0.168
10227261	0.378
14840	0.427
13448	0.0
12220	0.297
13619	0.515
7890	0.604
11882	0.692
11883	0.780
10540	0.957
7929	1.311
11897	1.399
11899	1.487
12017	1.576
12072	1.664
11900	1.753
11901	1.841
11146	1.929
11902	2.018
10542	2.371
11906	2.725
7823	0.102
13835376	0.083
55130	0.118
6188	0.0
127750	0.083
14299946	12.929
30713	0.0
14694	0.0
99596	0.0
11849	0.102
7757	0.524
21106169	0.0
20545	1.122
10441	0.0
14672	0.0
7511	0.347
10446	0.0
7657	0.118
22453	0.059
6151	0.0
7509	0.248
7872	0.372
10433	0.118
55084	0.204
7875	0.549
2062437	0.0
7065	0.0
11992	0.0
7913	0.726
10325078	0.0
92731	0.0
14256731	0.368
3168	0.0
11153	0.0
29005	0.189
7472	0.0
11207996	0.0
7694	0.168
11833	0.0
16388	0.558
455420	0.248
62249	0.0
10420	0.102
9243	0.0
55188	0.0
7482	0.102
11716	0.159
29016	0.166
7670	0.333
7340	0.642
7747	0.0
7624	0.0
7627	0.0
8568	0.180
14846	0.399
11045	0.132
11228	0.0
10709	0.0
109838	0.059
7478	0.042
10765	0.0
13849665	0.435
7800	0.311
11148	0.0
11843	0.123
923	0.0
7475	0.072
12201	0.0
7515	0.072
29012	0.102
10797	0.0
11109	0.0
7538	0.212
7536	0.153
12972	0.466
61266	0.511
24142	0.8
14829	0.0
23055	0.0
13622	0.711
7463	0.0
10571	0.0
16180	0.623
13836549	0.098
7891	0.535
12446	0.0
55123	0.138
10614293	0.0
29025	0.269
11755	0.0
12635	0.446
7706	0.0
7761	0.056
11121	0.102
7713	0.0
12809	0.358
11230	0.0
7833	0.174
10492	0.0
13837190	0.0
13839109	0.071
7556	0.0
12012	0.083
8158	0.0
66675	0.0
7871	0.489
3441	0.0
7954	0.0
9976	0.239
21153	0.577
14688	0.905
9391	0.0
8525	0.0
7514	0.125
11680	0.0
6176	0.0
6085	0.0
63631	0.0
13865630	0.131
7856	0.239
11706	0.072
7802	0.213
12218	0.4
56232	0.552
3973	0.0
6130	0.0
7534	0.102
10788	0.0
7621	0.0
10101	0.0
28986	0.125
13839575	0.1
12632	0.312
13836589	0.0
83734	0.0
9253	0.0
215929	0.228
10791	0.0
555074	0.118
7957	0.0
11125	0.034
7760	0.176
4516601	0.167
8562	0.125
2863	0.440
56442	0.0
4483639	0.0
11919	0.0
10653	0.0
8329688	0.0
7782	0.0
4516599	0.167
16387	0.655
10777	0.0
4512361	0.167
11095	0.0
11025	0.0
26325086	0.151
21106173	0.175
13835706	0.176
441	0.239
2282428	0.0
9251	0.0
13850879	0.381
217	0.0
1114	0.0
7838	0.144
15486	0.394
56559	1.128
11898	1.330
4483638	0.0
6335	0.0
4449912	0.0
11526	0.0
6311	0.0
10054	0.0
7081	0.0
7607	0.0
7074	0.142
12456	0.327
72522	1.242
6313	0.0
7817	0.059
4512642	0.167
7928	1.153
7734	0.0
5949	0.059
62632	0.934
14348	1.065
7803	0.164
7076	0.127
78998	0.846
17880	0.239
370	0.263
29029	0.327
11884	0.669
2581	0.976
16177	0.581
7730	0.0
13866746	0.088
7016	0.0
15853	0.492
11864	0.139
9053802	0.774
21106586	0.059
67360	0.404
63863	0.0
11891	0.888
7732	0.0
18920	0.250
10113	0.0
11866	0.128
15846	0.315
11845	0.072
15954	0.0
11819	0.0
7566	0.0
29026	0.227
7772	0.0
11739	0.0
7917	0.8
6321	0.0
12209	0.0
11846	0.056
7622	0.0
11861	0.345
15016	1.169
11056	0.0
7915	0.711
23255	0.0
10787	0.0
123993	0.0
55090	0.0
11806	0.0
7630	0.0
8552	0.107
68179	0.141
7901	0.623
6121	0.0
7770	0.0
7558	0.0
11036	0.144
10001	0.0
7064	0.0
175	0.0
6146	0.0
6649	0.0
11029	0.144
6123	0.0
7892	0.534
8576	0.462
6095	0.0
9461	0.0
14692	0.289
11099	0.0
11193	0.0
256	0.0
11794	0.0
7851	0.286
15387	0.374
8012	0.0
7717	0.0
11732	0.0
10511	0.209
654	0.0
6315	0.0
6086	0.0
99440	0.0
11194	0.0
455353	0.155
11110	0.0
13848341	0.083
10265264	0.333
7850	0.355
7882	0.446
7577	0.0
29000	0.0
8574	0.358
11239	0.0
6165	0.0
11865	0.267
21011	0.0
4366810	0.175
512	0.0
11793	0.0
