Compound Id	ChiPathCluster [VPC-5]
26325084	92.451
26325083	82.539
18019	25.691
8521	46.819
26325082	72.628
10449	59.470
61149	0.487
2056044	0.352
26325081	62.716
26824	28.736
8520	36.908
10451	49.558
2041618	N/A
6191	0.031
26325080	52.804
76894	N/A
16425	0.0
6153	0.0
10784857	N/A
38403	0.107
14021447	42.893
9256	0.012
23101	26.996
10675065	0.129
10652594	N/A
10696	39.646
62827	0.088
11434292	N/A
21106179	0.0
122090	21.990
11557190	32.981
9095782	0.125
12577	0.007
9286	0.0
61346	0.382
6190	0.071
6270	1.596
9484	0.0
6105	0.0
16841	0.024
4927801	42.688
109705	0.848
9088156	24.664
56144	0.771
23150	18.371
108106	34.151
78828	23.069
6128	0.0
10452	29.735
10606755	0.237
3631	0.231
69569	28.874
15413	2.022
66656	N/A
9411	0.105
454209	0.051
10733068	35.599
17619	N/A
13837650	0.0
13853215	0.153
9392	0.173
66567	0.533
18971812	0.278
66655	15.489
68328	13.263
13299573	0.591
56117	2.177
12161	1.391
107412	0.220
67414	25.613
13803	1.362
14441700	0.057
10756390	28.273
68224	27.734
61213	0.057
9254	0.071
9016	0.035
73583	0.409
14998	1.732
2018165	0.0
6148	0.0
69914	20.801
11671339	20.677
29040	0.037
67991	20.897
454215	0.061
62826	0.366
7626	0.544
59573	1.0
6156	0.0
10106	0.382
10801109	3.484
512621	N/A
12933	2.384
11996	0.577
13835836	0.184
9633	0.0
15789876	0.472
18688	0.538
12586	1.534
71433	0.612
68503	1.570
937	0.0
692	0.0
23208	0.0
291	0.0
274	0.0
6084	0.0
6132	0.0
7956	0.0
6094	0.0
11749	0.167
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	1.718
15802	0.493
17976	0.827
7767	0.0
7604	0.289
7010	0.289
6163	0.354
6340	0.0
7671	0.772
9377	0.0
8560	0.0
11094	0.204
11023	0.408
11055	1.0
10786	0.707
7619	0.943
10755	1.0
11551	0.612
349	0.0
11035	0.348
11104	0.333
10795	1.540
10445	2.041
8569	0.0
11841	0.236
7073	0.254
123860	0.0
7849	0.0
17558	0.204
13439	3.536
13402	2.621
6287	0.467
10227261	0.348
14840	0.0
13448	1.25
12220	0.0
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
7823	0.0
13835376	0.0
55130	0.265
6188	0.337
127750	0.0
14299946	33.632
30713	0.0
14694	0.065
99596	0.1
11849	0.0
7757	0.101
21106169	0.009
20545	0.236
10441	0.0
14672	0.204
7511	0.101
10446	0.658
7657	0.3
22453	0.352
6151	0.0
7509	0.101
7872	0.042
10433	0.149
55084	0.088
7875	0.042
2062437	0.046
7065	0.185
11992	0.234
7913	0.042
10325078	0.286
92731	0.741
14256731	0.340
3168	0.0
11153	0.0
29005	0.101
7472	0.283
11207996	0.203
7694	0.101
11833	0.0
16388	2.241
455420	0.0
62249	0.635
10420	0.101
9243	0.0
55188	0.577
7482	0.101
11716	0.071
29016	0.160
7670	0.725
7340	0.474
7747	0.117
7624	0.667
7627	0.262
8568	0.042
14846	0.071
11045	0.071
11228	0.0
10709	0.0
109838	0.0
7478	0.065
10765	0.0
13849665	0.486
7800	0.071
11148	0.0
11843	0.042
923	0.0
7475	0.113
12201	0.167
7515	0.071
29012	0.042
10797	0.939
11109	0.0
7538	0.071
7536	0.071
12972	0.153
61266	1.441
24142	0.0
14829	0.0
23055	0.172
13622	0.0
7463	0.083
10571	0.214
16180	0.0
13836549	0.467
7891	0.0
12446	0.177
55123	0.0
10614293	2.041
29025	0.0
11755	0.056
12635	0.0
7706	0.042
7761	0.118
11121	0.0
7713	0.0
12809	0.0
11230	0.0
7833	0.0
10492	0.096
13837190	0.0
13839109	0.042
7556	0.0
12012	0.0
8158	0.474
66675	13.5
7871	0.072
3441	0.048
7954	0.0
9976	0.153
21153	0.072
14688	0.25
9391	0.023
8525	0.059
7514	0.123
11680	0.083
6176	0.352
6085	0.0
63631	0.0
13865630	0.184
7856	0.0
11706	0.071
7802	0.072
12218	0.072
56232	0.25
3973	0.409
6130	0.0
7534	0.465
10788	0.371
7621	0.454
10101	0.330
28986	0.195
13839575	0.0
12632	0.072
13836589	0.0
83734	0.212
9253	0.106
215929	0.123
10791	0.371
555074	0.0
7957	0.0
11125	0.0
7760	0.072
4516601	0.0
8562	0.0
2863	0.032
56442	0.0
4483639	0.0
11919	7.864
10653	0.059
8329688	0.099
7782	0.0
4516599	0.0
16387	2.153
10777	0.0
4512361	0.0
11095	0.072
11025	0.144
26325086	0.761
21106173	0.566
13835706	0.335
441	0.0
2282428	0.110
9251	0.122
13850879	1.003
217	0.0
1114	0.0
7838	0.0
15486	0.220
56559	0.204
11898	0.0
4483638	0.0
6335	0.0
4449912	0.0
11526	0.034
6311	0.0
10054	0.0
7081	0.303
7607	0.102
7074	0.202
12456	0.0
72522	0.0
6313	0.0
7817	0.0
4512642	0.0
7928	0.0
7734	0.0
5949	0.0
62632	0.0
14348	0.0
7803	0.032
7076	0.122
78998	0.0
17880	0.0
370	0.032
29029	0.0
11884	0.0
2581	0.0
16177	0.0
7730	0.0
13866746	0.373
7016	0.102
15853	0.0
11864	0.0
9053802	0.204
21106586	0.375
67360	0.0
63863	9.339
11891	0.0
7732	0.0
18920	0.091
10113	0.0
11866	0.0
15846	0.0
11845	0.0
15954	0.482
11819	0.241
7566	0.0
29026	0.0
7772	0.0
11739	0.447
7917	0.0
6321	0.0
12209	0.0
11846	0.0
7622	0.552
11861	0.091
15016	0.0
11056	0.585
7915	0.0
23255	0.0
10787	0.447
123993	0.967
55090	0.401
11806	0.0
7630	0.117
8552	0.032
68179	0.0
7901	0.0
6121	0.0
7770	0.0
7558	0.0
11036	0.156
10001	0.249
7064	0.294
175	0.0
6146	0.0
6649	0.466
11029	0.247
6123	0.0
7892	0.0
8576	0.0
6095	0.0
9461	0.044
14692	0.0
11099	0.0
11193	0.663
256	0.0
11794	0.091
7851	0.0
15387	0.0
8012	0.212
7717	0.0
11732	0.585
10511	0.091
654	0.0
6315	0.0
6086	0.0
99440	1.364
11194	1.069
455353	0.0
11110	0.0
13848341	0.125
10265264	0.760
7850	0.0
7882	0.0
7577	0.0
29000	0.129
8574	0.0
11239	0.0
6165	0.158
11865	0.0
21011	0.129
4366810	0.215
512	0.0
11793	0.204
7811	0.0
7835	0.0
11216	0.814
13862665	0.034
932	0.0
22814	0.0
6341	0.0
11678	0.183
11543	0.390
62230	1.194
7533	0.831
13836399	0.0
10526	0.0
10422	0.169
12069	0.0
