Compound Id	FragmentComplexity
26325084	42.19
26325083	38.17
18019	20.09
8521	20.09
26325082	34.15
10449	24.12
61149	11.08
2056044	11.08
26325081	30.13
26824	16.07
8520	16.07
10451	20.1
2041618	15.07
6191	7.06
26325080	26.11
76894	14.07
16425	6.07
6153	4.04
10784857	18.12
38403	9.07
14021447	22.09
9256	6.05
23101	12.05
10675065	8.05
10652594	15.1
10696	16.08
62827	7.05
11434292	11.05
21106179	3.03
122090	13.05
11557190	18.07
9095782	7.04
12577	5.04
9286	5.04
61346	8.06
6190	7.06
6270	12.05
9484	4.03
6105	2.02
16841	6.05
4927801	30.1
109705	18.09
9088156	15.06
56144	9.07
23150	8.03
108106	24.08
78828	14.05
6128	3.02
10452	12.06
10606755	9.07
3631	9.07
69569	12.07
15413	10.04
66656	7.03
9411	8.05
454209	5.02
10733068	25.1
17619	6.03
13837650	3.02
13853215	7.06
9392	7.06
66567	10.07
18971812	7.04
66655	9.03
68328	10.03
13299573	8.06
56117	8.03
12161	8.05
107412	7.05
67414	18.06
13803	7.04
14441700	5.03
10756390	20.08
68224	20.08
61213	5.03
9254	6.05
9016	6.05
73583	7.05
14998	6.02
2018165	4.03
6148	4.03
69914	15.06
11671339	15.06
29040	6.05
67991	8.05
454215	6.05
62826	7.05
7626	6.01
59573	6.03
6156	4.01
10106	13.05
10801109	14.05
512621	8.03
12933	13.05
11996	6.01
13835836	7.02
9633	8.01
15789876	19.05
18688	8.02
12586	13.02
71433	5.01
68503	8.04
937	0.01
692	1.01
23208	2.03
291	0.0
274	2.02
6084	1.0
6132	3.03
7956	2.01
6094	2.0
11749	5.01
7555	3.0
6120	3.0
7712	4.0
6308	4.0
9646	4.0
10781	7.0
15802	8.0
17976	8.0
7767	5.0
7604	5.0
7010	5.0
6163	5.0
6340	5.0
7671	9.02
9377	6.01
8560	6.0
11094	6.0
11023	6.0
11055	6.0
10786	6.0
7619	6.0
10755	6.0
11551	6.0
349	7.0
11035	7.0
11104	7.0
10795	7.0
10445	7.0
8569	8.01
11841	8.01
7073	9.02
123860	9.02
7849	8.0
17558	8.0
13439	8.0
13402	8.0
6287	10.05
10227261	15.04
14840	9.0
13448	9.0
12220	10.01
13619	10.0
7890	11.0
11882	12.0
11883	13.0
10540	15.0
7929	19.0
11897	20.0
11899	21.0
12017	22.0
12072	23.0
11900	24.0
11901	25.0
11146	26.0
11902	27.0
10542	31.0
11906	35.0
7823	6.01
13835376	7.02
55130	8.02
6188	7.06
127750	7.02
14299946	16.09
30713	5.04
14694	5.04
99596	6.04
11849	6.01
7757	13.02
21106169	5.04
20545	19.02
10441	3.01
14672	5.01
7511	11.02
10446	7.02
7657	8.02
22453	8.02
6151	4.04
7509	10.02
7872	11.02
10433	8.02
55084	10.02
7875	13.02
2062437	6.04
7065	7.02
11992	7.02
7913	15.02
10325078	7.06
92731	8.06
14256731	13.03
3168	4.01
11153	2.02
29005	9.02
7472	7.02
11207996	7.02
7694	9.02
11833	5.01
16388	15.06
455420	8.01
62249	7.02
10420	8.02
9243	2.01
55188	6.01
7482	8.02
11716	9.02
29016	8.02
7670	9.01
7340	12.01
7747	7.02
7624	6.01
7627	6.02
8568	9.02
14846	11.02
11045	8.02
11228	4.01
10709	4.01
109838	6.02
7478	7.03
10765	4.0
13849665	20.06
7800	10.02
11148	1.01
11843	8.02
923	2.03
7475	7.02
12201	5.0
7515	7.02
29012	7.02
10797	7.01
11109	5.0
7538	9.02
7536	8.02
12972	11.01
61266	67.1
24142	14.0
14829	4.03
23055	5.03
13622	13.0
7463	6.02
10571	6.02
16180	12.0
13836549	12.06
7891	11.0
12446	5.0
55123	8.02
10614293	7.0
29025	8.0
11755	5.02
12635	10.0
7706	6.02
7761	7.02
11121	6.0
7713	4.0
12809	9.0
11230	4.01
7833	7.0
10492	6.02
13837190	4.02
13839109	8.03
7556	3.0
12012	7.02
8158	6.01
66675	7.02
7871	11.01
3441	6.05
7954	2.0
9976	9.01
21153	12.01
14688	15.02
9391	6.04
8525	5.02
7514	7.01
11680	6.02
6176	6.01
6085	1.0
