Compound Id	BondCount
26325084	42
26325083	38
18019	20
8521	20
26325082	34
10449	24
61149	11
2056044	11
26325081	30
26824	16
8520	16
10451	20
2041618	15
6191	7
26325080	26
76894	14
16425	6
6153	4
10784857	18
38403	9
14021447	22
9256	6
23101	12
10675065	8
10652594	15
10696	16
62827	7
11434292	11
21106179	3
122090	13
11557190	18
9095782	7
12577	5
9286	5
61346	8
6190	7
6270	12
9484	4
6105	2
16841	6
4927801	30
109705	18
9088156	15
56144	9
23150	8
108106	24
78828	14
6128	3
10452	12
10606755	9
3631	9
69569	12
15413	10
66656	7
9411	8
454209	5
10733068	25
17619	6
13837650	3
13853215	7
9392	7
66567	10
18971812	7
66655	9
68328	10
13299573	8
56117	8
12161	8
107412	7
67414	18
13803	7
14441700	5
10756390	20
68224	20
61213	5
9254	6
9016	6
73583	7
14998	6
2018165	4
6148	4
69914	15
11671339	15
29040	6
67991	8
454215	6
62826	7
7626	6
59573	6
6156	4
10106	13
10801109	14
512621	8
12933	13
11996	6
13835836	7
9633	8
15789876	19
18688	8
12586	13
71433	5
68503	8
937	0
692	1
23208	2
291	0
274	2
6084	1
6132	3
7956	2
6094	2
11749	5
7555	3
6120	3
7712	4
6308	4
9646	4
10781	7
15802	8
17976	8
7767	5
7604	5
7010	5
6163	5
6340	5
7671	9
9377	6
8560	6
11094	6
11023	6
11055	6
10786	6
7619	6
10755	6
11551	6
349	7
11035	7
11104	7
10795	7
10445	7
8569	8
11841	8
7073	9
123860	9
7849	8
17558	8
13439	8
13402	8
6287	10
10227261	15
14840	9
13448	9
12220	10
13619	10
7890	11
11882	12
11883	13
10540	15
7929	19
11897	20
11899	21
12017	22
12072	23
11900	24
11901	25
11146	26
11902	27
10542	31
11906	35
7823	6
13835376	7
55130	8
6188	7
127750	7
14299946	16
30713	5
14694	5
99596	6
11849	6
7757	13
21106169	5
20545	19
10441	3
14672	5
7511	11
10446	7
7657	8
22453	8
6151	4
7509	10
7872	11
10433	8
55084	10
7875	13
2062437	6
7065	7
11992	7
7913	15
10325078	7
92731	8
14256731	13
3168	4
11153	2
29005	9
7472	7
11207996	7
7694	9
11833	5
16388	15
455420	8
62249	7
10420	8
9243	2
55188	6
7482	8
11716	9
29016	8
7670	9
7340	12
7747	7
7624	6
7627	6
8568	9
14846	11
11045	8
11228	4
10709	4
109838	6
7478	7
10765	4
13849665	20
7800	10
11148	1
11843	8
923	2
7475	7
12201	5
7515	7
29012	7
10797	7
11109	5
7538	9
7536	8
12972	11
61266	23
24142	14
14829	4
23055	5
13622	13
7463	6
10571	6
16180	12
13836549	12
7891	11
12446	5
55123	8
10614293	7
29025	8
11755	5
12635	10
7706	6
7761	7
11121	6
7713	4
12809	9
11230	4
7833	7
10492	6
13837190	4
13839109	8
7556	3
12012	7
8158	6
66675	7
7871	11
3441	6
7954	2
9976	9
21153	12
14688	15
9391	6
8525	5
7514	7
11680	6
6176	6
6085	1
63631	5
13865630	11
7856	8
11706	7
7802	8
12218	10
56232	11
3973	7
6130	3
7534	8
10788	6
7621	6
10101	7
28986	7
13839575	8
12632	9
13836589	5
83734	6
9253	6
215929	8
10791	6
555074	6
7957	3
11125	6
7760	7
4516601	7
8562	6
2863	11
56442	3
4483639	4
11919	8
10653	5
8329688	5
7782	5
4516599	7
16387	15
10777	5
4512361	7
11095	6
11025	6
26325086	9
21106173	9
13835706	14
441	8
2282428	6
9251	6
13850879	18
217	0
1114	3
7838	7
15486	10
56559	18
11898	20
4483638	4
6335	4
4449912	3
11526	5
6311	4
10054	4
7081	6
7607	5
7074	9
12456	9
72522	19
6313	4
7817	6
4512642	7
7928	18
7734	4
5949	6
62632	16
14348	17
7803	8
7076	9
78998	15
17880	8
370	9
29029	9
11884	13
2581	16
16177	12
7730	4
13866746	11
7016	5
15853	11
11864	7
9053802	14
21106586	9
67360	10
63863	8
11891	15
7732	4
18920	8
10113	4
11866	7
15846	9
11845	6
15954	7
11819	7
7566	3
29026	8
7772	5
11739	7
7917	14
6321	4
12209	5
11846	6
7622	6
11861	9
15016	18
11056	6
7915	13
23255	4
10787	6
123993	8
55090	5
11806	4
7630	6
8552	7
68179	8
7901	12
6121	3
7770	5
7558	3
11036	7
10001	6
7064	7
175	3
6146	4
6649	7
11029	7
6123	3
7892	11
8576	10
6095	2
9461	7
14692	9
11099	4
11193	7
256	4
11794	6
7851	8
15387	9
8012	6
7717	4
11732	6
10511	7
654	2
6315	4
6086	1
99440	7
11194	7
455353	8
11110	5
13848341	9
10265264	8
7850	8
7882	10
7577	3
29000	5
8574	9
11239	5
6165	5
11865	7
21011	5
4366810	10
512	3
11793	6
7811	6
7835	7
11216	7
13862665	6
932	8
22814	0
6341	5
11678	6
11543	7
62230	8
7533	8
13836399	7
10526	6
10422	9
12069	8
59483	12
13255	7
10179173	8
7701	6
6149	4
10790	6
71430	9
120464	6
172	2
11180	6
13865426	8
7434	8
259	5
7714	4
10512	5
7812	6
7769	5
7459	6
11024	6
7837	7
3644	3
16778	6
7705	6
191367	7
748	1
5091	19
10437	3
387	5
6312	4
6320	4
10947	5
6040	5
8398	5
960	17
6164	5
18410	10
7546	5
11756	5
7616	5
258	4
7716	4
7564	3
7024	6
7090	10
15438	8
11699	8
16791	7
6097	2
11799	6
6187	7
21800	8
18717	7
13837797	6
16641	2
10205670	4
12442	3
6186	7
60329	5
7790	6
1005	4
11210	7
6101	2
1004	3
2340753	5
10325184	5
24590970	6
11695	7
6102	2
13836591	5
7028	6
7615	5
13884973	7
7674	7
6406	6
682	2
13874867	7
10710415	8
6089	1
6087	1
6098	2
7733	4
9990	3
11727	3
7600	11
8896	5
7466	6
14751	8
1609	5
171	3
7727	4
71628	8
22408	0
7728	4
6338	4
13811	11
13871489	13
864	1
220998	12
221117	8
15765	8
11647	10
7506	10
7737	5
5439	5
7003	8
6322	4
13867413	6
553171	9
11525	5
8554	6
13571291	3
12066	5
7703	6
11265	8
12954	10
13229	10
59577	8
10053	4
10018	6
7787	6
26765	6
192642	6
11788	7
63156	6
122446	7
21181	7
26325090	9
13836520	8
6135	3
6309	4
12626	5
11632	8
9994	4
7636	7
13854944	5
7557	3
6125	3
120621	6
4449	8
55205	7
12445	7
14169248	8
7964	12
6193	13
62597	4
7559	3
7677	7
12197	3
13836674	3
11761	6
29015	6
9642	2
156255	7
20119	6
6118	3
363458	7
7684	7
71390	3
8544	5
12219	9
6307	4
7848	8
13816	5
15077490	6
19956441	7
12637	11
13872989	3
11752	5
8577	10
278	2
61487	5
11863	7
5708	6
10536	8
14349	9
7810	6
391	0
13835977	3
6334	4
592	5
13871721	4
374462	6
558883	4
56020	4
8908	7
376	10
10025	11
5004	13
2275	5
4446445	8
10124	5
7852	8
3951	5
7530	8
7766	5
6333	4
14680	7
7827	6
4514529	0
13835316	3
7711	4
12499	12
19953955	6
21109330	7
13638	8
72056	13
10948	5
7815	6
71312	6
2293678	6
2018460	7
29107	5
21169510	8
7552	3
5993	4
13835293	6
62589	7
7738	5
7686	7
7480	8
7776	5
127983	1
1087	2
6092	2
6042	4
6316	4
8878	8
34095	11
7568	3
10340	6
4444608	6
10939	8
11107	7
13835224	4
8141	6
9233	4
23621376	5
21111806	8
69371	8
66565	8
18685	10
15443	8
844	6
18607	4
11930	7
62628	9
67653	9
7030	6
11875	8
7721	4
2656	12
21108550	8
7560	3
13839416	7
13836021	4
13835861	5
7029	6
394562	4
10498	4
13839441	6
21112738	3
6104	2
4481813	3
60524	4
11729	3
9325	8
11694	7
11086	7
13849981	10
6103	2
5894	4
13835209	5
7788	6
13839553	4
6083	1
6314	4
61707	5
63054	11
4510484	8
15803	11
26563	18
70660	11
7679	7
13835235	3
1039	2
10772140	4
28994	3
4937830	3
29008	5
11809	4
8543	4
6111	3
68832	7
13842001	7
22191	8
75951	9
72793	9
72551	10
24641	10
11632871	16
33416	15
29001	6
21106032	5
8909	8
11857	7
7330	5
69982	11
21106015	3
552744	5
10464	5
61191	11
61001	13
8912	12
7791	6
13866593	6
7098	11
7026	6
553742	3
5977	3
13837702	5
13837537	6
9724	11
18801	7
59674	5
558928	3
6330	4
11244	5
7021	5
11795	6
10488	7
13647	9
6402	11
68156	6
71876	12
415	4
10487	7
763	1
13835336	3
24099	5
173	3
5730	4
7678	7
553642	8
13861343	6
13835550	3
8733	4
48024	7
10265270	11
693	2
124968	7
62808	7
8910	10
9614	7
60886	19
28993	9
17131	13
13875283	8
9363	7
13849989	10
11351244	8
558020	7
7553	3
20939	10
518	0
6326	4
20198	14
1143	3
61111	7
4444456	4
2441	12
6296	10
391428	11
733	5
9970	8
8960	1
11117	6
191	9
13837280	4
659	3
1078	7
13835604	6
10772050	6
14198	11
71787	7
7528	8
6827	13
499714	8
7018	5
11911	5
6093	2
13836713	3
21106535	5
7013	5
59447	7
10179239	11
86007	18
390927	11
10756	11
7961	5
12643	7
19231	8
13835630	9
13835459	6
9581	9
13875196	9
73412	5
13492	13
15747	14
