Compound Id	RotatableBondsCount
26325084	20
26325083	18
18019	8
8521	8
26325082	16
10449	0
61149	3
2056044	3
26325081	14
26824	6
8520	6
10451	0
2041618	6
6191	1
26325080	12
76894	6
16425	0
6153	0
10784857	0
38403	3
14021447	10
9256	1
23101	4
10675065	3
10652594	0
10696	0
62827	2
11434292	4
21106179	0
122090	5
11557190	8
9095782	1
12577	1
9286	1
61346	2
6190	1
6270	8
9484	0
6105	0
16841	1
4927801	10
109705	3
9088156	7
56144	2
23150	2
108106	8
78828	6
6128	0
10452	0
10606755	2
3631	3
69569	4
15413	6
66656	2
9411	3
454209	1
10733068	5
17619	2
13837650	1
13853215	1
9392	1
66567	2
18971812	1
66655	3
68328	4
13299573	2
56117	4
12161	4
107412	2
67414	6
13803	3
14441700	1
10756390	4
68224	4
61213	1
9254	1
9016	1
73583	1
14998	2
2018165	1
6148	0
69914	3
11671339	3
29040	1
67991	2
454215	1
62826	2
7626	2
59573	2
6156	0
10106	9
10801109	8
512621	2
12933	9
11996	2
13835836	4
9633	6
15789876	12
18688	3
12586	9
71433	1
68503	4
937	0
692	0
23208	0
291	0
274	0
6084	0
6132	0
7956	0
6094	0
11749	2
7555	1
6120	0
7712	2
6308	1
9646	0
10781	2
15802	5
17976	3
7767	3
7604	2
7010	2
6163	1
6340	1
7671	4
9377	4
8560	4
11094	3
11023	3
11055	2
10786	2
7619	2
10755	2
11551	3
349	5
11035	4
11104	3
10795	2
10445	2
8569	6
11841	4
7073	4
123860	7
7849	6
17558	5
13439	2
13402	4
6287	6
10227261	9
14840	7
13448	3
12220	8
13619	8
7890	9
11882	10
11883	11
10540	13
7929	17
11897	18
11899	19
12017	20
12072	21
11900	22
11901	23
11146	24
11902	25
10542	29
11906	33
7823	4
13835376	5
55130	4
6188	1
127750	5
14299946	0
30713	1
14694	1
99596	1
11849	4
7757	10
21106169	1
20545	15
10441	1
14672	1
7511	8
10446	2
7657	4
22453	4
6151	0
7509	7
7872	8
10433	4
55084	7
7875	10
2062437	1
7065	3
11992	3
7913	12
10325078	1
92731	2
14256731	8
3168	2
11153	0
29005	6
7472	3
11207996	3
7694	6
11833	3
16388	9
