Compound Id	ALOGP [ALogP]
692	-0.884
6153	2.437
127983	-0.127
291	0.0
21106179	1.027
16425	1.193
23208	-0.817
6105	0.477
11148	0.582
274	-0.147
6086	0.939
9256	1.702
923	-0.392
937	0.0
6085	0.947
217	0.0
9484	1.439
22814	0.0
22408	0.0
9286	1.208
12577	1.589
6084	0.682
6128	0.945
9243	0.832
62827	1.587
6132	1.224
391	0.0
38403	2.236
1087	-0.047
16641	0.883
7954	1.147
864	-0.358
11153	0.775
748	0.568
6095	1.407
6094	-0.185
518	N/A
16841	2.0
6148	1.636
2056044	3.055
6151	3.011
6087	0.847
9095782	1.086
4514529	0.0
10675065	1.349
21106169	0.649
172	-0.183
763	-0.921
7956	0.050
7577	-0.058
6089	-0.648
6111	-0.864
29040	2.211
10606755	1.497
6098	1.002
6120	1.012
13837650	1.512
13853215	2.590
61149	2.191
12197	1.472
682	-0.108
61346	2.105
7558	1.072
7556	0.471
454215	2.102
7557	1.415
278	-0.309
7957	1.796
654	-0.216
9461	1.142
6130	1.420
7555	-0.473
11727	-0.869
1114	0.320
14441700	1.058
8960	-1.191
6083	0.991
454209	0.306
56442	1.347
6101	-0.397
6097	1.097
175	-0.244
4449912	1.347
6102	0.045
9016	2.298
7559	0.408
2018165	1.360
7733	0.219
3644	-0.408
6156	3.176
512	-0.106
171	-0.230
9646	2.198
9254	2.197
7734	0.193
9411	1.360
13835550	-1.477
6135	0.426
13837190	-0.098
10325078	2.793
7732	0.385
6335	0.021
7738	-0.154
14829	1.833
4481813	-0.141
10765	1.280
71390	1.624
6149	3.298
13872989	0.259
9391	0.639
6146	0.573
3631	2.534
6121	0.797
61213	1.299
3441	2.509
11099	1.477
11806	0.591
6308	0.336
3168	0.551
6104	1.073
1004	-0.685
66567	1.890
1039	0.795
7713	0.726
73583	2.237
6103	0.864
7566	0.121
9994	-0.419
10709	-0.277
6309	1.861
6088	1.522
13299573	2.309
13836674	1.463
13835316	1.688
6092	1.242
14694	2.051
6313	0.542
11230	0.571
7564	-0.975
7616	0.105
2062437	1.988
7712	-0.761
4483639	0.671
10437	0.519
30713	1.803
2282428	2.408
6188	2.786
4483638	0.671
7330	0.998
12442	1.392
7546	-0.430
9251	2.4
18971812	1.384
71433	3.060
10113	1.996
11755	-0.108
7790	-0.446
107412	1.851
56144	2.688
56020	1.615
13835977	-0.031
256	-0.394
10054	1.778
1005	-0.154
553742	1.057
558883	1.615
99596	2.04
6333	0.361
6321	-0.168
23055	1.255
8525	0.271
6125	1.541
4514586	0.0
11526	0.664
6322	0.347
6320	-0.696
13836549	2.878
6163	1.863
62826	1.996
6108	1.651
11729	1.046
14672	0.982
6118	0.941
7730	0.285
11756	1.045
8544	0.691
23255	-0.986
6312	0.124
6338	0.789
12201	1.343
62597	-0.029
8329688	1.443
13837797	1.284
10653	0.097
13835336	-1.187
7782	-0.385
21106015	0.307
7727	-0.778
558928	1.057
6093	1.284
693	-0.704
11110	1.926
6311	0.769
8896	-1.440
5977	1.617
7728	-0.489
2340753	2.195
6340	1.146
9253	2.494
7626	-0.050
7604	0.592
7553	1.608
12209	0.303
394562	0.608
10325184	2.255
83734	2.393
6315	0.508
7627	-0.029
7717	-0.167
387	0.6
60524	-0.202
11109	0.438
63631	0.270
6100	1.773
13866746	2.399
7010	-0.340
14998	2.353
12446	0.980
7560	0.286
258	-0.973
10053	1.922
124968	0.103
7716	-1.263
7552	0.664
7737	-0.707
10571	0.746
17619	0.693
11809	0.019
13836713	1.230
13836589	-0.080
11833	-0.565
13835235	-0.897
7767	-1.049
7030	0.483
13836021	-0.755
10124	2.308
59573	1.062
10777	0.480
6341	0.494
10018	-0.567
558020	0.236
12626	0.226
13836591	-0.238
11996	1.232
6165	-0.103
7714	0.231
13862665	0.638
6042	2.029
7630	-0.195
259	-0.442
7607	-0.456
5894	0.091
21108550	0.959
7772	-0.682
21111806	0.959
236	0.0
9614	0.480
62808	0.480
10492	0.425
7736	-0.420
11055	1.382
10446	0.952
7463	0.348
7619	1.208
7016	-0.092
13871721	0.459
7739	0.591
7706	-0.306
7028	-0.718
5730	3.585
6316	1.501
8903	0.0
24590970	2.185
21011	-0.984
9325	0.959
415	-1.765
55090	1.102
10947	-0.984
10772140	0.303
28994	-0.601
13839553	-1.185
3973	2.143
71312	2.612
3951	0.914
592	-0.806
8904	0.0
8899	0.591
60329	-0.528
6406	1.165
2916	1.496
2293678	2.721
6119	1.821
29015	-0.262
11680	-0.191
7624	-0.316
7615	0.211
7090	1.098
6122	1.472
7024	0.069
55188	0.306
11117	1.447
13835224	-0.908
6176	1.302
62249	1.567
13803	1.477
10755	1.528
9377	-0.609
15077490	2.706
7823	-0.604
11125	-0.673
6307	1.473
7787	-1.728
6334	-0.523
13255	-0.728
109838	0.170
11849	-0.314
173	-0.625
66656	2.424
13837280	1.743
11845	0.015
11094	0.304
13854944	-0.219
29000	-0.164
8398	-0.552
10791	0.557
8733	-1.475
10786	0.470
8554	-0.995
92731	2.507
7788	0.403
9233	1.296
1020	0.0
11992	0.047
6187	2.983
8158	1.071
11023	-0.084
11731	1.386
11207996	-0.986
1609	-1.067
7721	-0.002
1095	0.038
11121	0.150
10498	0.825
7065	0.996
7791	-1.261
109705	3.294
7636	0.472
7621	0.354
11551	-1.016
13835836	0.871
7711	0.376
8543	1.224
6040	-1.261
10445	2.450
11351244	1.125
7770	-0.455
23150	4.154
12161	1.312
13874867	-0.208
31029	1.195
4444456	1.518
7769	-1.551
18607	0.468
10001	0.368
7747	0.503
10788	-0.196
23621376	-1.196
5993	-0.499
8560	-1.337
555074	0.638
10437074	0.744
13861343	3.759
7705	-0.539
8141	-0.770
10512	-0.057
11180	0.707
7701	-0.730
62589	-0.840
7686	-1.272
5439	0.269
11056	0.153
7026	-1.663
66675	4.308
2005981	0.271
7622	0.369
7684	0.008
8900	0.0
11025	-0.380
7475	0.060
59674	1.039
21171407	2.139
11095	-0.744
13837537	-0.528
10614293	2.450
6326	1.956
56117	1.563
7466	0.371
29036	2.025
7761	0.137
21168808	1.030
11104	1.657
16778	-0.816
13835376	0.420
127750	-0.408
10790	-0.175
2018460	2.837
68503	1.662
13863629	-0.347
7674	-0.219
1143	-0.628
1108	0.642
7029	-0.333
29001	-0.473
11788	-0.725
11732	1.363
7688	0.440
7515	-0.230
11794	-1.272
13836520	0.384
11678	-1.272
2038738	0.035
8562	-0.871
29012	-0.594
21106535	1.001
13875283	1.122
13867413	0.081
13837702	-2.053
5949	-0.970
71089	0.051
7551	1.801
11706	-0.479
66996	0.3
61487	1.246
10797	1.205
26325086	0.139
7478	1.165
11799	-0.077
13839199	0.440
13835459	-0.794
11793	0.092
10534	1.466
9326	0.019
63863	1.257
659	-0.317
7459	-0.296
10787	-0.563
12228	0.0
18688	1.818
10795	1.279
55130	-0.241
11086	0.656
11841	1.015
12012	-0.961
4489	-0.019
48024	-0.259
11024	-0.840
512621	2.693
66655	4.241
21106032	0.936
6330	-0.549
11035	-0.372
13439	3.569
7021	-0.423
7018	-0.203
120464	0.426
11864	-0.273
4444608	0.188
10948	-1.196
11761	0.695
12229	-0.392
24099	-1.763
22453	0.320
12499	1.938
7833	-0.138
7657	0.869
7013	2.206
13837281	2.429
5708	0.592
7703	-0.797
4512642	0.506
4516601	0.350
11244	-0.423
4516599	0.506
11846	-0.743
7812	-1.549
10652594	1.385
7766	0.088
844	-0.445
13816	-0.446
19953955	-1.773
7776	-0.290
1141	-0.751
11857	0.115
66021	0.534
10497	0.907
70715	0.503
21106520	0.642
66809	-0.052
10452	3.036
10433	0.580
29107	-0.420
10265264	1.289
13874733	0.642
11911	2.444
7811	-1.839
13836399	-1.104
7676	0.744
7064	0.074
349	-1.625
10488	-0.621
4514549	0.0
11193	0.981
4512361	0.350
11739	-0.135
8552	-1.018
8908	-2.016
28986	-0.668
10526	-0.345
17443	-0.052
68832	-0.397
21800	0.202
10179173	1.289
81815	0.660
29016	0.215
7003	1.782
59447	-0.805
13839109	0.141
13865426	0.043
7678	-1.951
13842613	0.879
71430	-0.569
7760	-1.032
971	-0.460
10420	-0.228
11695	0.621
12643	-0.363
7219	0.307
11784	0.744
7482	-0.518
13838404	2.229
7679	-1.058
15443	-0.690
11434292	5.274
65936	0.035
13835209	-1.473
7677	-2.240
6342	2.399
15438	-0.352
1348	0.115
11216	-0.524
68328	4.328
4517338	0.621
