Compound Id	AutocorrelationMass [ATSm3]
692	0.0
6153	15.012
127983	0.0
291	0.0
21106179	7.506
16425	37.531
23208	1.774
6105	2.502
11148	0.0
274	1.774
6086	0.0
9256	17.917
923	1.553
937	0.0
6085	0.0
217	0.0
9484	12.251
22814	0.0
22408	0.0
9286	11.331
12577	13.833
6084	0.0
6128	5.666
9243	1.582
62827	17.077
6132	11.840
391	0.0
38403	24.989
1087	1.774
16641	3.932
7954	1.0
864	0.0
11153	4.669
748	0.0
6095	1.0
6094	1.0
518	0.0
16841	21.454
6148	17.955
2056044	32.830
6151	29.891
6087	0.0
9095782	19.658
4514529	0.0
10675065	16.495
21106169	13.584
172	1.332
763	0.0
7956	1.0
7577	2.774
6089	0.0
6111	0.0
29040	31.009
10606755	26.852
6098	2.952
6120	3.0
13837650	5.903
13853215	35.911
61149	30.990
12197	2.0
682	1.332
61346	31.207
7558	2.0
7556	2.0
454215	39.030
7557	2.0
278	1.774
7957	3.0
654	1.0
9461	15.916
6130	18.051
7555	2.0
11727	2.553
1114	3.0
14441700	18.955
8960	0.0
6083	0.0
454209	10.829
56442	2.0
6101	1.166
6097	2.952
175	3.664
4449912	2.0
6102	1.166
9016	26.868
7559	2.332
2018165	8.617
7733	3.664
3644	3.664
6156	6.0
512	2.332
171	4.439
9646	6.0
9254	27.158
7734	4.107
9411	19.022
13835550	2.332
6135	4.439
13837190	3.774
10325078	58.267
7732	3.664
6335	5.439
7738	5.664
14829	25.536
4481813	2.498
10765	4.0
71390	34.829
6149	40.145
13872989	2.332
9391	15.916
6146	6.996
3631	28.184
6121	6.903
61213	12.781
3441	41.493
11099	3.0
11806	3.0
6308	4.0
3168	3.664
6104	8.713
1004	2.332
66567	31.499
1039	1.0
7713	3.0
73583	33.771
6103	2.670
7566	2.166
9994	2.332
10709	3.332
6309	4.0
6088	0.0
13299573	46.616
13836674	3.952
13835316	14.616
6092	6.653
14694	20.907
6313	4.332
11230	4.166
7564	2.166
7616	6.771
2062437	26.557
7712	3.0
4483639	3.0
10437	3.952
30713	18.405
2282428	36.713
6188	43.491
4483638	3.0
7330	5.0
12442	8.234
7546	3.332
9251	42.567
18971812	24.565
71433	8.338
10113	4.0
11755	6.439
7790	8.323
107412	18.447
56144	36.987
56020	3.0
13835977	2.166
256	3.332
10054	11.855
1005	5.439
553742	5.903
558883	3.0
99596	24.859
6333	5.439
6321	4.664
23055	26.536
8525	6.771
6125	14.616
4514586	0.0
11526	7.323
6322	4.664
6320	4.664
13836549	24.981
6163	7.0
62826	22.147
6108	7.128
11729	3.670
14672	7.996
6118	14.305
7730	3.332
11756	7.822
8544	5.0
23255	4.332
6312	4.332
6338	5.605
12201	5.0
62597	3.332
8329688	16.482
13837797	5.664
10653	6.439
13835336	2.498
7782	5.107
21106015	4.284
7727	3.498
558928	5.903
6093	19.637
693	1.553
11110	4.0
6311	4.166
8896	5.0
5977	26.138
7728	3.664
2340753	24.608
6340	6.0
9253	32.572
7626	8.328
7604	5.0
7553	7.653
12209	4.0
394562	3.332
10325184	36.316
83734	34.739
6315	7.903
7627	9.103
7717	3.166
387	7.771
60524	4.664
11109	4.0
63631	6.332
6100	10.566
13866746	21.818
7010	5.0
14998	10.667
12446	5.0
7560	3.670
258	3.332
10053	22.958
124968	10.382
7716	3.166
7552	7.653
7737	5.664
10571	8.439
17619	12.796
11809	5.284
13836713	3.670
13836589	4.664
11833	4.332
13835235	2.664
7767	4.0
7030	9.988
13836021	3.498
10124	6.0
59573	12.780
10777	6.664
6341	7.439
10018	7.439
558020	10.091
12626	4.332
13836591	4.996
11996	9.328
6165	7.996
7714	4.952
13862665	7.771
6042	34.993
7630	9.877
259	6.439
7607	5.664
5894	4.886
21108550	12.327
7772	4.332
21111806	12.327
236	6.0
9614	9.164
62808	9.856
10492	7.107
7736	5.332
11055	8.0
10446	12.435
7463	7.771
7619	7.0
7016	5.664
13871721	3.332
7739	8.340
7706	7.771
7028	7.996
5730	52.277
6316	9.855
8903	6.692
24590970	32.261
21011	5.664
9325	12.327
415	3.332
55090	12.855
10947	5.664
10772140	7.390
28994	2.553
13839553	3.664
3973	26.828
71312	52.122
3951	7.439
592	8.103
8904	6.665
8899	8.949
60329	4.830
6406	8.439
2916	44.258
2293678	69.815
6119	47.987
29015	7.328
11680	7.439
7624	7.665
7615	6.605
7090	20.251
6122	22.132
7024	7.0
55188	8.996
11117	6.0
13835224	4.996
6176	9.664
62249	11.439
13803	16.335
10755	8.0
9377	5.582
15077490	47.197
7823	5.664
11125	6.107
6307	9.653
7787	6.0
6334	5.052
13255	10.328
109838	5.996
11849	5.664
173	4.052
66656	16.128
13837280	17.568
11845	5.0
11094	6.0
13854944	5.498
29000	5.332
8398	5.332
10791	7.664
8733	3.498
10786	7.0
8554	6.664
92731	44.736
7788	6.0
9233	6.340
1020	6.332
11992	10.103
6187	51.072
8158	6.499
11023	6.0
11731	5.340
11207996	9.439
1609	4.498
7721	4.670
1095	8.340
11121	5.0
10498	5.118
7065	9.771
7791	6.332
109705	48.754
7636	12.320
7621	7.664
11551	6.0
13835836	9.103
7711	8.653
8543	6.903
6040	4.332
10445	10.0
11351244	11.0
7770	4.166
23150	19.460
12161	20.0
13874867	10.103
31029	11.566
