Compound Id	AutocorrelationPolarizability [ATSp2]
692	5.773
6153	16.222
127983	3.160
291	0.0
21106179	12.978
16425	126.470
23208	4.128
6105	9.210
11148	4.892
274	9.539
6086	9.850
9256	55.471
923	9.420
937	0.0
6085	15.218
217	0.0
9484	40.165
22814	0.0
22408	0.0
9286	48.587
12577	48.2
6084	14.973
6128	32.546
9243	24.157
62827	105.805
6132	42.292
391	0.0
38403	123.247
1087	37.212
16641	24.012
7954	47.441
864	8.309
11153	30.714
748	5.853
6095	35.201
6094	46.125
518	N/A
16841	110.041
6148	91.906
2056044	191.220
6151	110.674
6087	18.215
9095782	156.371
4514529	0.0
10675065	154.911
21106169	59.634
172	26.506
763	3.642
7956	29.341
7577	40.965
6089	13.017
6111	67.403
29040	149.689
10606755	147.326
6098	56.602
6120	98.2
13837650	115.755
13853215	210.602
61149	200.248
12197	76.423
682	32.242
61346	182.865
7558	73.883
7556	91.333
454215	160.098
7557	94.182
278	16.285
7957	101.472
654	41.354
9461	139.989
6130	88.367
7555	88.529
11727	43.469
1114	89.752
14441700	145.668
8960	11.216
6083	29.452
454209	123.543
56442	91.149
6101	42.476
6097	55.131
175	65.702
4449912	91.149
6102	25.988
9016	184.514
7559	64.281
2018165	81.077
7733	110.118
3644	75.118
6156	123.449
512	62.006
171	47.106
9646	175.942
9254	188.181
7734	77.086
9411	160.096
13835550	79.021
6135	34.975
13837190	79.215
10325078	275.439
7732	106.740
6335	82.779
7738	137.431
14829	164.598
4481813	56.717
10765	158.549
71390	121.823
6149	189.327
13872989	71.904
9391	109.994
6146	141.683
3631	202.010
6121	114.727
61213	140.912
3441	235.412
11099	145.563
11806	120.883
6308	153.833
3168	103.410
6104	64.790
1004	69.475
66567	225.868
1039	81.077
7713	141.680
73583	291.387
6103	77.238
7566	60.730
9994	87.614
10709	106.755
6309	163.763
6088	59.588
13299573	234.604
13836674	104.654
13835316	136.304
6092	78.199
14694	164.462
6313	119.199
11230	143.057
7564	83.722
7616	129.773
2062437	208.627
7712	137.844
4483639	142.063
10437	101.674
30713	165.128
2282428	237.894
6188	318.947
4483638	142.063
7330	204.541
12442	94.759
7546	138.872
9251	242.541
18971812	251.485
71433	186.296
10113	158.788
11755	134.413
7790	131.803
107412	165.637
56144	293.111
56020	145.959
13835977	86.429
256	107.011
10054	201.746
1005	89.244
553742	118.813
558883	145.959
99596	251.363
6333	92.744
6321	113.569
23055	234.741
8525	125.865
6125	132.394
4514586	0.0
11526	98.860
6322	117.577
6320	124.838
13836549	351.975
6163	246.780
62826	206.638
6108	111.696
11729	142.801
14672	198.325
6118	152.535
7730	128.948
11756	84.009
8544	198.044
23255	146.768
6312	128.617
6338	71.808
12201	216.028
62597	118.987
8329688	179.156
13837797	209.232
10653	131.768
13835336	65.129
7782	122.001
21106015	81.201
7727	101.745
558928	118.813
6093	89.610
693	23.761
11110	200.222
6311	116.943
8896	191.642
5977	151.203
7728	86.694
2340753	205.4
6340	234.342
9253	280.462
7626	235.709
7604	210.948
7553	135.904
12209	172.849
394562	110.656
10325184	214.799
83734	289.367
6315	175.157
7627	191.062
7717	105.191
387	130.223
60524	111.026
11109	195.673
63631	220.826
6100	135.696
13866746	333.249
7010	217.167
14998	186.706
12446	217.286
7560	130.905
258	115.504
10053	257.204
124968	212.405
7716	132.316
7552	132.470
7737	150.494
10571	204.356
17619	N/A
11809	130.254
13836713	134.331
13836589	124.489
11833	156.562
13835235	52.428
7767	191.183
7030	133.785
13836021	107.959
10124	249.354
59573	153.929
10777	185.136
6341	154.091
10018	169.449
558020	213.367
12626	171.101
13836591	128.879
11996	254.068
6165	205.865
7714	153.647
13862665	179.193
6042	258.241
7630	149.380
259	138.165
7607	166.039
5894	89.8
21108550	275.033
7772	157.791
21111806	274.878
236	233.878
9614	254.527
62808	214.474
10492	189.834
7736	166.968
11055	312.585
10446	283.115
7463	178.928
7619	292.742
7016	168.844
13871721	119.312
7739	274.869
7706	174.898
7028	222.005
5730	288.931
6316	194.499
8903	195.818
24590970	309.159
21011	178.358
9325	274.569
415	126.857
55090	278.041
10947	182.011
10772140	103.280
28994	56.292
13839553	94.555
3973	267.485
71312	297.944
3951	160.023
592	124.414
8904	195.759
8899	253.051
60329	145.413
6406	211.501
2916	118.447
2293678	292.668
6119	194.133
29015	169.142
11680	184.701
7624	278.694
7615	117.250
7090	369.246
6122	243.153
7024	274.795
55188	270.444
11117	272.842
13835224	101.939
6176	285.146
62249	305.289
13803	167.725
10755	326.110
9377	205.221
15077490	341.426
7823	200.478
11125	172.545
6307	211.974
7787	257.710
6334	105.599
13255	302.676
109838	168.759
11849	202.842
173	61.023
66656	N/A
13837280	224.310
11845	227.675
11094	268.731
13854944	173.223
29000	184.828
8398	188.295
10791	248.707
8733	110.287
10786	306.267
8554	211.418
92731	339.061
7788	265.218
9233	212.537
1020	214.456
11992	248.619
6187	447.195
8158	272.758
11023	278.652
11731	210.488
11207996	269.524
1609	150.945
7721	187.268
1095	282.063
11121	251.684
10498	119.406
7065	256.010
7791	246.216
109705	679.588
7636	200.882
7621	242.599
11551	288.5
13835836	234.921
7711	189.215
8543	170.222
6040	166.871
10445	403.958
11351244	460.017
7770	155.624
23150	273.946
12161	180.584
13874867	214.026
31029	206.250
4444456	174.898
7769	185.226
18607	204.418
10001	210.681
7747	247.276
10788	251.975
23621376	128.903
5993	109.655
8560	246.799
555074	252.764
10437074	304.995
13861343	311.443
7705	193.047
8141	222.601
10512	208.599
11180	295.910
7701	191.150
62589	335.991
7686	334.491
5439	120.010
11056	267.766
7026	236.374
66675	281.339
2005981	140.304
7622	256.063
7684	282.099
8900	111.144
11025	225.573
7475	234.173
59674	144.0
21171407	210.583
11095	221.124
13837537	200.847
10614293	403.958
6326	218.266
56117	252.098
7466	169.723
29036	242.417
7761	246.857
21168808	383.283
11104	351.142
16778	177.394
13835376	214.227
127750	218.462
10790	263.960
2018460	360.071
68503	235.006
13863629	229.107
7674	348.673
1143	56.514
1108	320.438
7029	175.491
29001	195.420
11788	332.758
11732	282.190
7688	274.212
7515	230.291
11794	234.029
13836520	257.795
11678	239.808
2038738	294.137
8562	235.230
29012	227.786
21106535	221.680
13875283	341.863
13867413	148.961
13837702	179.313
5949	211.933
71089	272.477
7551	184.801
11706	239.963
66996	300.871
61487	343.409
10797	337.757
26325086	363.827
7478	188.133
11799	168.112
13839199	296.012
13835459	234.932
11793	242.199
10534	361.311
9326	302.267
63863	198.907
659	139.293
7459	247.653
10787	266.403
12228	N/A
18688	361.856
10795	404.848
55130	306.380
11086	359.204
11841	349.231
12012	226.475
4489	348.132
48024	320.3
11024	250.374
512621	N/A
66655	348.361
21106032	226.554
6330	107.616
11035	338.873
13439	525.644
7021	150.313
7018	173.730
120464	363.047
11864	284.111
4444608	218.299
10948	155.534
11761	418.172
12229	261.733
24099	161.110
22453	325.760
12499	383.437
7833	308.798
7657	313.637
7013	289.184
13837281	360.666
5708	201.254
7703	249.335
4512642	311.747
4516601	310.050
11244	165.807
4516599	311.747
11846	209.556
7812	221.341
10652594	N/A
7766	247.007
844	137.8
13816	159.465
19953955	180.314
7776	244.829
1141	272.136
11857	343.568
66021	302.861
10497	272.686
70715	359.446
21106520	297.859
66809	316.312
10452	371.945
10433	305.204
29107	173.014
10265264	445.690
13874733	298.767
11911	374.143
7811	240.595
13836399	229.998
7676	351.276
7064	278.149
349	303.682
10488	239.681
4514549	0.0
11193	325.286
4512361	310.050
11739	328.162
8552	246.505
8908	334.866
28986	284.691
10526	265.161
17443	294.105
68832	256.770
21800	456.364
10179173	445.690
81815	202.729
29016	304.649
7003	323.531
59447	321.556
13839109	238.723
13865426	264.447
7678	306.967
13842613	386.705
71430	340.041
7760	277.688
971	280.436
10420	290.721
11695	222.767
12643	316.091
7219	395.764
11784	327.730
7482	286.834
13838404	296.056
7679	292.196
15443	377.472
11434292	N/A
65936	296.408
13835209	143.447
7677	338.858
6342	350.808
15438	414.597
1348	223.314
11216	344.816
68328	426.496
4517338	251.262
11194	377.472
11819	314.082
13402	511.434
20843	368.484
55091	383.659
10487	380.736
15954	330.412
11045	284.479
11210	359.260
7521	412.980
7641	416.343
11543	326.455
13638	389.709
11752	155.890
7242	368.396
11843	283.022
7530	411.602
15765	456.364
10101	117.862
16791	277.497
11029	300.001
9633	317.947
28992	358.491
18717	375.430
6106	272.010
99440	362.695
7838	267.983
120621	229.861
9581	363.812
15413	319.649
7710	246.932
7536	296.585
7689	325.628
10710415	273.990
14751	426.109
7073	387.558
24533	344.815
7238	341.734
13835293	255.023
13866593	234.417
13875196	363.003
120489	291.809
10197150	198.161
374462	253.448
13839575	236.396
8569	307.667
11600	308.140
5889	311.012
191367	222.222
6967	423.440
192642	237.716
1078	190.820
23101	430.679
17558	385.079
55123	282.373
68179	291.163
733	130.602
11042	385.319
21132380	389.538
9349	332.325
73412	265.939
235	348.502
7827	347.058
68156	215.255
773	149.970
17880	341.441
20119	209.616
70714	364.732
7225	322.395
7786	382.469
7224	344.408
13448	580.415
7673	414.533
10940	395.546
10939	390.185
13842993	549.417
29025	366.510
1664	289.568
7128	497.826
455420	322.672
11866	265.483
21105905	371.391
10772050	348.811
26765	215.358
7681	410.242
7837	277.572
553642	412.366
21106560	372.862
11830	336.162
7810	305.217
7815	302.902
13842001	307.365
21169510	479.759
11930	307.221
10437135	352.627
7835	297.339
19956441	234.757
78	321.211
67991	336.341
455353	285.081
13875281	460.441
2039535	349.521
13837686	410.837
7240	376.337
123993	417.419
7849	361.262
7803	303.213
11783	389.227
13839441	196.424
18219	387.646
83866	360.698
13875160	446.387
11865	322.587
11077	390.504
21106586	362.826
13835772	375.985
83850	360.698
7221	380.898
11699	277.947
7385	463.776
7391	399.771
7670	455.152
13860335	360.657
19231	308.588
29005	348.050
7443	364.606
22191	316.868
7802	335.079
7389	375.488
7241	318.813
6179	541.498
7694	341.738
24972	462.144
62489	319.936
6286	251.503
7528	414.156
11660	491.507
62230	430.531
8568	339.638
7129	509.269
69371	494.422
10784857	N/A
21105871	371.891
13839082	369.929
63889	381.094
21109330	362.614
10937	398.457
7236	365.611
1577	165.737
122090	516.854
8909	403.039
11716	340.430
12231	393.526
10384035	346.568
6270	389.382
156255	352.990
7659	521.890
11409	507.899
6402	814.910
11919	399.039
7856	348.087
13257	349.550
21106036	404.236
13840690	422.194
7765	307.081
7538	353.990
71787	236.484
441	325.099
2606	365.384
11795	213.940
6287	252.749
14692	429.878
7223	387.458
7685	386.544
123860	315.344
7672	446.321
9970	388.868
13857694	486.570
16159	407.211
7088	631.368
28969	429.427
12069	278.217
11265	379.580
13648	406.407
13876539	420.854
7533	408.728
7131	451.377
7434	381.131
13866817	480.791
6977	525.673
13854136	412.382
447	397.313
13837760	331.360
13835151	402.902
191	302.699
7234	382.603
71628	357.157
7132	435.373
11087	557.989
18801	271.298
13837988	499.027
10696	561.577
76894	N/A
12456	399.263
12445	332.255
69569	497.447
12809	424.543
7138	359.244
10236	536.577
13863618	405.679
4446445	332.550
