Compound Id	CarbonTypes [C2SP3]
692	0
6153	0
127983	0
291	0
21106179	0
16425	0
23208	0
6105	0
11148	0
274	0
6086	0
9256	0
923	0
937	0
6085	0
217	0
9484	0
22814	0
22408	0
9286	0
12577	0
6084	0
6128	0
9243	0
62827	1
6132	0
391	0
38403	0
1087	0
16641	0
7954	0
864	0
11153	0
748	0
6095	0
6094	1
518	0
16841	0
6148	0
2056044	2
6151	0
6087	0
9095782	2
4514529	0
10675065	2
21106169	0
172	0
763	0
7956	0
7577	0
6089	0
6111	3
29040	0
10606755	1
6098	0
6120	0
13837650	0
13853215	0
61149	2
12197	0
682	0
61346	1
7558	1
7556	1
454215	0
7557	0
278	0
7957	0
654	0
9461	0
6130	0
7555	2
11727	0
1114	0
14441700	1
8960	0
6083	0
454209	2
56442	0
6101	0
6097	0
175	0
4449912	0
6102	0
9016	0
7559	0
2018165	0
7733	0
3644	1
6156	0
512	1
171	0
9646	0
9254	0
7734	0
9411	0
13835550	0
6135	0
13837190	0
10325078	0
7732	0
6335	0
7738	2
14829	0
4481813	0
10765	0
71390	0
6149	0
13872989	0
9391	1
6146	0
3631	0
6121	1
61213	1
3441	0
11099	1
11806	2
6308	1
3168	0
6104	0
1004	1
66567	0
1039	0
7713	2
73583	1
6103	0
7566	1
9994	1
10709	1
6309	0
6088	0
13299573	1
13836674	0
13835316	0
6092	0
14694	0
6313	0
11230	0
7564	1
7616	0
2062437	1
7712	3
4483639	1
10437	1
30713	0
2282428	0
6188	0
4483638	1
7330	1
12442	0
7546	2
9251	0
18971812	2
71433	0
10113	0
11755	1
7790	0
107412	1
56144	1
56020	0
13835977	0
256	2
10054	0
1005	1
553742	0
558883	0
99596	1
6333	0
6321	1
23055	1
8525	0
6125	0
4514586	0
11526	0
6322	0
6320	2
13836549	6
6163	1
62826	1
6108	0
11729	0
14672	0
6118	1
7730	0
11756	0
8544	3
23255	2
6312	0
6338	0
12201	1
62597	1
8329688	1
13837797	0
10653	1
13835336	0
7782	1
21106015	0
7727	0
558928	0
6093	0
693	0
11110	2
6311	0
8896	5
5977	0
7728	0
2340753	0
6340	0
9253	0
7626	2
7604	2
7553	0
12209	3
394562	0
10325184	0
83734	0
6315	2
7627	1
7717	2
387	1
60524	0
11109	3
63631	1
6100	0
13866746	6
7010	2
14998	0
12446	2
7560	1
258	2
10053	0
124968	1
7716	2
7552	1
7737	2
10571	0
17619	0
11809	1
13836713	0
13836589	0
11833	2
13835235	0
7767	4
7030	0
13836021	0
10124	0
59573	0
10777	0
6341	0
10018	1
558020	0
12626	2
13836591	0
11996	0
6165	1
7714	2
13862665	0
6042	0
7630	0
259	2
7607	2
5894	0
21108550	6
7772	3
21111806	6
236	6
9614	6
62808	1
10492	0
7736	2
11055	2
10446	0
7463	1
7619	1
7016	2
13871721	0
7739	2
7706	1
7028	3
5730	0
6316	1
8903	1
24590970	1
21011	3
9325	6
415	1
55090	1
10947	3
10772140	0
28994	0
13839553	1
3973	0
71312	0
3951	0
592	1
8904	0
8899	0
60329	0
6406	0
2916	0
2293678	0
6119	0
29015	0
11680	2
7624	2
7615	1
7090	5
6122	1
7024	4
55188	1
11117	2
13835224	1
6176	0
62249	0
13803	0
10755	2
9377	4
15077490	0
7823	2
11125	2
6307	0
7787	6
6334	0
13255	4
109838	0
11849	2
173	0
66656	0
13837280	0
11845	4
11094	3
13854944	0
29000	1
8398	1
10791	1
8733	1
10786	1
8554	3
92731	1
7788	4
9233	0
1020	3
11992	2
6187	0
8158	0
11023	3
11731	0
11207996	2
1609	1
7721	2
1095	2
11121	4
10498	1
7065	0
7791	3
109705	3
7636	1
7621	1
11551	3
13835836	0
7711	2
8543	1
6040	3
10445	1
11351244	3
7770	3
23150	0
12161	0
13874867	1
31029	1
4444456	0
7769	3
18607	1
10001	1
7747	0
10788	1
23621376	0
5993	0
8560	5
555074	3
10437074	1
13861343	0
7705	1
8141	4
10512	3
11180	0
7701	3
62589	2
7686	4
5439	0
11056	2
7026	5
66675	0
2005981	0
7622	2
7684	0
8900	0
11025	3
7475	2
59674	1
21171407	0
11095	3
13837537	0
10614293	1
6326	0
56117	0
7466	0
29036	0
7761	1
21168808	3
11104	2
16778	1
13835376	0
127750	1
10790	2
2018460	1
68503	0
13863629	3
7674	5
1143	0
1108	5
7029	2
29001	1
11788	3
11732	1
7688	1
7515	2
11794	4
13836520	1
11678	4
2038738	1
8562	2
29012	2
21106535	1
13875283	5
13867413	1
13837702	2
5949	4
71089	1
7551	0
11706	3
66996	1
61487	1
10797	0
26325086	1
7478	0
11799	2
13839199	4
13835459	0
11793	2
10534	1
9326	6
63863	0
659	0
7459	2
10787	2
12228	6
18688	0
10795	0
55130	3
11086	4
11841	0
12012	3
4489	0
48024	0
11024	2
512621	0
66655	0
21106032	2
6330	1
11035	4
13439	1
7021	0
7018	1
120464	2
11864	5
4444608	2
10948	2
11761	2
12229	3
24099	2
22453	1
12499	6
7833	5
7657	1
7013	1
13837281	0
5708	0
7703	1
4512642	4
4516601	4
11244	0
4516599	4
11846	4
7812	4
10652594	0
7766	3
844	1
13816	1
19953955	1
7776	3
1141	1
11857	5
66021	0
10497	2
70715	1
21106520	2
66809	3
10452	0
10433	1
29107	0
10265264	4
13874733	2
11911	0
7811	4
13836399	2
7676	6
7064	2
349	6
10488	3
4514549	0
11193	1
4512361	4
11739	3
8552	4
8908	7
28986	4
10526	4
17443	0
68832	2
21800	4
10179173	4
81815	0
29016	1
7003	0
59447	1
13839109	0
13865426	1
7678	6
13842613	5
71430	2
7760	4
971	6
10420	3
11695	0
12643	4
7219	6
11784	3
7482	3
13838404	0
7679	5
15443	5
11434292	0
65936	1
13835209	2
7677	6
6342	0
15438	6
1348	0
11216	3
68328	0
4517338	0
11194	1
11819	3
13402	4
20843	2
55091	0
10487	6
15954	3
11045	3
11210	3
7521	4
7641	4
11543	3
13638	5
11752	0
7242	5
11843	3
7530	0
15765	4
10101	0
16791	4
11029	5
9633	6
28992	2
18717	2
6106	0
99440	2
7838	5
120621	1
9581	6
15413	0
7710	1
7536	4
7689	3
10710415	0
14751	6
7073	0
24533	2
7238	6
13835293	0
13866593	3
13875196	6
120489	1
10197150	0
374462	4
13839575	0
8569	4
11600	4
5889	6
191367	3
6967	4
192642	0
1078	2
23101	0
17558	5
55123	4
68179	4
733	1
11042	3
21132380	3
9349	6
73412	2
235	5
7827	2
68156	3
773	0
17880	6
20119	1
70714	1
7225	2
7786	0
7224	5
13448	2
7673	6
10940	3
10939	4
13842993	0
29025	6
1664	3
7128	5
455420	5
11866	5
21105905	3
10772050	0
26765	2
7681	6
7837	5
553642	6
21106560	3
11830	3
7810	4
7815	4
13842001	0
21169510	0
11930	0
10437135	1
7835	5
19956441	2
78	2
67991	0
455353	3
13875281	5
2039535	0
13837686	6
7240	4
123993	4
7849	7
7803	5
11783	3
13839441	3
18219	0
83866	6
13875160	5
11865	5
11077	1
21106586	0
13835772	5
83850	6
7221	2
11699	1
7385	7
7391	6
7670	2
13860335	5
19231	0
29005	4
7443	6
22191	3
7802	5
7389	6
7241	4
6179	0
7694	4
24972	3
62489	3
6286	0
7528	2
11660	5
62230	4
8568	4
7129	5
69371	0
10784857	0
21105871	5
13839082	5
63889	3
21109330	0
10937	1
7236	5
1577	0
122090	0
8909	8
11716	4
12231	0
10384035	1
6270	0
156255	5
7659	3
11409	5
6402	2
11919	0
7856	4
13257	2
21106036	6
13840690	5
7765	2
7538	5
71787	1
441	6
2606	0
11795	3
6287	0
14692	6
7223	5
7685	3
123860	2
7672	6
9970	7
13857694	6
16159	1
7088	5
28969	6
12069	4
11265	2
13648	4
13876539	6
7533	2
7131	6
7434	4
13866817	6
6977	3
13854136	5
447	6
13837760	6
13835151	5
191	4
7234	6
71628	1
7132	5
11087	6
18801	4
13837988	6
10696	0
76894	0
12456	7
12445	0
69569	0
12809	7
7138	6
10236	3
13863618	5
4446445	4
3954	0
55205	2
11021	4
14198	3
29026	6
5976	1
13875258	5
9903	7
7183	4
21181	3
13839416	4
7851	6
18410	8
13865680	6
21112023	5
503239	1
4878	6
932	6
12010	4
63908	3
5830	6
13839308	6
14680	5
28682	1
14169248	4
63310	0
11671339	0
391428	2
122446	0
238	5
7239	6
11863	5
2041618	0
13851576	5
13854248	6
10437215	1
8070	4
370	6
455090	1
11632	2
14840	8
2656	4
78828	0
10422	0
20939	3
69914	0
9976	6
73479	5
924	6
6883	5
5979	0
577	1
13658	4
21106366	6
7419	8
14299946	0
331	5
7448	6
7509	5
12632	6
