Compound Id	MDE [MDEC-13]
692	0.0
6153	0.0
127983	0.0
291	0.0
21106179	0.0
16425	0.0
23208	0.0
6105	0.0
11148	0.0
274	0.0
6086	0.0
9256	0.0
923	0.0
937	0.0
6085	0.0
217	0.0
9484	0.0
22814	0.0
22408	0.0
9286	0.0
12577	0.0
6084	0.0
6128	1.0
9243	0.0
62827	0.0
6132	0.0
391	0.0
38403	0.0
1087	0.0
16641	0.0
7954	0.0
864	0.0
11153	0.0
748	0.0
6095	0.0
6094	0.0
518	0.0
16841	0.0
6148	0.0
2056044	0.0
6151	0.0
6087	0.0
9095782	0.0
4514529	0.0
10675065	0.0
21106169	0.0
172	0.0
763	0.0
7956	0.0
7577	0.0
6089	0.0
6111	0.0
29040	0.0
10606755	0.0
6098	0.0
6120	3.0
13837650	0.0
13853215	0.0
61149	0.0
12197	0.0
682	0.0
61346	0.0
7558	0.0
7556	0.0
454215	0.0
7557	0.0
278	0.0
7957	3.0
654	0.0
9461	0.0
6130	0.0
7555	0.0
11727	0.0
1114	0.0
14441700	0.0
8960	0.0
6083	0.0
454209	0.0
56442	0.0
6101	0.0
6097	0.0
175	2.0
4449912	0.0
6102	0.0
9016	0.0
7559	0.0
2018165	0.0
7733	0.0
3644	2.0
6156	0.0
512	0.0
171	1.0
9646	0.0
9254	0.0
7734	0.0
9411	0.333
13835550	0.0
6135	0.0
13837190	0.0
10325078	0.0
7732	0.0
6335	1.414
7738	0.0
14829	0.0
4481813	0.0
10765	2.381
71390	0.0
6149	0.0
13872989	0.0
9391	1.0
6146	0.0
3631	0.0
6121	2.0
61213	0.0
3441	0.0
11099	0.0
11806	0.0
6308	2.381
3168	0.0
6104	0.0
1004	0.0
66567	0.0
1039	0.0
7713	0.0
73583	0.0
6103	0.0
7566	0.0
9994	0.0
10709	0.0
6309	2.381
6088	0.0
13299573	0.0
13836674	0.0
13835316	1.0
6092	0.0
14694	0.0
6313	2.0
11230	0.0
7564	0.0
7616	1.155
2062437	1.0
7712	0.0
4483639	0.0
10437	0.0
30713	0.0
2282428	0.0
6188	0.0
4483638	0.0
7330	0.0
12442	0.0
7546	0.5
9251	0.0
18971812	0.0
71433	0.0
10113	2.381
11755	2.0
7790	0.0
107412	0.0
56144	0.0
56020	0.0
13835977	0.0
256	0.0
10054	0.0
1005	0.5
553742	0.0
558883	0.0
99596	1.0
6333	0.5
6321	1.414
23055	0.0
8525	1.155
6125	1.0
4514586	0.0
11526	1.0
6322	1.414
6320	1.414
13836549	0.0
6163	0.0
62826	0.0
6108	0.0
11729	0.0
14672	0.0
6118	2.0
7730	0.0
11756	0.0
8544	0.0
23255	1.414
6312	2.0
6338	0.0
12201	2.080
62597	0.0
8329688	0.0
13837797	0.0
10653	1.0
13835336	0.0
7782	0.0
21106015	0.0
7727	0.0
558928	0.0
6093	0.0
693	0.0
11110	0.0
6311	2.0
8896	0.0
5977	0.0
7728	0.0
2340753	0.0
6340	5.657
9253	0.0
7626	4.619
7604	2.080
7553	0.0
12209	0.0
394562	0.0
10325184	0.0
83734	0.0
6315	1.414
7627	3.464
7717	0.0
387	2.0
60524	2.0
11109	0.0
63631	2.828
6100	0.0
13866746	0.0
7010	1.890
14998	0.0
12446	2.080
7560	0.0
258	0.0
10053	0.0
124968	0.0
7716	0.0
7552	0.0
7737	0.0
10571	3.533
17619	0.0
11809	0.0
13836713	0.0
13836589	0.0
11833	0.0
13835235	0.0
7767	0.0
7030	0.0
13836021	0.0
10124	5.657
59573	0.0
10777	4.243
6341	2.828
10018	0.0
558020	0.0
12626	0.0
13836591	0.0
11996	0.0
6165	0.0
7714	0.0
13862665	1.0
6042	0.0
7630	2.309
259	0.333
7607	1.155
5894	0.0
21108550	0.0
7772	0.0
21111806	0.0
236	0.0
9614	0.0
62808	0.0
10492	2.0
7736	0.0
11055	0.0
10446	1.755
7463	0.816
7619	4.619
7016	1.0
13871721	0.0
7739	0.0
7706	1.0
7028	1.0
5730	0.0
6316	1.0
8903	0.0
24590970	1.0
21011	1.155
9325	0.0
415	0.0
55090	0.0
10947	1.0
10772140	0.0
28994	0.0
13839553	0.0
3973	0.333
71312	0.0
3951	2.828
592	1.414
8904	0.0
8899	0.0
60329	0.0
6406	3.533
2916	0.0
2293678	0.0
6119	0.0
29015	0.0
11680	0.816
7624	4.619
7615	0.0
7090	0.0
6122	2.0
7024	1.0
55188	0.0
11117	0.0
13835224	1.0
6176	2.378
62249	2.0
13803	0.0
10755	0.0
9377	0.0
15077490	0.0
7823	0.0
11125	0.0
6307	2.0
7787	0.0
6334	1.414
13255	2.309
109838	0.0
11849	0.0
173	1.0
66656	0.0
13837280	0.0
11845	0.0
11094	1.890
13854944	0.0
29000	2.0
8398	1.414
10791	3.533
8733	0.0
10786	4.931
8554	0.0
92731	0.0
7788	0.0
9233	0.0
1020	0.0
11992	2.942
6187	0.0
8158	0.0
11023	1.651
11731	0.0
11207996	1.807
1609	0.0
7721	0.0
1095	0.0
11121	0.0
10498	0.0
7065	3.147
7791	0.0
109705	0.0
7636	1.155
7621	3.464
11551	1.5
13835836	1.442
7711	0.0
8543	0.0
6040	0.0
10445	2.586
11351244	0.0
7770	0.0
23150	0.0
12161	0.0
13874867	1.807
31029	0.0
4444456	0.0
7769	0.0
18607	0.0
10001	2.309
7747	3.0
10788	3.533
23621376	0.0
5993	0.0
8560	0.0
555074	0.0
10437074	0.0
13861343	0.0
7705	2.0
8141	0.0
10512	0.0
11180	2.828
7701	0.25
62589	1.0
7686	1.0
5439	0.333
11056	0.0
7026	0.0
66675	0.0
2005981	0.0
7622	3.464
7684	0.0
8900	0.0
11025	0.816
7475	0.667
59674	0.0
21171407	0.0
11095	1.0
13837537	0.0
10614293	2.586
6326	0.0
56117	0.0
7466	0.816
29036	0.0
7761	2.0
21168808	1.0
11104	4.0
16778	0.0
13835376	0.0
127750	0.0
10790	3.533
2018460	0.0
68503	0.0
13863629	0.0
7674	1.0
1143	0.0
1108	1.0
7029	0.0
29001	2.309
11788	0.0
11732	0.0
7688	1.0
7515	0.707
11794	1.0
13836520	0.2
11678	0.816
2038738	0.0
8562	0.0
29012	0.894
21106535	0.0
13875283	1.0
13867413	0.5
13837702	0.0
5949	0.0
71089	1.0
7551	0.0
11706	0.707
66996	0.0
61487	0.0
10797	6.604
26325086	1.442
7478	0.667
11799	0.0
13839199	1.0
13835459	0.0
11793	2.0
10534	0.0
9326	0.0
63863	0.0
659	0.0
7459	1.155
10787	3.533
12228	0.0
18688	1.807
10795	8.481
55130	2.649
11086	1.0
11841	3.578
12012	0.0
4489	0.0
48024	0.0
11024	1.414
512621	0.0
66655	0.0
21106032	0.0
6330	0.5
11035	1.5
13439	0.0
7021	1.0
7018	0.0
120464	0.0
11864	0.0
4444608	0.0
10948	0.5
11761	4.619
12229	0.0
24099	0.0
22453	2.621
12499	0.0
7833	0.0
7657	2.649
7013	0.0
13837281	0.0
5708	0.0
7703	0.0
4512642	0.0
4516601	0.0
11244	1.0
4516599	0.0
11846	0.0
7812	0.0
10652594	0.0
7766	0.0
844	0.0
13816	1.0
19953955	0.0
7776	0.0
1141	0.0
11857	0.0
66021	0.0
10497	0.0
70715	0.0
21106520	1.0
66809	0.5
10452	0.0
10433	2.575
29107	1.890
10265264	2.0
13874733	1.0
11911	0.0
7811	0.0
13836399	0.0
7676	0.0
7064	1.807
349	0.0
10488	0.0
4514549	0.0
11193	1.310
4512361	0.0
11739	0.0
8552	0.2
8908	0.0
28986	0.667
10526	0.0
17443	0.5
68832	1.807
21800	2.828
10179173	2.0
81815	0.0
29016	2.683
7003	2.890
59447	1.0
13839109	0.816
13865426	1.544
7678	0.0
13842613	2.309
71430	1.414
7760	0.894
971	0.0
10420	0.577
11695	0.667
12643	0.0
7219	0.5
11784	0.0
7482	0.577
13838404	0.0
7679	0.0
15443	0.0
11434292	2.0
65936	0.0
13835209	0.0
7677	0.0
6342	0.0
15438	0.333
1348	0.0
11216	0.0
68328	0.0
4517338	1.414
11194	2.556
11819	3.0
13402	0.0
20843	2.828
55091	0.0
10487	0.0
15954	3.147
11045	0.632
11210	0.0
7521	2.0
7641	2.309
11543	3.147
13638	0.0
11752	1.155
7242	0.5
11843	0.816
7530	0.0
15765	2.828
10101	0.0
16791	0.0
11029	0.667
9633	0.0
28992	2.0
18717	2.0
6106	0.0
99440	1.755
7838	0.0
120621	3.464
9581	0.707
15413	0.0
7710	0.0
7536	0.632
7689	0.0
10710415	2.498
14751	0.5
7073	4.962
24533	0.5
7238	0.5
13835293	0.0
13866593	0.0
13875196	0.632
