Compound Id	ChiPath [SP-2]
692	0.0
6153	3.0
127983	0.0
291	0.0
21106179	1.732
16425	6.124
23208	0.707
6105	0.707
11148	0.0
274	0.707
6086	0.0
9256	3.521
923	0.707
937	0.0
6085	0.0
217	0.0
9484	3.0
22814	0.0
22408	0.0
9286	2.488
12577	2.914
6084	0.0
6128	1.732
9243	0.707
62827	3.497
6132	1.732
391	0.0
38403	4.897
1087	0.707
16641	0.707
7954	0.707
864	0.0
11153	0.707
748	0.0
6095	0.707
6094	0.707
518	N/A
16841	3.521
6148	3.0
2056044	6.309
6151	3.0
6087	0.0
9095782	4.5
4514529	0.0
10675065	3.851
21106169	2.914
172	0.707
763	0.0
7956	0.707
7577	1.0
6089	0.0
6111	1.061
29040	3.521
10606755	5.126
6098	0.707
6120	1.732
13837650	1.0
13853215	4.5
61149	5.753
12197	1.0
682	0.707
61346	5.298
7558	1.0
7556	1.0
454215	3.521
7557	1.0
278	0.707
7957	1.732
654	0.707
9461	3.664
6130	1.732
7555	1.0
11727	1.0
1114	1.732
14441700	2.914
8960	0.0
6083	0.0
454209	2.914
56442	1.0
6101	0.707
6097	0.707
175	1.732
4449912	1.0
6102	0.707
9016	3.521
7559	1.0
2018165	1.802
7733	1.354
3644	1.732
6156	3.0
512	1.0
171	1.732
9646	3.0
9254	3.521
7734	1.354
9411	4.056
13835550	1.0
6135	1.732
13837190	1.354
10325078	4.5
7732	1.354
6335	1.802
7738	1.768
14829	3.0
4481813	1.0
10765	1.802
71390	1.732
6149	3.0
13872989	1.0
9391	3.521
6146	3.0
3631	4.897
6121	1.732
61213	2.914
3441	3.521
11099	1.354
11806	1.354
6308	1.802
3168	1.354
6104	0.707
1004	1.0
66567	6.125
1039	0.707
7713	1.354
73583	4.5
6103	0.707
7566	1.0
9994	1.414
10709	1.354
6309	1.802
6088	0.0
13299573	5.298
13836674	1.0
13835316	1.732
6092	0.707
14694	2.914
6313	1.802
11230	1.802
7564	1.0
7616	2.183
2062437	3.521
7712	1.354
4483639	1.354
10437	1.0
30713	2.488
2282428	3.521
6188	4.5
4483638	1.354
7330	1.768
12442	1.0
7546	1.852
9251	3.521
18971812	4.5
71433	2.914
10113	1.802
11755	2.183
7790	2.121
107412	3.497
56144	5.126
56020	1.354
13835977	1.0
256	1.354
10054	3.0
1005	1.802
553742	1.0
558883	1.354
99596	3.521
6333	1.802
6321	1.802
23055	2.914
8525	2.183
6125	1.732
4514586	0.0
11526	1.922
6322	1.802
6320	1.802
13836549	5.155
6163	2.914
62826	3.497
6108	0.707
11729	1.0
14672	2.914
6118	1.732
7730	1.354
11756	2.183
8544	1.768
23255	1.802
6312	1.802
6338	1.802
12201	2.183
62597	1.354
8329688	2.914
13837797	2.061
10653	1.922
13835336	1.0
7782	1.707
