Compound Id	ChiPath [VP-0]
692	1.115
6153	2.012
127983	0.908
291	0.0
21106179	1.711
16425	3.493
23208	1.041
6105	1.463
11148	1.378
274	1.316
6086	1.155
9256	2.967
923	1.154
937	0.5
6085	1.414
217	0.707
9484	2.634
22814	2.121
22408	3.674
9286	2.667
12577	2.719
6084	2.0
6128	2.333
9243	2.085
62827	3.674
6132	2.467
391	1.5
38403	4.331
1087	1.684
16641	1.989
7954	2.284
864	1.447
11153	2.219
748	1.025
6095	2.077
6094	2.707
518	N/A
16841	3.723
6148	3.390
2056044	5.178
6151	3.524
6087	2.134
9095782	4.512
4514529	1.225
10675065	4.329
21106169	2.788
172	1.986
763	0.894
7956	2.408
7577	2.394
6089	1.577
6111	2.121
29040	4.553
10606755	4.292
6098	2.418
6120	3.577
13837650	3.682
13853215	4.780
61149	5.178
12197	2.362
682	2.154
61346	4.731
7558	2.784
7556	2.992
454215	4.553
7557	2.569
278	1.433
7957	3.207
654	2.5
9461	4.034
6130	3.223
7555	3.414
11727	2.355
1114	3.447
14441700	4.097
8960	1.155
6083	2.964
454209	3.963
56442	3.155
6101	2.284
6097	2.841
175	2.908
4449912	3.155
6102	1.947
9016	4.479
7559	2.270
2018165	3.174
7733	2.977
3644	3.025
6156	5.5
512	2.693
171	2.355
9646	4.5
9254	4.479
7734	3.101
9411	4.657
13835550	2.569
6135	2.115
13837190	3.524
10325078	5.610
7732	3.4
6335	3.316
7738	2.718
14829	4.146
4481813	2.472
10765	3.862
71390	4.053
6149	4.280
13872989	2.439
9391	3.658
6146	3.947
3631	5.087
6121	3.711
61213	4.097
3441	5.309
11099	3.276
11806	3.492
6308	4.284
3168	3.822
6104	2.975
1004	2.861
66567	5.215
1039	3.225
7713	3.699
73583	5.402
6103	3.049
7566	2.654
9994	2.530
10709	3.822
6309	3.492
6088	3.535
13299573	5.561
13836674	3.125
13835316	3.475
6092	3.671
14694	4.231
6313	3.563
11230	4.154
7564	2.992
7616	3.601
2062437	5.175
7712	4.121
4483639	3.862
10437	3.548
30713	4.178
2282428	5.309
6188	5.536
4483638	3.862
7330	3.017
12442	3.756
7546	3.4
9251	5.309
18971812	5.268
71433	5.784
10113	4.077
11755	3.971
7790	3.346
107412	4.430
56144	5.735
56020	3.439
13835977	2.569
256	3.4
10054	4.634
1005	3.063
553742	3.422
558883	3.439
99596	5.101
6333	2.640
6321	3.615
23055	4.853
8525	4.024
6125	3.845
4514586	2.121
11526	3.725
6322	3.193
6320	3.732
13836549	5.268
6163	5.207
62826	5.260
6108	2.949
11729	3.932
14672	4.908
6118	4.541
7730	3.914
11756	3.231
8544	3.276
23255	3.862
6312	3.732
6338	2.822
12201	4.569
62597	3.146
8329688	4.927
13837797	4.391
10653	4.024
13835336	2.439
7782	3.808
21106015	2.995
7727	3.4
558928	3.422
6093	3.805
693	1.563
11110	3.983
6311	3.525
8896	3.536
5977	3.979
7728	3.270
2340753	5.061
6340	5.155
9253	5.235
7626	5.563
7604	4.992
7553	3.956
12209	4.199
394562	3.140
10325184	5.061
83734	5.235
6315	4.418
7627	4.894
7717	3.361
387	3.693
60524	3.394
11109	4.406
63631	5.025
6100	4.243
13866746	4.967
7010	4.992
14998	6.615
12446	4.621
7560	3.756
258	3.569
10053	5.464
124968	3.504
7716	3.699
7552	4.378
7737	3.237
10571	4.894
17619	N/A
11809	3.702
13836713	3.333
13836589	4.231
11833	4.530
13835235	2.309
7767	4.828
7030	3.139
13836021	3.361
10124	4.414
59573	6.316
10777	4.486
6341	3.933
10018	3.645
558020	3.504
12626	3.853
13836591	3.977
11996	5.615
6165	4.654
7714	4.255
13862665	4.308
6042	4.902
7630	4.225
259	3.770
7607	4.322
5894	3.303
21108550	4.065
7772	4.107
21111806	4.065
236	3.464
9614	3.765
62808	3.504
10492	4.678
7736	2.809
11055	5.914
10446	5.816
7463	4.731
7619	5.862
7016	4.322
13871721	3.309
7739	3.534
7706	4.731
7028	4.107
5730	5.036
6316	4.552
8903	3.204
24590970	5.931
21011	4.439
9325	4.065
415	3.276
55090	5.341
10947	4.439
10772140	3.196
28994	2.486
13839553	3.016
3973	5.509
71312	6.139
3951	3.563
592	3.380
8904	3.204
8899	3.404
60329	4.107
6406	4.524
2916	4.635
2293678	6.139
6119	4.809
29015	3.645
11680	4.731
7624	5.655
7615	3.530
7090	5.021
6122	5.113
7024	4.406
55188	5.615
11117	3.724
13835224	3.179
6176	5.408
62249	5.816
13803	6.725
10755	5.914
9377	4.913
15077490	6.065
7823	5.237
11125	4.515
6307	5.248
7787	4.243
6334	3.408
13255	4.977
109838	4.938
11849	5.237
173	2.486
66656	N/A
13837280	4.479
11845	4.906
11094	5.699
13854944	4.309
29000	4.439
8398	4.439
10791	5.193
8733	3.146
10786	5.862
8554	3.944
92731	6.264
7788	3.983
9233	4.639
1020	3.334
11992	5.601
6187	6.292
8158	5.569
11023	5.699
11731	4.120
11207996	4.9
1609	4.107
7721	4.463
1095	4.053
11121	5.113
10498	3.495
7065	5.601
7791	4.036
109705	8.134
7636	4.009
7621	5.193
11551	5.699
13835836	5.808
7711	5.085
8543	4.389
6040	4.276
10445	6.784
11351244	4.276
7770	4.069
23150	9.408
12161	7.133
13874867	4.932
31029	4.950
4444456	4.130
7769	4.406
18607	4.639
10001	4.640
7747	5.601
10788	5.193
23621376	3.770
5993	3.433
8560	5.536
555074	5.276
10437074	4.260
13861343	5.017
7705	4.847
8141	3.737
10512	4.962
11180	5.525
7701	4.477
62589	4.906
7686	4.906
5439	3.601
11056	5.361
7026	3.853
66675	9.0
2005981	2.879
7622	5.309
7684	4.684
8900	2.496
11025	5.030
7475	5.438
59674	3.861
21171407	4.527
11095	5.030
13837537	3.737
10614293	6.784
6326	4.686
56117	7.731
7466	4.524
29036	5.639
